tokenizer	model_name	iso	language	script	sentences	avg_chars	avg_words	avg_tokens	tokens_per_word	tokens_per_char	single_char_token_pct	unk_token_pct
xlm-r	xlm-roberta-base	acu	Achuar-Shiwiar	Latin	500	174.368	24.164	69.154	2.862	0.397	21.020	0.000
xlm-r	xlm-roberta-base	ake	Akawaio	Latin	500	118.452	23.266	72.168	3.102	0.609	56.144	0.000
xlm-r	xlm-roberta-base	bsn	Barasana-Eduria	Latin	500	184.680	28.334	99.414	3.509	0.538	38.799	0.000
xlm-r	xlm-roberta-base	chr	Cherokee	Cherokee	500	67.472	15.066	33.566	2.228	0.497	10.660	0.000
xlm-r	xlm-roberta-base	cop	Coptic	Coptic	500	81.590	14.752	30.368	2.059	0.372	2.891	0.000
xlm-r	xlm-roberta-base	kbh	Camsa	Latin	500	259.896	34.392	125.302	3.643	0.482	29.292	0.000
xlm-r	xlm-roberta-base	nhg	Nahuatl (Tetelcingo)	Latin	500	165.714	23.972	70.732	2.951	0.427	22.491	0.000
xlm-r	xlm-roberta-base	oji	Ojibwa	Aboriginal Syllabics	500	83.464	17.560	36.956	2.105	0.443	7.928	0.000
xlm-r	xlm-roberta-base	syr	Syriac	Syriac	500	56.572	13.836	66.208	4.785	1.170	73.795	0.000
xlm-r	xlm-roberta-base	usp	Uspanteco	Latin	500	165.926	31.538	81.212	2.575	0.489	35.926	0.000
glot500	cis-lmu/glot500-base	acu	Achuar-Shiwiar	Latin	500	174.368	24.164	60.768	2.515	0.349	18.720	0.000
glot500	cis-lmu/glot500-base	ake	Akawaio	Latin	500	118.452	23.266	66.206	2.846	0.559	53.077	0.000
glot500	cis-lmu/glot500-base	bsn	Barasana-Eduria	Latin	500	184.680	28.334	86.276	3.045	0.467	32.665	0.000
glot500	cis-lmu/glot500-base	chr	Cherokee	Cherokee	500	67.472	15.066	79.154	5.254	1.173	77.176	0.000
glot500	cis-lmu/glot500-base	cop	Coptic	Coptic	500	81.590	14.752	77.808	5.274	0.954	67.669	0.000
glot500	cis-lmu/glot500-base	kbh	Camsa	Latin	500	259.896	34.392	112.090	3.259	0.431	27.282	0.000
glot500	cis-lmu/glot500-base	nhg	Nahuatl (Tetelcingo)	Latin	500	165.714	23.972	52.526	2.191	0.317	16.982	0.000
glot500	cis-lmu/glot500-base	oji	Ojibwa	Aboriginal Syllabics	500	83.464	17.560	88.160	5.021	1.056	86.976	0.000
glot500	cis-lmu/glot500-base	syr	Syriac	Syriac	500	56.572	13.836	70.408	5.089	1.245	80.349	0.000
glot500	cis-lmu/glot500-base	usp	Uspanteco	Latin	500	165.926	31.538	69.268	2.196	0.417	33.860	0.000
nllb	facebook/nllb-200-distilled-600M	acu	Achuar-Shiwiar	Latin	500	174.368	24.164	63.020	2.608	0.361	14.713	0.108
nllb	facebook/nllb-200-distilled-600M	ake	Akawaio	Latin	500	118.452	23.266	67.924	2.919	0.573	53.928	0.577
nllb	facebook/nllb-200-distilled-600M	bsn	Barasana-Eduria	Latin	500	184.680	28.334	91.408	3.226	0.495	33.916	2.381
nllb	facebook/nllb-200-distilled-600M	chr	Cherokee	Cherokee	500	67.472	15.066	33.546	2.227	0.497	10.207	44.965
nllb	facebook/nllb-200-distilled-600M	cop	Coptic	Coptic	500	81.590	14.752	30.368	2.059	0.372	2.845	48.577
nllb	facebook/nllb-200-distilled-600M	kbh	Camsa	Latin	500	259.896	34.392	116.966	3.401	0.450	27.683	0.161
nllb	facebook/nllb-200-distilled-600M	nhg	Nahuatl (Tetelcingo)	Latin	500	165.714	23.972	67.108	2.799	0.405	19.846	0.209
nllb	facebook/nllb-200-distilled-600M	oji	Ojibwa	Aboriginal Syllabics	500	83.464	17.560	36.964	2.105	0.443	5.844	47.170
nllb	facebook/nllb-200-distilled-600M	syr	Syriac	Syriac	500	56.572	13.836	27.672	2.000	0.489	0.000	50.000
nllb	facebook/nllb-200-distilled-600M	usp	Uspanteco	Latin	500	165.926	31.538	73.968	2.345	0.446	36.627	0.000
