iso	language	script	glot500_tokens_per_word	merged_tokens_per_word	reduction_pct	glot500_single_char_token_pct	merged_single_char_token_pct
syr	Syriac	Syriac	5.089	1.601	68.5	80.3	18.4
cop	Coptic	Coptic	5.274	1.779	66.3	67.7	15.2
chr	Cherokee	Cherokee	5.254	2.001	61.9	77.2	37.4
oji	Ojibwa	Aboriginal Syllabics	5.021	2.205	56.1	87.0	37.9
kbh	Camsa	Latin	3.259	1.669	48.8	27.3	18.0
bsn	Barasana-Eduria	Latin	3.045	1.577	48.2	32.7	23.5
acu	Achuar-Shiwiar	Latin	2.515	1.599	36.4	18.7	16.8
nhg	Nahuatl (Tetelcingo)	Latin	2.191	1.495	31.8	17.0	14.7
ake	Akawaio	Latin	2.846	2.023	28.9	53.1	34.6
usp	Uspanteco	Latin	2.196	1.899	13.5	33.9	35.7
