feature	importance
source_matched_char4_jaccard	0.39396869
retrieval_score	0.20562409
source_matched_char3_jaccard	0.11333093
source_matched_char5_jaccard	0.07037243
candidate_to_source_char_ratio	0.04944872
source_matched_word_jaccard	0.04243932
candidate_char_len	0.02726928
candidate_token_count	0.01877592
source_char_len	0.01666181
candidate_to_matched_char_ratio	0.01490509
candidate_to_source_word_ratio	0.01397819
top1_retrieval_score	0.01371601
source_word_count	0.00468519
candidate_to_matched_word_ratio	0.00390426
matched_to_source_word_ratio	0.00272719
matched_to_source_char_ratio	0.00206442
score_gap_from_top1	0.00185722
matched_char_len	0.00143055
matched_word_count	0.00135296
score_ratio_to_top1	0.00105818
rank	0.00040037
inverse_rank	0.00002918
matched_id_equals_query_id	0.00000000
