feature_delta	importance
candidate_char_len	1.78241958
score_ratio_to_top1	1.42686570
candidate_to_source_char_ratio	1.32313166
source_matched_char5_jaccard	0.95657017
source_matched_char3_jaccard	0.83686067
source_matched_word_jaccard	0.63089649
matched_word_count	0.46960810
source_matched_char4_jaccard	0.41356862
score_z	0.40810234
matched_to_source_word_ratio	0.37847426
candidate_to_source_word_ratio	0.37761383
candidate_to_matched_char_ratio	0.25898083
matched_to_source_char_ratio	0.13729358
score_centered	0.11394650
retrieval_score	0.11394650
score_gap_from_top1	0.11394650
matched_char_len	0.08326461
score_gap_from_prev	0.07749714
candidate_to_matched_word_ratio	0.07374239
candidate_token_count	0.04851695
inverse_rank	0.04811524
rank	0.04347057
score_gap_to_next	0.01890390
top1_retrieval_score	0.00000000
source_word_count	0.00000000
source_char_len	0.00000000
matched_id_equals_query_id	0.00000000
