iso	language	script	sentences	avg_chars	avg_words	avg_tokens	tokens_per_word	tokens_per_char	single_char_token_pct	unk_token_pct	blank_or_degenerate_count	p95_seq_len	bottleneck_type	status
acu	Achuar-Shiwiar	Latin	500	162.584	22.604	65.354	2.891	0.402	21.504	0.000	0	128	high_tokens_per_word	PASS
ake	Akawaio	Latin	500	124.292	23.604	78.144	3.311	0.629	60.238	0.000	0	135	high_tokens_per_word+high_single_char_rate	PASS
bsn	Barasana-Eduria	Latin	500	193.088	30.008	105.626	3.520	0.547	39.333	0.000	0	221	high_tokens_per_word+high_single_char_rate	PASS
chr	Cherokee	Cherokee	500	58.838	13.176	29.684	2.253	0.505	11.252	0.000	0	53	high_tokens_per_word	PASS
cop	Coptic	Coptic	500	81.548	14.942	30.876	2.066	0.379	3.265	0.000	0	51	high_tokens_per_word	PASS
kbh	Camsa	Latin	500	207.472	27.980	99.730	3.564	0.481	30.394	0.000	0	147	high_tokens_per_word+high_single_char_rate	PASS
nhg	Nahuatl (Tetelcingo)	Latin	500	152.364	22.450	66.068	2.943	0.434	24.075	0.000	0	119	high_tokens_per_word	PASS
oji	Ojibwa	Aboriginal Syllabics	500	77.274	17.582	37.122	2.111	0.480	6.104	0.000	0	65	high_tokens_per_word	PASS
syr	Syriac	Syriac	500	54.292	13.038	63.280	4.854	1.166	74.251	0.000	0	107	high_tokens_per_word+high_single_char_rate	PASS
usp	Uspanteco	Latin	500	140.944	27.608	69.074	2.502	0.490	37.852	0.000	0	126	high_tokens_per_word+high_single_char_rate	PASS
