vocab_size	tokenizer_dir	iso	language	script	sentences	avg_chars	avg_words	avg_tokens	tokens_per_word	tokens_per_char	single_char_token_pct	unk_token_pct	blank_or_degenerate_count	p95_seq_len	bottleneck_type	baseline_tokens_per_word	tokens_per_word_delta_pct	baseline_single_char_token_pct	single_char_delta_pct	baseline_unk_token_pct	unk_delta_pct	degenerate_delta	status
8000	/home/axt/mnt2/jongha/second_try/artifacts/03_vocab_extension/tokenizers/xlmr_target10_added_8000	acu	Achuar-Shiwiar	Latin	500	162.584	22.604	46.122	2.040	0.284	19.236	0.000	0	87	high_tokens_per_word	2.891	-29.436	21.504	-10.547	0.000	0.000	0	PASS
8000	/home/axt/mnt2/jongha/second_try/artifacts/03_vocab_extension/tokenizers/xlmr_target10_added_8000	ake	Akawaio	Latin	500	124.292	23.604	54.900	2.326	0.442	35.515	0.000	0	98	high_tokens_per_word+high_single_char_rate	3.311	-29.749	60.238	-41.042	0.000	0.000	0	PASS
8000	/home/axt/mnt2/jongha/second_try/artifacts/03_vocab_extension/tokenizers/xlmr_target10_added_8000	bsn	Barasana-Eduria	Latin	500	193.088	30.008	61.086	2.036	0.316	22.336	0.000	0	124	high_tokens_per_word	3.520	-42.159	39.333	-43.213	0.000	0.000	0	PASS
8000	/home/axt/mnt2/jongha/second_try/artifacts/03_vocab_extension/tokenizers/xlmr_target10_added_8000	chr	Cherokee	Cherokee	500	58.838	13.176	35.216	2.673	0.599	19.974	0.000	0	61	high_tokens_per_word	2.253	18.642	11.252	77.515	0.000	0.000	0	PASS
8000	/home/axt/mnt2/jongha/second_try/artifacts/03_vocab_extension/tokenizers/xlmr_target10_added_8000	cop	Coptic	Coptic	500	81.548	14.942	34.306	2.296	0.421	13.665	0.000	0	59	high_tokens_per_word	2.066	11.133	3.265	318.530	0.000	0.000	0	PASS
8000	/home/axt/mnt2/jongha/second_try/artifacts/03_vocab_extension/tokenizers/xlmr_target10_added_8000	kbh	Camsa	Latin	500	207.472	27.980	61.692	2.205	0.297	21.319	0.000	0	94	high_tokens_per_word	3.564	-38.131	30.394	-29.858	0.000	0.000	0	PASS
8000	/home/axt/mnt2/jongha/second_try/artifacts/03_vocab_extension/tokenizers/xlmr_target10_added_8000	nhg	Nahuatl (Tetelcingo)	Latin	500	152.364	22.450	42.684	1.901	0.280	18.279	0.000	0	76	weak_or_moderate_fragmentation	2.943	-35.406	24.075	-24.075	0.000	0.000	0	PASS
8000	/home/axt/mnt2/jongha/second_try/artifacts/03_vocab_extension/tokenizers/xlmr_target10_added_8000	oji	Ojibwa	Aboriginal Syllabics	500	77.274	17.582	42.604	2.423	0.551	16.468	0.000	0	76	high_tokens_per_word	2.111	14.780	6.104	169.790	0.000	0.000	0	PASS
8000	/home/axt/mnt2/jongha/second_try/artifacts/03_vocab_extension/tokenizers/xlmr_target10_added_8000	syr	Syriac	Syriac	500	54.292	13.038	29.202	2.240	0.538	20.225	0.000	0	51	high_tokens_per_word	4.854	-53.852	74.251	-72.761	0.000	0.000	0	PASS
8000	/home/axt/mnt2/jongha/second_try/artifacts/03_vocab_extension/tokenizers/xlmr_target10_added_8000	usp	Uspanteco	Latin	500	140.944	27.608	61.032	2.211	0.433	33.464	0.000	0	111	high_tokens_per_word+high_single_char_rate	2.502	-11.631	37.852	-11.593	0.000	0.000	0	PASS
