book	final_rows	languages	min_rows_per_language	train_rows_if_selected	train_final_exact_duplicates	dev_final_exact_duplicates	total_exact_duplicates	duplicate_rate	decision
1CO	4223	10	340	57708	4	0	4	0.000947	NOT_SELECTED
1JO	1043	10	100	60888	0	0	0	0.000000	TOO_SMALL
1PE	1039	10	98	60892	0	0	0	0.000000	TOO_SMALL
1TH	773	10	5	61158	3	0	3	0.003881	TOO_SMALL
1TI	1103	10	92	60828	0	0	0	0.000000	TOO_SMALL
2CO	2470	10	187	59461	3	0	3	0.001215	TOO_SMALL
2JO	130	10	13	61801	0	0	0	0.000000	TOO_SMALL
2PE	604	10	58	61327	0	0	0	0.000000	TOO_SMALL
2TH	465	10	44	61466	6	0	6	0.012903	TOO_SMALL
2TI	817	10	75	61114	0	0	0	0.000000	TOO_SMALL
3JO	147	10	14	61784	0	0	0	0.000000	TOO_SMALL
ACT	9807	10	852	52124	3	2	5	0.000510	SELECTED_FINAL_TEST
COL	941	10	90	60990	0	0	0	0.000000	TOO_SMALL
EPH	1496	10	130	60435	2	0	2	0.001337	TOO_SMALL
GAL	1467	10	131	60464	3	0	3	0.002045	TOO_SMALL
HEB	2766	10	181	59165	0	0	0	0.000000	TOO_SMALL
JAM	1068	10	102	60863	0	0	0	0.000000	TOO_SMALL
JUD	244	10	23	61687	0	0	0	0.000000	TOO_SMALL
LUK	11116	10	915	50815	56	39	95	0.008546	NOT_SELECTED
MAT	10491	10	928	51440	54	69	123	0.011724	NOT_SELECTED
PHI	1027	10	98	60904	5	0	5	0.004869	TOO_SMALL
PHM	243	10	21	61688	4	0	4	0.016461	TOO_SMALL
REV	3890	10	339	58041	1	1	2	0.000514	NOT_SELECTED
ROM	4105	10	314	57826	2	0	2	0.000487	NOT_SELECTED
TIT	456	10	43	61475	0	0	0	0.000000	TOO_SMALL
