split	iso	rows	clean_final_rows	status
train	acu	5170	NOT_APPLICABLE	PASS
train	ake	5179	NOT_APPLICABLE	PASS
train	bsn	5103	NOT_APPLICABLE	PASS
train	chr	5393	NOT_APPLICABLE	PASS
train	cop	5394	NOT_APPLICABLE	PASS
train	kbh	4511	NOT_APPLICABLE	PASS
train	nhg	5273	NOT_APPLICABLE	PASS
train	oji	5384	NOT_APPLICABLE	PASS
train	syr	5390	NOT_APPLICABLE	PASS
train	usp	5327	NOT_APPLICABLE	PASS
dev	acu	659	NOT_APPLICABLE	PASS
dev	ake	673	NOT_APPLICABLE	PASS
dev	bsn	629	NOT_APPLICABLE	PASS
dev	chr	678	NOT_APPLICABLE	PASS
dev	cop	678	NOT_APPLICABLE	PASS
dev	kbh	501	NOT_APPLICABLE	PASS
dev	nhg	673	NOT_APPLICABLE	PASS
dev	oji	674	NOT_APPLICABLE	PASS
dev	syr	678	NOT_APPLICABLE	PASS
dev	usp	678	NOT_APPLICABLE	PASS
burned_excluded	acu	864	NOT_APPLICABLE	PASS
burned_excluded	ake	879	NOT_APPLICABLE	PASS
burned_excluded	bsn	857	NOT_APPLICABLE	PASS
burned_excluded	chr	879	NOT_APPLICABLE	PASS
burned_excluded	cop	879	NOT_APPLICABLE	PASS
burned_excluded	kbh	657	NOT_APPLICABLE	PASS
burned_excluded	nhg	870	NOT_APPLICABLE	PASS
burned_excluded	oji	878	NOT_APPLICABLE	PASS
burned_excluded	syr	879	NOT_APPLICABLE	PASS
burned_excluded	usp	878	NOT_APPLICABLE	PASS
final_test	acu	953	953	PASS
final_test	ake	1003	1003	PASS
final_test	bsn	959	959	PASS
final_test	chr	1007	1007	PASS
final_test	cop	1006	1003	PASS
final_test	kbh	852	852	PASS
final_test	nhg	1006	1006	PASS
final_test	oji	1007	1007	PASS
final_test	syr	1007	1007	PASS
final_test	usp	1007	1007	PASS
