run_id	vocab_size	tokenizer_dir	iso	language	script	split	sentences	avg_chars	avg_words	avg_tokens	tokens_per_word	tokens_per_char	single_char_token_pct	unk_token_pct	blank_or_degenerate_count	p95_seq_len	base_tokens_per_word	tokens_per_word_delta_pct	base_single_char_token_pct	single_char_delta_pct	base_unk_token_pct	unk_delta_pct	degenerate_delta	status
step13_v2_tokenizer_20260611_153357	8000	/home/axt/mnt2/jongha/second_try/artifacts/13_v2_tokenizer/tokenizers/xlmr_v2_target10_added_8000	acu	Achuar-Shiwiar	Latin	dev	659	136.892	19.126	40.269	2.105443	0.294163	20.963183	0.000000	0	73	2.869407	-26.624456	21.536803	-2.663441	0.000000	0.000000	0	MEASURED
step13_v2_tokenizer_20260611_153357	8000	/home/axt/mnt2/jongha/second_try/artifacts/13_v2_tokenizer/tokenizers/xlmr_v2_target10_added_8000	ake	Akawaio	Latin	dev	673	120.446	22.734	53.964	2.373725	0.448038	35.927088	0.000000	0	88	3.345033	-29.037322	60.839407	-40.947669	0.000000	0.000000	0	MEASURED
step13_v2_tokenizer_20260611_153357	8000	/home/axt/mnt2/jongha/second_try/artifacts/13_v2_tokenizer/tokenizers/xlmr_v2_target10_added_8000	bsn	Barasana-Eduria	Latin	dev	629	180.754	28.305	58.576	2.069423	0.324063	22.937249	0.000000	0	115	3.518816	-41.189792	39.042922	-41.251198	0.000000	0.000000	0	MEASURED
step13_v2_tokenizer_20260611_153357	8000	/home/axt/mnt2/jongha/second_try/artifacts/13_v2_tokenizer/tokenizers/xlmr_v2_target10_added_8000	chr	Cherokee	Cherokee	dev	678	58.655	13.186	35.091	2.661298	0.598270	20.368191	0.000000	0	60	2.296980	15.860739	12.870709	58.252284	0.000000	0.000000	0	MEASURED
step13_v2_tokenizer_20260611_153357	8000	/home/axt/mnt2/jongha/second_try/artifacts/13_v2_tokenizer/tokenizers/xlmr_v2_target10_added_8000	cop	Coptic	Coptic	dev	678	79.643	14.968	32.929	2.200039	0.413460	12.142793	0.000000	0	57	2.039220	7.886300	2.015077	502.596973	0.000000	0.000000	0	MEASURED
step13_v2_tokenizer_20260611_153357	8000	/home/axt/mnt2/jongha/second_try/artifacts/13_v2_tokenizer/tokenizers/xlmr_v2_target10_added_8000	kbh	Camsa	Latin	dev	501	200.980	26.758	60.525	2.261898	0.301149	22.675857	0.000000	0	78	3.579293	-36.806012	30.528926	-25.723371	0.000000	0.000000	0	MEASURED
step13_v2_tokenizer_20260611_153357	8000	/home/axt/mnt2/jongha/second_try/artifacts/13_v2_tokenizer/tokenizers/xlmr_v2_target10_added_8000	nhg	Nahuatl (Tetelcingo)	Latin	dev	673	139.770	20.137	39.908	1.981848	0.285526	19.919577	0.000000	0	70	3.023022	-34.441496	25.610232	-22.220240	0.000000	0.000000	0	MEASURED
step13_v2_tokenizer_20260611_153357	8000	/home/axt/mnt2/jongha/second_try/artifacts/13_v2_tokenizer/tokenizers/xlmr_v2_target10_added_8000	oji	Ojibwa	Aboriginal Syllabics	dev	674	81.666	18.362	45.484	2.477052	0.556946	17.549582	0.000000	0	79	2.132676	16.147600	7.225127	142.896519	0.000000	0.000000	0	MEASURED
step13_v2_tokenizer_20260611_153357	8000	/home/axt/mnt2/jongha/second_try/artifacts/13_v2_tokenizer/tokenizers/xlmr_v2_target10_added_8000	syr	Syriac	Syriac	dev	678	53.578	12.991	28.093	2.162466	0.524335	19.357379	0.000000	0	49	4.803247	-54.979080	74.072848	-73.867106	0.000000	0.000000	0	MEASURED
step13_v2_tokenizer_20260611_153357	8000	/home/axt/mnt2/jongha/second_try/artifacts/13_v2_tokenizer/tokenizers/xlmr_v2_target10_added_8000	usp	Uspanteco	Latin	dev	678	135.590	26.233	58.910	2.245643	0.434472	34.290579	0.000000	0	107	2.536658	-11.472378	38.832369	-11.695887	0.000000	0.000000	0	MEASURED
