run_id	model_family	seed	stage	step	train_examples_seen	train_tokens_seen	eval_rows	eval_masked_tokens	dev_loss	pseudo_ppl	train_loss_mean_since_eval	learning_rate	status	notes
step15_v2_mlm_control_20260611_163731	adapted_extended	13	zero_step	0	0	0	6521	35960	8.707869	6050.338333	NOT_APPLICABLE	0.00005000	PASS	zero_step_mark_dev_only
step15_v2_mlm_control_20260611_163731	adapted_extended	13	dev_eval	800	6400	274583	6521	36001	5.230058	186.803590	5.811305	0.00005000	PASS	scheduled_mark_dev_eval
step15_v2_mlm_control_20260611_163731	adapted_extended	13	final_token_budget_eval	1460	11680	500189	6521	35658	4.954783	141.851769	5.201160	0.00005000	PASS	final_mark_dev_eval_after_token_budget
step15_v2_mlm_control_20260611_163731	original_control	13	zero_step	0	0	0	6521	49497	4.524689	92.267225	NOT_APPLICABLE	0.00005000	PASS	zero_step_mark_dev_only
step15_v2_mlm_control_20260611_163731	original_control	13	dev_eval	800	6400	412691	6521	49262	2.595848	13.407957	3.054342	0.00005000	PASS	scheduled_mark_dev_eval
step15_v2_mlm_control_20260611_163731	original_control	13	final_token_budget_eval	969	7752	500098	6521	49392	2.542411	12.710283	2.611574	0.00005000	PASS	final_mark_dev_eval_after_token_budget
step15_v2_mlm_control_20260611_163731	adapted_extended	17	zero_step	0	0	0	6521	36075	8.653567	5730.552157	NOT_APPLICABLE	0.00005000	PASS	zero_step_mark_dev_only
step15_v2_mlm_control_20260611_163731	adapted_extended	17	dev_eval	800	6400	276791	6521	35874	5.262304	192.925430	5.749221	0.00005000	PASS	scheduled_mark_dev_eval
step15_v2_mlm_control_20260611_163731	adapted_extended	17	final_token_budget_eval	1451	11608	500008	6521	36083	4.951493	141.385858	5.145307	0.00005000	PASS	final_mark_dev_eval_after_token_budget
step15_v2_mlm_control_20260611_163731	original_control	17	zero_step	0	0	0	6521	49680	4.530782	92.831122	NOT_APPLICABLE	0.00005000	PASS	zero_step_mark_dev_only
step15_v2_mlm_control_20260611_163731	original_control	17	dev_eval	800	6400	417383	6521	49223	2.611641	13.621379	3.059749	0.00005000	PASS	scheduled_mark_dev_eval
step15_v2_mlm_control_20260611_163731	original_control	17	final_token_budget_eval	960	7680	500407	6521	49566	2.540437	12.685207	2.502567	0.00005000	PASS	final_mark_dev_eval_after_token_budget
step15_v2_mlm_control_20260611_163731	adapted_extended	23	zero_step	0	0	0	6521	36258	8.711814	6074.251447	NOT_APPLICABLE	0.00005000	PASS	zero_step_mark_dev_only
step15_v2_mlm_control_20260611_163731	adapted_extended	23	dev_eval	800	6400	273573	6521	36013	5.217802	184.528230	5.819876	0.00005000	PASS	scheduled_mark_dev_eval
step15_v2_mlm_control_20260611_163731	adapted_extended	23	final_token_budget_eval	1456	11648	500074	6521	35992	4.934210	138.963256	5.142153	0.00005000	PASS	final_mark_dev_eval_after_token_budget
step15_v2_mlm_control_20260611_163731	original_control	23	zero_step	0	0	0	6521	49312	4.521164	91.942589	NOT_APPLICABLE	0.00005000	PASS	zero_step_mark_dev_only
step15_v2_mlm_control_20260611_163731	original_control	23	dev_eval	800	6400	410181	6521	49305	2.575137	13.133122	3.067871	0.00005000	PASS	scheduled_mark_dev_eval
step15_v2_mlm_control_20260611_163731	original_control	23	final_token_budget_eval	975	7800	500394	6521	49331	2.471175	11.836351	2.503644	0.00005000	PASS	final_mark_dev_eval_after_token_budget
