run_id	model_family	seed	iso	language	script	rows	words	chars	non_special_tokens	added_non_special_tokens	added_token_pct	tokens_per_word	masked_all	loss_all	masked_base	loss_base	masked_added	loss_added	status
step17_v2_added_token_failure_20260611_173758	adapted_extended	13	acu	Achuar-Shiwiar	Latin	659	12604	102157	23426	11740	50.115257	1.858616	3446	5.580920	1719	3.610298	1727	7.542413	PASS
step17_v2_added_token_failure_20260611_173758	adapted_extended	13	ake	Akawaio	Latin	673	15300	95687	34524	12093	35.027807	2.256471	5222	3.576562	3386	2.565800	1836	5.440636	PASS
step17_v2_added_token_failure_20260611_173758	adapted_extended	13	bsn	Barasana-Eduria	Latin	629	17804	130869	32759	16040	48.963644	1.839980	4803	4.398000	2455	2.195492	2348	6.700877	PASS
step17_v2_added_token_failure_20260611_173758	adapted_extended	13	chr	Cherokee	Cherokee	678	8940	48030	17916	10828	60.437598	2.004027	2795	5.248442	1134	0.927115	1661	8.198703	PASS
step17_v2_added_token_failure_20260611_173758	adapted_extended	13	cop	Coptic	Coptic	678	10148	63468	16422	14021	85.379369	1.618250	2418	6.852862	350	0.185046	2068	7.981361	PASS
step17_v2_added_token_failure_20260611_173758	adapted_extended	13	kbh	Camsa	Latin	501	13406	113596	18770	9352	49.824188	1.400119	2892	5.776348	1475	3.862399	1417	7.768638	PASS
step17_v2_added_token_failure_20260611_173758	adapted_extended	13	nhg	Nahuatl (Tetelcingo)	Latin	673	13552	106944	22721	11590	51.010079	1.676579	3454	5.262535	1710	3.390643	1744	7.097933	PASS
step17_v2_added_token_failure_20260611_173758	adapted_extended	13	oji	Ojibwa	Aboriginal Syllabics	674	12376	66745	22265	15333	68.865933	1.799047	3372	6.001516	1048	0.931847	2324	8.287667	PASS
step17_v2_added_token_failure_20260611_173758	adapted_extended	13	syr	Syriac	Syriac	678	8808	44456	13280	10693	80.519578	1.507720	1996	6.244251	405	1.335018	1591	7.493930	PASS
step17_v2_added_token_failure_20260611_173758	adapted_extended	13	usp	Uspanteco	Latin	678	17786	109038	38535	9718	25.218632	2.166592	5718	3.530654	4271	2.654356	1447	6.117154	PASS
step17_v2_added_token_failure_20260611_173758	original_control	13	acu	Achuar-Shiwiar	Latin	659	12604	102157	35983	0	0.000000	2.854887	5217	3.743517	5217	3.743517	0	NOT_APPLICABLE	PASS
step17_v2_added_token_failure_20260611_173758	original_control	13	ake	Akawaio	Latin	673	15300	95687	50280	0	0.000000	3.286275	7580	2.376189	7580	2.376189	0	NOT_APPLICABLE	PASS
step17_v2_added_token_failure_20260611_173758	original_control	13	bsn	Barasana-Eduria	Latin	629	17804	130869	55673	0	0.000000	3.126994	8254	2.434013	8254	2.434013	0	NOT_APPLICABLE	PASS
step17_v2_added_token_failure_20260611_173758	original_control	13	chr	Cherokee	Cherokee	678	8940	48030	11543	0	0.000000	1.291163	1796	0.584571	1796	0.584571	0	NOT_APPLICABLE	PASS
step17_v2_added_token_failure_20260611_173758	original_control	13	cop	Coptic	Coptic	678	10148	63468	10549	0	0.000000	1.039515	1564	0.189979	1564	0.189979	0	NOT_APPLICABLE	PASS
step17_v2_added_token_failure_20260611_173758	original_control	13	kbh	Camsa	Latin	501	13406	113596	34684	0	0.000000	2.587200	5295	3.278850	5295	3.278850	0	NOT_APPLICABLE	PASS
step17_v2_added_token_failure_20260611_173758	original_control	13	nhg	Nahuatl (Tetelcingo)	Latin	673	13552	106944	40822	0	0.000000	3.012249	6302	3.065108	6302	3.065108	0	NOT_APPLICABLE	PASS
step17_v2_added_token_failure_20260611_173758	original_control	13	oji	Ojibwa	Aboriginal Syllabics	674	12376	66745	14050	0	0.000000	1.135262	2167	0.430893	2167	0.430893	0	NOT_APPLICABLE	PASS
step17_v2_added_token_failure_20260611_173758	original_control	13	syr	Syriac	Syriac	678	8808	44456	31885	0	0.000000	3.620005	4906	1.772643	4906	1.772643	0	NOT_APPLICABLE	PASS
step17_v2_added_token_failure_20260611_173758	original_control	13	usp	Uspanteco	Latin	678	17786	109038	44626	0	0.000000	2.509052	6640	3.145474	6640	3.145474	0	NOT_APPLICABLE	PASS
step17_v2_added_token_failure_20260611_173758	adapted_extended	17	acu	Achuar-Shiwiar	Latin	659	12604	102157	23426	11740	50.115257	1.858616	3557	5.718518	1746	3.902468	1811	7.469388	PASS
step17_v2_added_token_failure_20260611_173758	adapted_extended	17	ake	Akawaio	Latin	673	15300	95687	34524	12093	35.027807	2.256471	5234	3.775835	3379	2.783622	1855	5.583214	PASS
step17_v2_added_token_failure_20260611_173758	adapted_extended	17	bsn	Barasana-Eduria	Latin	629	17804	130869	32759	16040	48.963644	1.839980	4883	4.443228	2436	2.270480	2447	6.606208	PASS
step17_v2_added_token_failure_20260611_173758	adapted_extended	17	chr	Cherokee	Cherokee	678	8940	48030	17916	10828	60.437598	2.004027	2609	5.368352	1020	0.931787	1589	8.216242	PASS
step17_v2_added_token_failure_20260611_173758	adapted_extended	17	cop	Coptic	Coptic	678	10148	63468	16422	14021	85.379369	1.618250	2502	6.899988	342	0.088548	2160	7.978465	PASS
step17_v2_added_token_failure_20260611_173758	adapted_extended	17	kbh	Camsa	Latin	501	13406	113596	18770	9352	49.824188	1.400119	2726	5.814577	1352	4.106513	1374	7.495292	PASS
step17_v2_added_token_failure_20260611_173758	adapted_extended	17	nhg	Nahuatl (Tetelcingo)	Latin	673	13552	106944	22721	11590	51.010079	1.676579	3290	5.257410	1630	3.400487	1660	7.080775	PASS
step17_v2_added_token_failure_20260611_173758	adapted_extended	17	oji	Ojibwa	Aboriginal Syllabics	674	12376	66745	22265	15333	68.865933	1.799047	3322	5.983215	1053	0.941468	2269	8.322994	PASS
step17_v2_added_token_failure_20260611_173758	adapted_extended	17	syr	Syriac	Syriac	678	8808	44456	13280	10693	80.519578	1.507720	1945	6.267140	370	1.315225	1575	7.430448	PASS
step17_v2_added_token_failure_20260611_173758	adapted_extended	17	usp	Uspanteco	Latin	678	17786	109038	38535	9718	25.218632	2.166592	5796	3.416318	4383	2.536112	1413	6.146636	PASS
step17_v2_added_token_failure_20260611_173758	original_control	17	acu	Achuar-Shiwiar	Latin	659	12604	102157	35983	0	0.000000	2.854887	5451	3.750743	5451	3.750743	0	NOT_APPLICABLE	PASS
step17_v2_added_token_failure_20260611_173758	original_control	17	ake	Akawaio	Latin	673	15300	95687	50280	0	0.000000	3.286275	7739	2.477950	7739	2.477950	0	NOT_APPLICABLE	PASS
step17_v2_added_token_failure_20260611_173758	original_control	17	bsn	Barasana-Eduria	Latin	629	17804	130869	55673	0	0.000000	3.126994	8454	2.397373	8454	2.397373	0	NOT_APPLICABLE	PASS
step17_v2_added_token_failure_20260611_173758	original_control	17	chr	Cherokee	Cherokee	678	8940	48030	11543	0	0.000000	1.291163	1710	0.242978	1710	0.242978	0	NOT_APPLICABLE	PASS
step17_v2_added_token_failure_20260611_173758	original_control	17	cop	Coptic	Coptic	678	10148	63468	10549	0	0.000000	1.039515	1577	0.040384	1577	0.040384	0	NOT_APPLICABLE	PASS
step17_v2_added_token_failure_20260611_173758	original_control	17	kbh	Camsa	Latin	501	13406	113596	34684	0	0.000000	2.587200	5281	3.356262	5281	3.356262	0	NOT_APPLICABLE	PASS
step17_v2_added_token_failure_20260611_173758	original_control	17	nhg	Nahuatl (Tetelcingo)	Latin	673	13552	106944	40822	0	0.000000	3.012249	6075	3.160079	6075	3.160079	0	NOT_APPLICABLE	PASS
step17_v2_added_token_failure_20260611_173758	original_control	17	oji	Ojibwa	Aboriginal Syllabics	674	12376	66745	14050	0	0.000000	1.135262	2040	0.214459	2040	0.214459	0	NOT_APPLICABLE	PASS
