run_id	seed	checkpoint_path	stage	category	non_special_tokens	masked_tokens	mean_loss	loss_share_pct	token_share_pct	status
step18_v2_added_token_repair_20260611_175200	13	/home/axt/mnt2/jongha/second_try/checkpoints/14_v2_embedding_init/xlmr_v2_32000_fvt	zero_step	all	240618	36096	8.688407	100.000000	100.000000	PASS
step18_v2_added_token_repair_20260611_175200	13	/home/axt/mnt2/jongha/second_try/checkpoints/14_v2_embedding_init/xlmr_v2_32000_fvt	zero_step	base	119210	17884	7.100040	40.487991	49.543259	PASS
step18_v2_added_token_repair_20260611_175200	13	/home/axt/mnt2/jongha/second_try/checkpoints/14_v2_embedding_init/xlmr_v2_32000_fvt	zero_step	added	121408	18212	10.248167	59.512009	50.456741	PASS
step18_v2_added_token_repair_20260611_175200	13	/home/axt/mnt2/jongha/second_try/checkpoints/18_v2_added_token_repair/added_weighted_seed13	final	all	240618	36096	4.987092	100.000000	100.000000	PASS
step18_v2_added_token_repair_20260611_175200	13	/home/axt/mnt2/jongha/second_try/checkpoints/18_v2_added_token_repair/added_weighted_seed13	final	base	119210	17884	3.192234	31.714141	49.543259	PASS
step18_v2_added_token_repair_20260611_175200	13	/home/axt/mnt2/jongha/second_try/checkpoints/18_v2_added_token_repair/added_weighted_seed13	final	added	121408	18212	6.749625	68.285859	50.456741	PASS
step18_v2_added_token_repair_20260611_175200	17	/home/axt/mnt2/jongha/second_try/checkpoints/14_v2_embedding_init/xlmr_v2_32000_fvt	zero_step	all	240618	36246	8.665259	100.000000	100.000000	PASS
step18_v2_added_token_repair_20260611_175200	17	/home/axt/mnt2/jongha/second_try/checkpoints/14_v2_embedding_init/xlmr_v2_32000_fvt	zero_step	base	119210	17929	7.056862	40.283396	49.543259	PASS
step18_v2_added_token_repair_20260611_175200	17	/home/axt/mnt2/jongha/second_try/checkpoints/14_v2_embedding_init/xlmr_v2_32000_fvt	zero_step	added	121408	18317	10.239586	59.716604	50.456741	PASS
step18_v2_added_token_repair_20260611_175200	17	/home/axt/mnt2/jongha/second_try/checkpoints/18_v2_added_token_repair/added_weighted_seed17	final	all	240618	36246	5.121533	100.000000	100.000000	PASS
step18_v2_added_token_repair_20260611_175200	17	/home/axt/mnt2/jongha/second_try/checkpoints/18_v2_added_token_repair/added_weighted_seed17	final	base	119210	17929	3.401030	32.847815	49.543259	PASS
step18_v2_added_token_repair_20260611_175200	17	/home/axt/mnt2/jongha/second_try/checkpoints/18_v2_added_token_repair/added_weighted_seed17	final	added	121408	18317	6.805592	67.152185	50.456741	PASS
step18_v2_added_token_repair_20260611_175200	23	/home/axt/mnt2/jongha/second_try/checkpoints/14_v2_embedding_init/xlmr_v2_32000_fvt	zero_step	all	240618	35886	8.698180	100.000000	100.000000	PASS
step18_v2_added_token_repair_20260611_175200	23	/home/axt/mnt2/jongha/second_try/checkpoints/14_v2_embedding_init/xlmr_v2_32000_fvt	zero_step	base	119210	17782	7.114396	40.528939	49.543259	PASS
step18_v2_added_token_repair_20260611_175200	23	/home/axt/mnt2/jongha/second_try/checkpoints/14_v2_embedding_init/xlmr_v2_32000_fvt	zero_step	added	121408	18104	10.253794	59.471061	50.456741	PASS
step18_v2_added_token_repair_20260611_175200	23	/home/axt/mnt2/jongha/second_try/checkpoints/18_v2_added_token_repair/added_weighted_seed23	final	all	240618	35886	5.064621	100.000000	100.000000	PASS
step18_v2_added_token_repair_20260611_175200	23	/home/axt/mnt2/jongha/second_try/checkpoints/18_v2_added_token_repair/added_weighted_seed23	final	base	119210	17782	3.377534	33.045198	49.543259	PASS
step18_v2_added_token_repair_20260611_175200	23	/home/axt/mnt2/jongha/second_try/checkpoints/18_v2_added_token_repair/added_weighted_seed23	final	added	121408	18104	6.721701	66.954802	50.456741	PASS
