file_role	path	rows_or_files	bytes	md5	status	notes
score_table	/home/axt/jongha/Glot500-py39-eval/docs/exp/second_try/20_v2_staged_added_token_repair/score_table.tsv	5	1533	e74c6ffb5e31e806c6ff68a25cbc58af	PASS	repair gate table
staged_repair_summary	/home/axt/jongha/Glot500-py39-eval/docs/exp/second_try/20_v2_staged_added_token_repair/staged_repair_summary.tsv	9	5284	a7a8665b03b8163d824b31b6f3fa6302	PASS	per-variant per-seed repair summary
staged_category_loss	/home/axt/jongha/Glot500-py39-eval/docs/exp/second_try/20_v2_staged_added_token_repair/staged_category_loss.tsv	54	13929	593676d8b71f6421a3d873256e1a70b3	PASS	source/final category losses
staged_learning_curves	/home/axt/jongha/Glot500-py39-eval/docs/exp/second_try/20_v2_staged_added_token_repair/staged_learning_curves.tsv	18	3454	e3f5f4457ea7a53066a80cc997d912b5	PASS	source/final category curves
trainable_parameters	/home/axt/jongha/Glot500-py39-eval/docs/exp/second_try/20_v2_staged_added_token_repair/trainable_parameters.tsv	9	5179	b1635844946270d37fc95d5d09adb385	PASS	trainable parameter and row-delta audit
variant_summary	/home/axt/jongha/Glot500-py39-eval/docs/exp/second_try/20_v2_staged_added_token_repair/variant_summary.tsv	3	781	6158b50c7df73d5b6d280ebc9bf0d773	PASS	per-variant aggregate gates
variant_selection	/home/axt/jongha/Glot500-py39-eval/docs/exp/second_try/20_v2_staged_added_token_repair/variant_selection.md	23	715	7d58ebfb562dc96375a1a17c19a1f07f	PASS	selected repair variant/checkpoint
no_final_access_audit	/home/axt/jongha/Glot500-py39-eval/docs/exp/second_try/20_v2_staged_added_token_repair/v2_no_final_access_audit.tsv	3	703	e9616b9f967d83775fc8a4d98f9bde53	PASS	input access audit
results	/home/axt/jongha/Glot500-py39-eval/docs/exp/second_try/20_v2_staged_added_token_repair/results.md	42	1315	ae39066242baca7cc76bf3c46b843b99	PASS	step result summary
checkpoint_bias_only_added_lr1e-3_bias_only_added_lr1e-3_seed13	/home/axt/mnt2/jongha/second_try/checkpoints/20_v2_staged_added_token_repair/bias_only_added_lr1e-3/bias_only_added_lr1e-3_seed13	7	1208494195	DIRECTORY	PASS	staged repair checkpoint
checkpoint_bias_only_added_lr1e-3_bias_only_added_lr1e-3_seed17	/home/axt/mnt2/jongha/second_try/checkpoints/20_v2_staged_added_token_repair/bias_only_added_lr1e-3/bias_only_added_lr1e-3_seed17	7	1208494195	DIRECTORY	PASS	staged repair checkpoint
checkpoint_bias_only_added_lr1e-3_bias_only_added_lr1e-3_seed23	/home/axt/mnt2/jongha/second_try/checkpoints/20_v2_staged_added_token_repair/bias_only_added_lr1e-3/bias_only_added_lr1e-3_seed23	7	1208494195	DIRECTORY	PASS	staged repair checkpoint
checkpoint_bias_only_added_lr1e-4_bias_only_added_lr1e-4_seed13	/home/axt/mnt2/jongha/second_try/checkpoints/20_v2_staged_added_token_repair/bias_only_added_lr1e-4/bias_only_added_lr1e-4_seed13	7	1208494196	DIRECTORY	PASS	staged repair checkpoint
checkpoint_bias_only_added_lr1e-4_bias_only_added_lr1e-4_seed17	/home/axt/mnt2/jongha/second_try/checkpoints/20_v2_staged_added_token_repair/bias_only_added_lr1e-4/bias_only_added_lr1e-4_seed17	7	1208494196	DIRECTORY	PASS	staged repair checkpoint
checkpoint_bias_only_added_lr1e-4_bias_only_added_lr1e-4_seed23	/home/axt/mnt2/jongha/second_try/checkpoints/20_v2_staged_added_token_repair/bias_only_added_lr1e-4/bias_only_added_lr1e-4_seed23	7	1208494196	DIRECTORY	PASS	staged repair checkpoint
checkpoint_new_row_added_lr1e-5_new_row_added_lr1e-5_seed13	/home/axt/mnt2/jongha/second_try/checkpoints/20_v2_staged_added_token_repair/new_row_added_lr1e-5/new_row_added_lr1e-5_seed13	7	1208494196	DIRECTORY	PASS	staged repair checkpoint
checkpoint_new_row_added_lr1e-5_new_row_added_lr1e-5_seed17	/home/axt/mnt2/jongha/second_try/checkpoints/20_v2_staged_added_token_repair/new_row_added_lr1e-5/new_row_added_lr1e-5_seed17	7	1208494196	DIRECTORY	PASS	staged repair checkpoint
checkpoint_new_row_added_lr1e-5_new_row_added_lr1e-5_seed23	/home/axt/mnt2/jongha/second_try/checkpoints/20_v2_staged_added_token_repair/new_row_added_lr1e-5/new_row_added_lr1e-5_seed23	7	1208494196	DIRECTORY	PASS	staged repair checkpoint
