model_key	model_group	seed	direction	src_lang	tgt_lang	split	examples	aligned_cosine_mean	aligned_cosine_std	random_negative_cosine_mean	hard_negative_cosine_mean	margin_mean	margin_min
xlmr_base	xlmr_base	baseline	cop->syr	cop	syr	dev	678	0.972255	0.002848	0.972111	0.983912	-0.011656	-0.019203
xlmr_base	xlmr_base	baseline	cop->syr	cop	syr	final_test	1006	0.971087	0.002507	0.971012	0.979434	-0.008348	-0.020697
xlmr_base	xlmr_base	baseline	syr->cop	syr	cop	dev	678	0.972255	0.002848	0.972109	0.973685	-0.001429	-0.0303
xlmr_base	xlmr_base	baseline	syr->cop	syr	cop	final_test	1006	0.971087	0.002507	0.970998	0.972881	-0.001794	-0.035562
fvt_seed13	third_try_fvt	13	cop->syr	cop	syr	dev	678	0.990289	0.002982	0.989583	0.996301	-0.006012	-0.018052
fvt_seed13	third_try_fvt	13	cop->syr	cop	syr	final_test	1006	0.989709	0.002672	0.988996	0.995735	-0.006026	-0.024173
fvt_seed13	third_try_fvt	13	syr->cop	syr	cop	dev	678	0.990289	0.002982	0.989647	0.991308	-0.00102	-0.033649
fvt_seed13	third_try_fvt	13	syr->cop	syr	cop	final_test	1006	0.989709	0.002672	0.988991	0.990671	-0.000963	-0.037634
fvt_seed17	third_try_fvt	17	cop->syr	cop	syr	dev	678	0.990549	0.002851	0.990087	0.996702	-0.006153	-0.012548
fvt_seed17	third_try_fvt	17	cop->syr	cop	syr	final_test	1006	0.98993	0.002565	0.989412	0.996167	-0.006237	-0.013402
fvt_seed17	third_try_fvt	17	syr->cop	syr	cop	dev	678	0.990549	0.002851	0.990129	0.991496	-0.000947	-0.022753
fvt_seed17	third_try_fvt	17	syr->cop	syr	cop	final_test	1006	0.98993	0.002565	0.98942	0.990793	-0.000863	-0.022446
fvt_seed23	third_try_fvt	23	cop->syr	cop	syr	dev	678	0.990824	0.002542	0.990242	0.996653	-0.00583	-0.01212
fvt_seed23	third_try_fvt	23	cop->syr	cop	syr	final_test	1006	0.990276	0.002341	0.989668	0.996036	-0.005759	-0.015977
fvt_seed23	third_try_fvt	23	syr->cop	syr	cop	dev	678	0.990824	0.002542	0.990289	0.991664	-0.00084	-0.019732
fvt_seed23	third_try_fvt	23	syr->cop	syr	cop	final_test	1006	0.990276	0.002341	0.989675	0.99108	-0.000803	-0.023587
