direction	score_type	split	baseline_decoder_chrf	candidate_decoder_chrf_mean	delta_decoder_chrf	candidate_runs	candidate_seeds	baseline_aligned_score_mean	candidate_aligned_score_mean	delta_aligned_score_mean	baseline_margin_mean	candidate_margin_mean	delta_margin_mean	baseline_recall_at_1	candidate_recall_at_1	delta_recall_at_1	baseline_recall_at_5	candidate_recall_at_5	delta_recall_at_5	baseline_mrr	candidate_mrr	delta_mrr	baseline_median_rank	candidate_median_rank	delta_median_rank	baseline_hubness_at10_max_rate	candidate_hubness_at10_max_rate	delta_hubness_at10_max_rate	baseline_hubness_at10_gini	candidate_hubness_at10_gini	delta_hubness_at10_gini	interpretation
cop->syr	centered_cosine	dev	1.573229	3.907288	2.334059	3	13,17,23	0.062398	0.251133	0.188735	-0.306575	-0.400484	-0.093909	0.001475	0.002458	0.000983	0.011799	0.023107	0.011308	0.014382	0.02283	0.008448	233.0	172.666667	-60.333333	0.355457	0.243363	-0.112094	0.907631	0.796208	-0.111423	candidate_improves_retrieval_and_reduces_hubness
cop->syr	centered_cosine	final_test	1.416919	3.683624	2.266705	3	13,17,23	0.034384	0.299358	0.264974	-0.298996	-0.360252	-0.061256	0.000994	0.004307	0.003313	0.007952	0.01955	0.011598	0.008963	0.020802	0.011839	382.0	216.666667	-165.333333	0.361829	0.160702	-0.201127	0.950662	0.815979	-0.134683	candidate_improves_retrieval_and_reduces_hubness
cop->syr	centered_csls_k10	dev	1.573229	3.907288	2.334059	3	13,17,23	-0.426715	-0.609053	-0.182338	-0.440213	-0.634685	-0.194472	0.00295	0.000983	-0.001967	0.013274	0.020649	0.007375	0.014752	0.02289	0.008138	246.0	167.0	-79.0	0.265487	0.153884	-0.111603	0.852509	0.635106	-0.217403	candidate_improves_retrieval_and_reduces_hubness
cop->syr	centered_csls_k10	final_test	1.416919	3.683624	2.266705	3	13,17,23	-0.433017	-0.541435	-0.108418	-0.454257	-0.560315	-0.106058	0.002982	0.004307	0.001325	0.00994	0.0222	0.01226	0.009857	0.021875	0.012018	400.0	205.0	-195.0	0.315109	0.105699	-0.20941	0.930082	0.673184	-0.256898	candidate_improves_retrieval_and_reduces_hubness
cop->syr	csls_k10	dev	1.573229	3.907288	2.334059	3	13,17,23	-0.009644	-0.005761	0.003883	-0.011856	-0.005845	0.006011	0.001475	0.002458	0.000983	0.007375	0.016716	0.009341	0.010956	0.017955	0.006999	332.0	246.666667	-85.333333	0.99705	0.907571	-0.089479	0.984604	0.972633	-0.011971	candidate_improves_retrieval_and_reduces_hubness
cop->syr	csls_k10	final_test	1.416919	3.683624	2.266705	3	13,17,23	-0.009154	-0.005997	0.003157	-0.009165	-0.006048	0.003117	0.000994	0.002651	0.001657	0.00497	0.010271	0.005301	0.007795	0.013293	0.005498	494.0	358.333333	-135.666667	0.997018	0.903247	-0.093771	0.989588	0.982274	-0.007314	candidate_improves_retrieval_and_reduces_hubness
cop->syr	raw_cosine	dev	1.573229	3.907288	2.334059	3	13,17,23	0.972255	0.990554	0.018299	-0.011656	-0.005998	0.005658	0.001475	0.002458	0.000983	0.0059	0.011799	0.005899	0.010719	0.014648	0.003929	335.0	287.0	-48.0	1.0	0.989184	-0.010816	0.985156	0.97979	-0.005366	candidate_improves_retrieval_and_reduces_hubness
cop->syr	raw_cosine	final_test	1.416919	3.683624	2.266705	3	13,17,23	0.971087	0.989972	0.018885	-0.008348	-0.006007	0.002341	0.000994	0.002651	0.001657	0.00497	0.008615	0.003645	0.007946	0.011087	0.003141	495.0	422.666667	-72.333333	1.0	0.984758	-0.015242	0.989836	0.987549	-0.002287	candidate_improves_retrieval_and_reduces_hubness
syr->cop	centered_cosine	dev	0.0	3.685877	3.685877	3	13,17,23	0.062398	0.251133	0.188735	-0.206305	-0.289397	-0.083092	0.004425	0.001475	-0.00295	0.014749	0.018191	0.003442	0.017571	0.021508	0.003937	240.0	153.666667	-86.333333	0.330383	0.110619	-0.219764	0.751945	0.543278	-0.208667	candidate_improves_retrieval_and_reduces_hubness
syr->cop	centered_cosine	final_test	0.0	3.49488	3.49488	3	13,17,23	0.034384	0.299358	0.264974	-0.202982	-0.249993	-0.047011	0.001988	0.003976	0.001988	0.012922	0.020875	0.007953	0.011825	0.021629	0.009804	392.0	208.666667	-183.333333	0.326044	0.064944	-0.2611	0.868185	0.513356	-0.354829	candidate_improves_retrieval_and_reduces_hubness
