direction	score_type	model_group	split	runs	seeds	aligned_score_mean_mean	aligned_score_mean_std	margin_mean_mean	margin_mean_std	recall_at_1_mean	recall_at_1_std	recall_at_5_mean	recall_at_5_std	mrr_mean	mrr_std	median_rank_mean	median_rank_std	hubness_at10_max_rate_mean	hubness_at10_max_rate_std	hubness_at10_gini_mean	hubness_at10_gini_std
cop->syr	centered_cosine	third_try_fvt	dev	3	13,17,23	0.251133	0.023445	-0.400484	0.011795	0.002458	0.000695	0.023107	0.000695	0.02283	0.000728	172.666667	1.247219	0.243363	0.015748	0.796208	0.009838
cop->syr	centered_cosine	third_try_fvt	final_test	3	13,17,23	0.299358	0.018951	-0.360252	0.011518	0.004307	0.00124	0.01955	0.00124	0.020802	0.001208	216.666667	2.054805	0.160702	0.013805	0.815979	0.005876
cop->syr	centered_cosine	xlmr_base	dev	1	baseline	0.062398	0.0	-0.306575	0.0	0.001475	0.0	0.011799	0.0	0.014382	0.0	233.0	0.0	0.355457	0.0	0.907631	0.0
cop->syr	centered_cosine	xlmr_base	final_test	1	baseline	0.034384	0.0	-0.298996	0.0	0.000994	0.0	0.007952	0.0	0.008963	0.0	382.0	0.0	0.361829	0.0	0.950662	0.0
cop->syr	centered_csls_k10	third_try_fvt	dev	3	13,17,23	-0.609053	0.015545	-0.634685	0.018473	0.000983	0.000695	0.020649	0.003186	0.02289	0.001073	167.0	4.898979	0.153884	0.003871	0.635106	0.014416
cop->syr	centered_csls_k10	third_try_fvt	final_test	3	13,17,23	-0.541435	0.016191	-0.560315	0.018451	0.004307	0.000469	0.0222	0.002479	0.021875	0.001051	205.0	0.816497	0.105699	0.011771	0.673184	0.011084
cop->syr	centered_csls_k10	xlmr_base	dev	1	baseline	-0.426715	0.0	-0.440213	0.0	0.00295	0.0	0.013274	0.0	0.014752	0.0	246.0	0.0	0.265487	0.0	0.852509	0.0
cop->syr	centered_csls_k10	xlmr_base	final_test	1	baseline	-0.433017	0.0	-0.454257	0.0	0.002982	0.0	0.00994	0.0	0.009857	0.0	400.0	0.0	0.315109	0.0	0.930082	0.0
cop->syr	csls_k10	third_try_fvt	dev	3	13,17,23	-0.005761	0.000203	-0.005845	0.000116	0.002458	0.000695	0.016716	0.002507	0.017955	0.001568	246.666667	14.007934	0.907571	0.02595	0.972633	0.001933
cop->syr	csls_k10	third_try_fvt	final_test	3	13,17,23	-0.005997	0.000203	-0.006048	0.000175	0.002651	0.000469	0.010271	0.000937	0.013293	0.00027	358.333333	20.072092	0.903247	0.044546	0.982274	0.00105
cop->syr	csls_k10	xlmr_base	dev	1	baseline	-0.009644	0.0	-0.011856	0.0	0.001475	0.0	0.007375	0.0	0.010956	0.0	332.0	0.0	0.99705	0.0	0.984604	0.0
cop->syr	csls_k10	xlmr_base	final_test	1	baseline	-0.009154	0.0	-0.009165	0.0	0.000994	0.0	0.00497	0.0	0.007795	0.0	494.0	0.0	0.997018	0.0	0.989588	0.0
cop->syr	raw_cosine	third_try_fvt	dev	3	13,17,23	0.990554	0.000218	-0.005998	0.000132	0.002458	0.000695	0.011799	0.002408	0.014648	0.000837	287.0	12.328828	0.989184	0.006061	0.97979	0.000708
cop->syr	raw_cosine	third_try_fvt	final_test	3	13,17,23	0.989972	0.000233	-0.006007	0.000196	0.002651	0.000469	0.008615	0.000469	0.011087	0.000457	422.666667	11.025224	0.984758	0.006199	0.987549	0.00046
cop->syr	raw_cosine	xlmr_base	dev	1	baseline	0.972255	0.0	-0.011656	0.0	0.001475	0.0	0.0059	0.0	0.010719	0.0	335.0	0.0	1.0	0.0	0.985156	0.0
cop->syr	raw_cosine	xlmr_base	final_test	1	baseline	0.971087	0.0	-0.008348	0.0	0.000994	0.0	0.00497	0.0	0.007946	0.0	495.0	0.0	1.0	0.0	0.989836	0.0
syr->cop	centered_cosine	third_try_fvt	dev	3	13,17,23	0.251133	0.023445	-0.289397	0.012485	0.001475	0.0	0.018191	0.00184	0.021508	0.000358	153.666667	2.867442	0.110619	0.022304	0.543278	0.036706
syr->cop	centered_cosine	third_try_fvt	final_test	3	13,17,23	0.299358	0.018951	-0.249993	0.010154	0.003976	0.001406	0.020875	0.002926	0.021629	0.001705	208.666667	7.586538	0.064944	0.010148	0.513356	0.034737
syr->cop	centered_cosine	xlmr_base	dev	1	baseline	0.062398	0.0	-0.206305	0.0	0.004425	0.0	0.014749	0.0	0.017571	0.0	240.0	0.0	0.330383	0.0	0.751945	0.0
syr->cop	centered_cosine	xlmr_base	final_test	1	baseline	0.034384	0.0	-0.202982	0.0	0.001988	0.0	0.012922	0.0	0.011825	0.0	392.0	0.0	0.326044	0.0	0.868185	0.0
syr->cop	centered_csls_k10	third_try_fvt	dev	3	13,17,23	-0.609053	0.015545	-0.566644	0.019883	0.004425	0.001204	0.020157	0.003679	0.024735	0.000459	154.0	5.354126	0.075713	0.008019	0.404687	0.009355
syr->cop	centered_csls_k10	third_try_fvt	final_test	3	13,17,23	-0.541435	0.016191	-0.491619	0.014555	0.003976	0.001623	0.021206	0.002042	0.022007	0.001783	199.666667	5.249339	0.04175	0.003247	0.385853	0.010458
syr->cop	centered_csls_k10	xlmr_base	dev	1	baseline	-0.426715	0.0	-0.33686	0.0	0.004425	0.0	0.014749	0.0	0.016479	0.0	244.0	0.0	0.20944	0.0	0.582212	0.0
syr->cop	centered_csls_k10	xlmr_base	final_test	1	baseline	-0.433017	0.0	-0.347992	0.0	0.00497	0.0	0.008946	0.0	0.012413	0.0	414.0	0.0	0.172962	0.0	0.8006	0.0
syr->cop	csls_k10	third_try_fvt	dev	3	13,17,23	-0.005761	0.000203	-0.001316	0.00011	0.007375	0.003613	0.029499	0.005518	0.028605	0.004271	158.666667	4.189935	0.354474	0.049949	0.843073	0.010928
syr->cop	csls_k10	third_try_fvt	final_test	3	13,17,23	-0.005997	0.000203	-0.001267	5.1e-05	0.006627	0.001689	0.020544	0.002609	0.022242	0.00101	217.666667	3.399346	0.427767	0.026002	0.906502	0.001729
syr->cop	csls_k10	xlmr_base	dev	1	baseline	-0.009644	0.0	-0.002872	0.0	0.00295	0.0	0.007375	0.0	0.01251	0.0	309.0	0.0	0.89528	0.0	0.972744	0.0
syr->cop	csls_k10	xlmr_base	final_test	1	baseline	-0.009154	0.0	-0.003123	0.0	0.001988	0.0	0.00497	0.0	0.008688	0.0	465.0	0.0	0.858847	0.0	0.979867	0.0
syr->cop	raw_cosine	third_try_fvt	dev	3	13,17,23	0.990554	0.000218	-0.000936	7.4e-05	0.003933	0.001391	0.015241	0.001391	0.020126	0.001824	181.333333	8.259674	0.435595	0.027785	0.919011	0.00368
syr->cop	raw_cosine	third_try_fvt	final_test	3	13,17,23	0.989972	0.000233	-0.000876	6.6e-05	0.003313	0.000469	0.011597	0.000469	0.016442	0.000842	246.666667	13.123346	0.64778	0.062618	0.946781	0.003348
syr->cop	raw_cosine	xlmr_base	dev	1	baseline	0.972255	0.0	-0.001429	0.0	0.001475	0.0	0.013274	0.0	0.013658	0.0	310.0	0.0	0.70649	0.0	0.960504	0.0
syr->cop	raw_cosine	xlmr_base	final_test	1	baseline	0.971087	0.0	-0.001794	0.0	0.001988	0.0	0.006958	0.0	0.008988	0.0	466.0	0.0	0.982107	0.0	0.981116	0.0
