model_key	model_group	seed	direction	src_lang	tgt_lang	split	score_type	examples	aligned_score_mean	aligned_score_std	hard_negative_score_mean	margin_mean	margin_min	recall_at_1	recall_at_5	mrr	median_rank	hubness_at10_max_rate	hubness_at10_gini
fvt_seed13	third_try_fvt	13	cop->syr	cop	syr	dev	raw_cosine	678	0.990289	0.002982	0.996301	-0.006012	-0.018052	0.00295	0.014749	0.015818	273.0	0.982301	0.979533
fvt_seed13	third_try_fvt	13	cop->syr	cop	syr	dev	centered_cosine	678	0.279122	0.296372	0.680248	-0.401127	-1.419322	0.00295	0.023599	0.023816	171.0	0.256637	0.808548
fvt_seed13	third_try_fvt	13	cop->syr	cop	syr	dev	csls_k10	678	-0.00586	0.003332	5.6e-05	-0.005916	-0.033594	0.00295	0.019174	0.020121	231.0	0.874631	0.970271
fvt_seed13	third_try_fvt	13	cop->syr	cop	syr	dev	centered_csls_k10	678	-0.602817	0.486564	0.020467	-0.623283	-2.665237	0.001475	0.023599	0.024403	161.0	0.150442	0.654005
fvt_seed13	third_try_fvt	13	cop->syr	cop	syr	final_test	raw_cosine	1006	0.989709	0.002672	0.995735	-0.006026	-0.024173	0.002982	0.008946	0.011557	409.0	0.978131	0.986947
fvt_seed13	third_try_fvt	13	cop->syr	cop	syr	final_test	centered_cosine	1006	0.323747	0.271077	0.682859	-0.359111	-1.210388	0.003976	0.017893	0.021173	219.0	0.17992	0.821394
fvt_seed13	third_try_fvt	13	cop->syr	cop	syr	final_test	csls_k10	1006	-0.005994	0.003125	6e-05	-0.006053	-0.045529	0.001988	0.010934	0.013637	335.0	0.914513	0.980791
fvt_seed13	third_try_fvt	13	cop->syr	cop	syr	final_test	centered_csls_k10	1006	-0.535461	0.402029	0.016828	-0.552288	-2.252287	0.00497	0.022863	0.022998	206.0	0.120278	0.685547
fvt_seed13	third_try_fvt	13	syr->cop	syr	cop	dev	raw_cosine	678	0.990289	0.002982	0.991308	-0.00102	-0.033649	0.0059	0.016224	0.022009	176.0	0.460177	0.922994
fvt_seed13	third_try_fvt	13	syr->cop	syr	cop	dev	centered_cosine	678	0.279122	0.296372	0.552124	-0.273002	-1.329412	0.001475	0.016224	0.021025	150.0	0.100295	0.493047
fvt_seed13	third_try_fvt	13	syr->cop	syr	cop	dev	csls_k10	678	-0.00586	0.003332	-0.004422	-0.001438	-0.04136	0.007375	0.028024	0.029584	160.0	0.339233	0.845524
fvt_seed13	third_try_fvt	13	syr->cop	syr	cop	dev	centered_csls_k10	678	-0.602816	0.486564	-0.054262	-0.548555	-2.681895	0.00295	0.016224	0.024366	148.0	0.087021	0.391898
fvt_seed13	third_try_fvt	13	syr->cop	syr	cop	final_test	raw_cosine	1006	0.989709	0.002672	0.990671	-0.000963	-0.037634	0.002982	0.010934	0.015394	240.0	0.715706	0.950644
fvt_seed13	third_try_fvt	13	syr->cop	syr	cop	final_test	centered_cosine	1006	0.323747	0.271077	0.563196	-0.239449	-1.134976	0.002982	0.019881	0.020824	198.0	0.050696	0.464661
fvt_seed13	third_try_fvt	13	syr->cop	syr	cop	final_test	csls_k10	1006	-0.005994	0.003125	-0.004654	-0.001339	-0.050295	0.00497	0.022863	0.021211	213.0	0.463221	0.908065
fvt_seed13	third_try_fvt	13	syr->cop	syr	cop	final_test	centered_csls_k10	1006	-0.535461	0.402029	-0.052574	-0.482887	-2.212281	0.003976	0.018887	0.0214	197.0	0.04175	0.374166
fvt_seed17	third_try_fvt	17	cop->syr	cop	syr	dev	raw_cosine	678	0.990549	0.002851	0.996702	-0.006153	-0.012548	0.00295	0.00885	0.01391	303.0	0.99705	0.980757
fvt_seed17	third_try_fvt	17	cop->syr	cop	syr	dev	centered_cosine	678	0.221744	0.268827	0.636342	-0.414598	-1.40384	0.00295	0.022124	0.022593	174.0	0.252212	0.795604
