run_id	model_group	seed	direction	split	decoder_chrf	decoder_bleu	decoder_script_valid	aligned_cosine_mean	margin_mean	recall_at_1	recall_at_5	mrr	hubness_at10_max_rate
full1ep_fvt_seed13_cop_to_syr	third_try_fvt	13	cop->syr	dev	4.26883867129935	0.022695454020811568	1.0	0.990289	-0.006012	0.00295	0.014749	0.015818	0.982301
full1ep_fvt_seed13_cop_to_syr	third_try_fvt	13	cop->syr	final_test	3.9154806666439828	0.00569588240497342	1.0	0.989709	-0.006026	0.002982	0.008946	0.011557	0.978131
full1ep_fvt_seed13_syr_to_cop	third_try_fvt	13	syr->cop	dev	3.7461819804540974	0.020482310825829738	1.0	0.990289	-0.00102	0.0059	0.016224	0.022008	0.460177
full1ep_fvt_seed13_syr_to_cop	third_try_fvt	13	syr->cop	final_test	3.5644765461637613	0.012874257598295165	1.0	0.989709	-0.000963	0.002982	0.010934	0.015395	0.715706
full1ep_fvt_seed17_cop_to_syr	third_try_fvt	17	cop->syr	dev	4.691399592744996	0.0355938947456218	1.0	0.990549	-0.006153	0.00295	0.00885	0.01391	0.99705
full1ep_fvt_seed17_cop_to_syr	third_try_fvt	17	cop->syr	final_test	4.401072778104136	0.007903027874976024	1.0	0.98993	-0.006237	0.001988	0.007952	0.010467	0.993042
full1ep_fvt_seed17_syr_to_cop	third_try_fvt	17	syr->cop	dev	3.7298175111838185	0.03262638332148594	1.0	0.990549	-0.000947	0.00295	0.013274	0.017658	0.396755
full1ep_fvt_seed17_syr_to_cop	third_try_fvt	17	syr->cop	final_test	3.592456282617386	0.034557369172060357	1.0	0.98993	-0.000863	0.003976	0.011928	0.01648	0.564612
full1ep_fvt_seed23_cop_to_syr	third_try_fvt	23	cop->syr	dev	2.7616268797461534	0.0153670308011769	1.0	0.990824	-0.00583	0.001475	0.011799	0.014215	0.988201
full1ep_fvt_seed23_cop_to_syr	third_try_fvt	23	cop->syr	final_test	2.734318810467879	0.005334219657693423	1.0	0.990276	-0.005759	0.002982	0.008946	0.011236	0.983101
full1ep_fvt_seed23_syr_to_cop	third_try_fvt	23	syr->cop	dev	3.581631361096456	0.01990394406291764	1.0	0.990824	-0.00084	0.00295	0.016224	0.020712	0.449852
full1ep_fvt_seed23_syr_to_cop	third_try_fvt	23	syr->cop	final_test	3.327708063234911	0.014184380428152149	1.0	0.990276	-0.000803	0.002982	0.011928	0.01746	0.663022
full1ep_xlmr_base_cop_to_syr	xlmr_base	baseline	cop->syr	dev	1.573229206856976	0.0	1.0	0.972255	-0.011656	0.001475	0.0059	0.01072	1.0
full1ep_xlmr_base_cop_to_syr	xlmr_base	baseline	cop->syr	final_test	1.4169193709049017	0.0	1.0	0.971087	-0.008348	0.000994	0.00497	0.007946	1.0
full1ep_xlmr_base_syr_to_cop	xlmr_base	baseline	syr->cop	dev	0.0	0.0	0.0	0.972255	-0.001429	0.00295	0.013274	0.014008	0.707965
full1ep_xlmr_base_syr_to_cop	xlmr_base	baseline	syr->cop	final_test	0.0	0.0	0.0	0.971087	-0.001794	0.001988	0.006958	0.008985	0.982107
