direction	split	classifier	feature_set	candidate_runs	candidate_seeds	baseline_macro_f1	candidate_macro_f1	delta_macro_f1	baseline_accuracy	candidate_accuracy	delta_accuracy	baseline_auroc	candidate_auroc	delta_auroc	baseline_auprc	candidate_auprc	delta_auprc	baseline_positive_f1	candidate_positive_f1	delta_positive_f1	baseline_negative_f1	candidate_negative_f1	delta_negative_f1	interpretation
cop->syr	dev	cosine_threshold	cosine	3	13,17,23	0.4	0.4	0.0	0.666667	0.666667	0.0	0.259614	0.281116	0.021502	0.22811	0.232375	0.004265	0.0	0.0	0.0	0.8	0.8	0.0	no_consistent_pair_classification_gain
cop->syr	dev	cosine_threshold	diff_prod_cosine	3	13,17,23	0.4	0.4	0.0	0.666667	0.666667	0.0	0.259614	0.281116	0.021502	0.22811	0.232375	0.004265	0.0	0.0	0.0	0.8	0.8	0.0	no_consistent_pair_classification_gain
cop->syr	dev	logistic_regression	cosine	3	13,17,23	0.667699	0.634164	-0.033535	0.674041	0.646182	-0.027859	0.740386	0.718884	-0.021502	0.468134	0.450736	-0.017398	0.621791	0.567928	-0.053863	0.713607	0.700399	-0.013208	no_consistent_pair_classification_gain
cop->syr	dev	logistic_regression	diff_prod_cosine	3	13,17,23	0.795569	0.774054	-0.021515	0.803835	0.782039	-0.021796	0.876297	0.855933	-0.020364	0.707772	0.704544	-0.003228	0.754462	0.731961	-0.022501	0.836676	0.816146	-0.02053	no_consistent_pair_classification_gain
cop->syr	final_test	cosine_threshold	cosine	3	13,17,23	0.4	0.4	0.0	0.666667	0.666667	0.0	0.258756	0.287507	0.028751	0.228138	0.233908	0.00577	0.0	0.0	0.0	0.8	0.8	0.0	no_consistent_pair_classification_gain
cop->syr	final_test	cosine_threshold	diff_prod_cosine	3	13,17,23	0.4	0.4	0.0	0.666667	0.666667	0.0	0.258756	0.287507	0.028751	0.228138	0.233908	0.00577	0.0	0.0	0.0	0.8	0.8	0.0	no_consistent_pair_classification_gain
cop->syr	final_test	logistic_regression	cosine	3	13,17,23	0.679128	0.642153	-0.036975	0.67992	0.647228	-0.032692	0.741244	0.712493	-0.028751	0.45982	0.443225	-0.016595	0.66318	0.599627	-0.063553	0.695076	0.684679	-0.010397	no_consistent_pair_classification_gain
cop->syr	final_test	logistic_regression	diff_prod_cosine	3	13,17,23	0.689436	0.724678	0.035242	0.691849	0.728628	0.036779	0.802573	0.860269	0.057696	0.555811	0.716681	0.16087	0.662064	0.693237	0.031173	0.716809	0.756119	0.03931	candidate_improves_pair_classification
syr->cop	dev	cosine_threshold	cosine	3	13,17,23	0.45041	0.489544	0.039134	0.501475	0.569486	0.068011	0.428541	0.476517	0.047976	0.28514	0.317471	0.032331	0.282885	0.287853	0.004968	0.617935	0.691236	0.073301	candidate_improves_pair_classification
syr->cop	dev	cosine_threshold	diff_prod_cosine	3	13,17,23	0.45041	0.489544	0.039134	0.501475	0.569486	0.068011	0.428541	0.476517	0.047976	0.28514	0.317471	0.032331	0.282885	0.287853	0.004968	0.617935	0.691236	0.073301	candidate_improves_pair_classification
syr->cop	dev	logistic_regression	cosine	3	13,17,23	0.546536	0.510422	-0.036114	0.568338	0.530974	-0.037364	0.571459	0.523483	-0.047976	0.369305	0.343757	-0.025548	0.447103	0.410145	-0.036958	0.645968	0.610698	-0.03527	no_consistent_pair_classification_gain
syr->cop	dev	logistic_regression	diff_prod_cosine	3	13,17,23	0.744382	0.773631	0.029249	0.752212	0.786464	0.034252	0.823932	0.859191	0.035259	0.640888	0.70953	0.068642	0.699642	0.719755	0.020113	0.789121	0.827508	0.038387	candidate_improves_pair_classification
syr->cop	final_test	cosine_threshold	cosine	3	13,17,23	0.398298	0.467716	0.069418	0.523194	0.594986	0.071792	0.394738	0.480477	0.085739	0.265241	0.31809	0.052849	0.124163	0.207681	0.083518	0.672433	0.727752	0.055319	candidate_improves_pair_classification
syr->cop	final_test	cosine_threshold	diff_prod_cosine	3	13,17,23	0.398298	0.467716	0.069418	0.523194	0.594986	0.071792	0.394738	0.480477	0.085739	0.265241	0.31809	0.052849	0.124163	0.207681	0.083518	0.672433	0.727752	0.055319	candidate_improves_pair_classification
syr->cop	final_test	logistic_regression	cosine	3	13,17,23	0.546291	0.487146	-0.059145	0.547714	0.491274	-0.05644	0.605262	0.519523	-0.085739	0.380308	0.33908	-0.041228	0.520885	0.44115	-0.079735	0.571698	0.533142	-0.038556	no_consistent_pair_classification_gain
syr->cop	final_test	logistic_regression	diff_prod_cosine	3	13,17,23	0.719811	0.791602	0.071791	0.725315	0.800199	0.074884	0.796047	0.884051	0.088004	0.566136	0.745115	0.178979	0.680539	0.749318	0.068779	0.759082	0.833886	0.074804	candidate_improves_pair_classification
