direction	model_group	split	classifier	feature_set	runs	seeds	macro_f1_mean	macro_f1_std	accuracy_mean	accuracy_std	auroc_mean	auroc_std	auprc_mean	auprc_std	positive_f1_mean	positive_f1_std	negative_f1_mean	negative_f1_std
cop->syr	third_try_fvt	dev	cosine_threshold	cosine	3	13,17,23	0.4	0.0	0.666667	0.0	0.281116	0.00529	0.232375	0.001285	0.0	0.0	0.8	0.0
cop->syr	third_try_fvt	dev	cosine_threshold	diff_prod_cosine	3	13,17,23	0.4	0.0	0.666667	0.0	0.281116	0.00529	0.232375	0.001285	0.0	0.0	0.8	0.0
cop->syr	third_try_fvt	dev	logistic_regression	cosine	3	13,17,23	0.634164	0.001615	0.646182	0.002673	0.718884	0.00529	0.450736	0.00742	0.567928	0.001299	0.700399	0.00437
cop->syr	third_try_fvt	dev	logistic_regression	diff_prod_cosine	3	13,17,23	0.774054	0.007737	0.782039	0.009637	0.855933	0.000799	0.704544	0.002853	0.731961	0.00381	0.816146	0.011861
cop->syr	third_try_fvt	final_test	cosine_threshold	cosine	3	13,17,23	0.4	0.0	0.666667	0.0	0.287507	0.00563	0.233908	0.001467	0.0	0.0	0.8	0.0
cop->syr	third_try_fvt	final_test	cosine_threshold	diff_prod_cosine	3	13,17,23	0.4	0.0	0.666667	0.0	0.287507	0.00563	0.233908	0.001467	0.0	0.0	0.8	0.0
cop->syr	third_try_fvt	final_test	logistic_regression	cosine	3	13,17,23	0.642153	0.000409	0.647228	0.00087	0.712493	0.00563	0.443225	0.00848	0.599627	0.002609	0.684679	0.002862
cop->syr	third_try_fvt	final_test	logistic_regression	diff_prod_cosine	3	13,17,23	0.724678	0.027721	0.728628	0.029252	0.860269	0.012449	0.716681	0.020679	0.693237	0.022388	0.756119	0.033909
cop->syr	xlmr_base	dev	cosine_threshold	cosine	1	baseline	0.4	0.0	0.666667	0.0	0.259614	0.0	0.22811	0.0	0.0	0.0	0.8	0.0
cop->syr	xlmr_base	dev	cosine_threshold	diff_prod_cosine	1	baseline	0.4	0.0	0.666667	0.0	0.259614	0.0	0.22811	0.0	0.0	0.0	0.8	0.0
cop->syr	xlmr_base	dev	logistic_regression	cosine	1	baseline	0.667699	0.0	0.674041	0.0	0.740386	0.0	0.468134	0.0	0.621791	0.0	0.713607	0.0
cop->syr	xlmr_base	dev	logistic_regression	diff_prod_cosine	1	baseline	0.795569	0.0	0.803835	0.0	0.876297	0.0	0.707772	0.0	0.754462	0.0	0.836676	0.0
cop->syr	xlmr_base	final_test	cosine_threshold	cosine	1	baseline	0.4	0.0	0.666667	0.0	0.258756	0.0	0.228138	0.0	0.0	0.0	0.8	0.0
cop->syr	xlmr_base	final_test	cosine_threshold	diff_prod_cosine	1	baseline	0.4	0.0	0.666667	0.0	0.258756	0.0	0.228138	0.0	0.0	0.0	0.8	0.0
cop->syr	xlmr_base	final_test	logistic_regression	cosine	1	baseline	0.679128	0.0	0.67992	0.0	0.741244	0.0	0.45982	0.0	0.66318	0.0	0.695076	0.0
cop->syr	xlmr_base	final_test	logistic_regression	diff_prod_cosine	1	baseline	0.689436	0.0	0.691849	0.0	0.802573	0.0	0.555811	0.0	0.662064	0.0	0.716809	0.0
syr->cop	third_try_fvt	dev	cosine_threshold	cosine	3	13,17,23	0.489544	0.002163	0.569486	0.009051	0.476517	0.003137	0.317471	0.001529	0.287853	0.011807	0.691236	0.0113
syr->cop	third_try_fvt	dev	cosine_threshold	diff_prod_cosine	3	13,17,23	0.489544	0.002163	0.569486	0.009051	0.476517	0.003137	0.317471	0.001529	0.287853	0.011807	0.691236	0.0113
syr->cop	third_try_fvt	dev	logistic_regression	cosine	3	13,17,23	0.510422	0.00342	0.530974	0.004171	0.523483	0.003137	0.343757	0.004456	0.410145	0.002547	0.610698	0.00501
syr->cop	third_try_fvt	dev	logistic_regression	diff_prod_cosine	3	13,17,23	0.773631	0.004931	0.786464	0.005239	0.859191	0.005607	0.70953	0.017963	0.719755	0.004966	0.827508	0.005025
syr->cop	third_try_fvt	final_test	cosine_threshold	cosine	3	13,17,23	0.467716	0.006125	0.594986	0.00664	0.480477	0.002632	0.31809	0.001047	0.207681	0.020205	0.727752	0.008181
syr->cop	third_try_fvt	final_test	cosine_threshold	diff_prod_cosine	3	13,17,23	0.467716	0.006125	0.594986	0.00664	0.480477	0.002632	0.31809	0.001047	0.207681	0.020205	0.727752	0.008181
syr->cop	third_try_fvt	final_test	logistic_regression	cosine	3	13,17,23	0.487146	0.002752	0.491274	0.002723	0.519523	0.002632	0.33908	0.004341	0.44115	0.003386	0.533142	0.002764
syr->cop	third_try_fvt	final_test	logistic_regression	diff_prod_cosine	3	13,17,23	0.791602	0.002909	0.800199	0.002851	0.884051	0.001629	0.745115	0.003031	0.749318	0.004068	0.833886	0.002899
syr->cop	xlmr_base	dev	cosine_threshold	cosine	1	baseline	0.45041	0.0	0.501475	0.0	0.428541	0.0	0.28514	0.0	0.282885	0.0	0.617935	0.0
syr->cop	xlmr_base	dev	cosine_threshold	diff_prod_cosine	1	baseline	0.45041	0.0	0.501475	0.0	0.428541	0.0	0.28514	0.0	0.282885	0.0	0.617935	0.0
syr->cop	xlmr_base	dev	logistic_regression	cosine	1	baseline	0.546536	0.0	0.568338	0.0	0.571459	0.0	0.369305	0.0	0.447103	0.0	0.645968	0.0
syr->cop	xlmr_base	dev	logistic_regression	diff_prod_cosine	1	baseline	0.744382	0.0	0.752212	0.0	0.823932	0.0	0.640888	0.0	0.699642	0.0	0.789121	0.0
syr->cop	xlmr_base	final_test	cosine_threshold	cosine	1	baseline	0.398298	0.0	0.523194	0.0	0.394738	0.0	0.265241	0.0	0.124163	0.0	0.672433	0.0
syr->cop	xlmr_base	final_test	cosine_threshold	diff_prod_cosine	1	baseline	0.398298	0.0	0.523194	0.0	0.394738	0.0	0.265241	0.0	0.124163	0.0	0.672433	0.0
syr->cop	xlmr_base	final_test	logistic_regression	cosine	1	baseline	0.546291	0.0	0.547714	0.0	0.605262	0.0	0.380308	0.0	0.520885	0.0	0.571698	0.0
syr->cop	xlmr_base	final_test	logistic_regression	diff_prod_cosine	1	baseline	0.719811	0.0	0.725315	0.0	0.796047	0.0	0.566136	0.0	0.680539	0.0	0.759082	0.0
