model_key	model_group	seed	direction	src_lang	tgt_lang	split	classifier	feature_set	negative_policy	selected_value	examples	positive_rate	accuracy	macro_f1	negative_f1	positive_f1	negative_precision	positive_precision	negative_recall	positive_recall	auroc	auprc
xlmr_base	xlmr_base	baseline	cop->syr	cop	syr	dev	cosine_threshold	cosine	shifted_plus_hard	0.985774	2034	0.333333	0.666667	0.4	0.8	0.0	0.666667	0.0	1.0	0.0	0.259614	0.22811
xlmr_base	xlmr_base	baseline	cop->syr	cop	syr	dev	logistic_regression	cosine	shifted_plus_hard	0.1	2034	0.333333	0.674041	0.667699	0.713607	0.621791	0.861314	0.506977	0.609145	0.803835	0.740386	0.468134
xlmr_base	xlmr_base	baseline	cop->syr	cop	syr	final_test	cosine_threshold	cosine	shifted_plus_hard	0.985774	3018	0.333333	0.666667	0.4	0.8	0.0	0.666667	0.0	1.0	0.0	0.258756	0.228138
xlmr_base	xlmr_base	baseline	cop->syr	cop	syr	final_test	logistic_regression	cosine	shifted_plus_hard	0.1	3018	0.333333	0.67992	0.679128	0.695076	0.66318	0.952422	0.510741	0.547217	0.945328	0.741244	0.45982
xlmr_base	xlmr_base	baseline	cop->syr	cop	syr	dev	cosine_threshold	diff_prod_cosine	shifted_plus_hard	0.985774	2034	0.333333	0.666667	0.4	0.8	0.0	0.666667	0.0	1.0	0.0	0.259614	0.22811
xlmr_base	xlmr_base	baseline	cop->syr	cop	syr	dev	logistic_regression	diff_prod_cosine	shifted_plus_hard	0.1	2034	0.333333	0.803835	0.795569	0.836676	0.754462	0.940202	0.647307	0.753687	0.90413	0.876297	0.707772
xlmr_base	xlmr_base	baseline	cop->syr	cop	syr	final_test	cosine_threshold	diff_prod_cosine	shifted_plus_hard	0.985774	3018	0.333333	0.666667	0.4	0.8	0.0	0.666667	0.0	1.0	0.0	0.258756	0.228138
xlmr_base	xlmr_base	baseline	cop->syr	cop	syr	final_test	logistic_regression	diff_prod_cosine	shifted_plus_hard	0.1	3018	0.333333	0.691849	0.689436	0.716809	0.662064	0.925314	0.521764	0.58499	0.905567	0.802573	0.555811
xlmr_base	xlmr_base	baseline	syr->cop	syr	cop	dev	cosine_threshold	cosine	shifted_plus_hard	0.973439	2034	0.333333	0.501475	0.45041	0.617935	0.282885	0.631741	0.271739	0.60472	0.294985	0.428541	0.28514
xlmr_base	xlmr_base	baseline	syr->cop	syr	cop	dev	logistic_regression	cosine	shifted_plus_hard	0.01	2034	0.333333	0.568338	0.546536	0.645968	0.447103	0.712633	0.39011	0.590708	0.523599	0.571459	0.369305
xlmr_base	xlmr_base	baseline	syr->cop	syr	cop	final_test	cosine_threshold	cosine	shifted_plus_hard	0.973439	3018	0.333333	0.523194	0.398298	0.672433	0.124163	0.620328	0.160126	0.734095	0.101392	0.394738	0.265241
xlmr_base	xlmr_base	baseline	syr->cop	syr	cop	final_test	logistic_regression	cosine	shifted_plus_hard	0.01	3018	0.333333	0.547714	0.546291	0.571698	0.520885	0.775319	0.402604	0.452783	0.737575	0.605262	0.380308
xlmr_base	xlmr_base	baseline	syr->cop	syr	cop	dev	cosine_threshold	diff_prod_cosine	shifted_plus_hard	0.973439	2034	0.333333	0.501475	0.45041	0.617935	0.282885	0.631741	0.271739	0.60472	0.294985	0.428541	0.28514
xlmr_base	xlmr_base	baseline	syr->cop	syr	cop	dev	logistic_regression	diff_prod_cosine	shifted_plus_hard	1.0	2034	0.333333	0.752212	0.744382	0.789121	0.699642	0.911992	0.587	0.695428	0.865782	0.823932	0.640888
xlmr_base	xlmr_base	baseline	syr->cop	syr	cop	final_test	cosine_threshold	diff_prod_cosine	shifted_plus_hard	0.973439	3018	0.333333	0.523194	0.398298	0.672433	0.124163	0.620328	0.160126	0.734095	0.101392	0.394738	0.265241
xlmr_base	xlmr_base	baseline	syr->cop	syr	cop	final_test	logistic_regression	diff_prod_cosine	shifted_plus_hard	1.0	3018	0.333333	0.725315	0.719811	0.759082	0.680539	0.913926	0.555695	0.649105	0.877734	0.796047	0.566136
fvt_seed13	third_try_fvt	13	cop->syr	cop	syr	dev	cosine_threshold	cosine	shifted_plus_hard	0.997587	2034	0.333333	0.666667	0.4	0.8	0.0	0.666667	0.0	1.0	0.0	0.287389	0.233835
fvt_seed13	third_try_fvt	13	cop->syr	cop	syr	dev	logistic_regression	cosine	shifted_plus_hard	0.01	2034	0.333333	0.644051	0.633062	0.696563	0.56956	0.806796	0.477092	0.612832	0.70649	0.712611	0.442519
fvt_seed13	third_try_fvt	13	cop->syr	cop	syr	final_test	cosine_threshold	cosine	shifted_plus_hard	0.997587	3018	0.333333	0.666667	0.4	0.8	0.0	0.666667	0.0	1.0	0.0	0.294412	0.235685
fvt_seed13	third_try_fvt	13	cop->syr	cop	syr	final_test	logistic_regression	cosine	shifted_plus_hard	0.01	3018	0.333333	0.646455	0.642203	0.681207	0.603198	0.853933	0.481878	0.5666	0.806163	0.705588	0.433522
fvt_seed13	third_try_fvt	13	cop->syr	cop	syr	dev	cosine_threshold	diff_prod_cosine	shifted_plus_hard	0.997587	2034	0.333333	0.666667	0.4	0.8	0.0	0.666667	0.0	1.0	0.0	0.287389	0.233835
fvt_seed13	third_try_fvt	13	cop->syr	cop	syr	dev	logistic_regression	diff_prod_cosine	shifted_plus_hard	0.01	2034	0.333333	0.773353	0.766719	0.806058	0.72738	0.938296	0.607108	0.70649	0.90708	0.856	0.708479
fvt_seed13	third_try_fvt	13	cop->syr	cop	syr	final_test	cosine_threshold	diff_prod_cosine	shifted_plus_hard	0.997587	3018	0.333333	0.666667	0.4	0.8	0.0	0.666667	0.0	1.0	0.0	0.294412	0.235685
fvt_seed13	third_try_fvt	13	cop->syr	cop	syr	final_test	logistic_regression	diff_prod_cosine	shifted_plus_hard	0.01	3018	0.333333	0.763419	0.758329	0.793403	0.723256	0.949446	0.592757	0.681412	0.927435	0.875462	0.733825
fvt_seed13	third_try_fvt	13	syr->cop	syr	cop	dev	cosine_threshold	cosine	shifted_plus_hard	0.992259	2034	0.333333	0.580138	0.488221	0.70511	0.271331	0.662987	0.321862	0.75295	0.234513	0.477275	0.317966
fvt_seed13	third_try_fvt	13	syr->cop	syr	cop	dev	logistic_regression	cosine	shifted_plus_hard	0.01	2034	0.333333	0.528024	0.507419	0.608163	0.406675	0.680987	0.35	0.54941	0.485251	0.522725	0.341345
fvt_seed13	third_try_fvt	13	syr->cop	syr	cop	final_test	cosine_threshold	cosine	shifted_plus_hard	0.992259	3018	0.333333	0.604374	0.459623	0.739301	0.179945	0.659268	0.291111	0.841451	0.130219	0.480541	0.317336
fvt_seed13	third_try_fvt	13	syr->cop	syr	cop	final_test	logistic_regression	cosine	shifted_plus_hard	0.01	3018	0.333333	0.494367	0.490468	0.53504	0.445897	0.691339	0.351259	0.436382	0.610338	0.519459	0.335831
fvt_seed13	third_try_fvt	13	syr->cop	syr	cop	dev	cosine_threshold	diff_prod_cosine	shifted_plus_hard	0.992259	2034	0.333333	0.580138	0.488221	0.70511	0.271331	0.662987	0.321862	0.75295	0.234513	0.477275	0.317966
fvt_seed13	third_try_fvt	13	syr->cop	syr	cop	dev	logistic_regression	diff_prod_cosine	shifted_plus_hard	0.01	2034	0.333333	0.791544	0.778023	0.832808	0.723238	0.894915	0.648712	0.778761	0.817109	0.861811	0.719156
fvt_seed13	third_try_fvt	13	syr->cop	syr	cop	final_test	cosine_threshold	diff_prod_cosine	shifted_plus_hard	0.992259	3018	0.333333	0.604374	0.459623	0.739301	0.179945	0.659268	0.291111	0.841451	0.130219	0.480541	0.317336
fvt_seed13	third_try_fvt	13	syr->cop	syr	cop	final_test	logistic_regression	diff_prod_cosine	shifted_plus_hard	0.01	3018	0.333333	0.799867	0.792356	0.831849	0.752864	0.94557	0.639777	0.742545	0.914513	0.885114	0.748756
fvt_seed17	third_try_fvt	17	cop->syr	cop	syr	dev	cosine_threshold	cosine	shifted_plus_hard	0.997965	2034	0.333333	0.666667	0.4	0.8	0.0	0.666667	0.0	1.0	0.0	0.274449	0.230707
fvt_seed17	third_try_fvt	17	cop->syr	cop	syr	dev	logistic_regression	cosine	shifted_plus_hard	0.1	2034	0.333333	0.649951	0.636448	0.706513	0.566382	0.800935	0.482365	0.632006	0.685841	0.725551	0.460497
fvt_seed17	third_try_fvt	17	cop->syr	cop	syr	final_test	cosine_threshold	cosine	shifted_plus_hard	0.997965	3018	0.333333	0.666667	0.4	0.8	0.0	0.666667	0.0	1.0	0.0	0.280621	0.232092
fvt_seed17	third_try_fvt	17	cop->syr	cop	syr	final_test	logistic_regression	cosine	shifted_plus_hard	0.1	3018	0.333333	0.648443	0.642627	0.688216	0.597038	0.84184	0.483098	0.582008	0.781312	0.719379	0.45418
fvt_seed17	third_try_fvt	17	cop->syr	cop	syr	dev	cosine_threshold	diff_prod_cosine	shifted_plus_hard	0.997965	2034	0.333333	0.666667	0.4	0.8	0.0	0.666667	0.0	1.0	0.0	0.274449	0.230707
fvt_seed17	third_try_fvt	17	cop->syr	cop	syr	dev	logistic_regression	diff_prod_cosine	shifted_plus_hard	1.0	2034	0.333333	0.795477	0.784753	0.832797	0.736709	0.915194	0.645233	0.764012	0.858407	0.856876	0.703351
fvt_seed17	third_try_fvt	17	cop->syr	cop	syr	final_test	cosine_threshold	diff_prod_cosine	shifted_plus_hard	0.997965	3018	0.333333	0.666667	0.4	0.8	0.0	0.666667	0.0	1.0	0.0	0.280621	0.232092
fvt_seed17	third_try_fvt	17	cop->syr	cop	syr	final_test	logistic_regression	diff_prod_cosine	shifted_plus_hard	1.0	3018	0.333333	0.730616	0.72527	0.763594	0.686946	0.920112	0.560654	0.652584	0.88668	0.84497	0.687591
fvt_seed17	third_try_fvt	17	syr->cop	syr	cop	dev	cosine_threshold	cosine	shifted_plus_hard	0.992303	2034	0.333333	0.558014	0.487818	0.677431	0.298205	0.659679	0.31675	0.696165	0.281711	0.472352	0.3154
fvt_seed17	third_try_fvt	17	syr->cop	syr	cop	dev	logistic_regression	cosine	shifted_plus_hard	0.01	2034	0.333333	0.536873	0.515207	0.617695	0.412718	0.686823	0.357451	0.561209	0.488201	0.527648	0.350005
fvt_seed17	third_try_fvt	17	syr->cop	syr	cop	final_test	cosine_threshold	cosine	shifted_plus_hard	0.992303	3018	0.333333	0.590457	0.474435	0.721371	0.2275	0.660066	0.306397	0.795229	0.180915	0.477223	0.317364
fvt_seed17	third_try_fvt	17	syr->cop	syr	cop	final_test	logistic_regression	cosine	shifted_plus_hard	0.01	3018	0.333333	0.491716	0.48724	0.535152	0.439327	0.685559	0.347399	0.438867	0.597416	0.522777	0.345215
fvt_seed17	third_try_fvt	17	syr->cop	syr	cop	dev	cosine_threshold	diff_prod_cosine	shifted_plus_hard	0.992303	2034	0.333333	0.558014	0.487818	0.677431	0.298205	0.659679	0.31675	0.696165	0.281711	0.472352	0.3154
fvt_seed17	third_try_fvt	17	syr->cop	syr	cop	dev	logistic_regression	diff_prod_cosine	shifted_plus_hard	0.1	2034	0.333333	0.788594	0.776126	0.828958	0.723295	0.899827	0.641553	0.768437	0.828909	0.864362	0.725077
fvt_seed17	third_try_fvt	17	syr->cop	syr	cop	final_test	cosine_threshold	diff_prod_cosine	shifted_plus_hard	0.992303	3018	0.333333	0.590457	0.474435	0.721371	0.2275	0.660066	0.306397	0.795229	0.180915	0.477223	0.317364
fvt_seed17	third_try_fvt	17	syr->cop	syr	cop	final_test	logistic_regression	diff_prod_cosine	shifted_plus_hard	0.1	3018	0.333333	0.796885	0.787723	0.831824	0.743622	0.928353	0.641877	0.753479	0.883698	0.881749	0.745255
