run_id	model_group	seed	direction	src_lang	tgt_lang	split	loss	chrf	bleu	examples	elapsed_sec	length_ratio	exact_copy_rate	mean_source_copy_char_overlap	mean_script_valid_ratio	mean_max_run_ratio
full1ep_fvt_seed13_cop_to_syr	third_try_fvt	13	cop->syr	cop	syr	dev	3.6691717484418085	4.26883867129935	0.022695454020811568	678	592.0655477046967	1.1555695519165017	0.0	0.0	1.0	0.6090621698227164
full1ep_fvt_seed13_cop_to_syr	third_try_fvt	13	cop->syr	cop	syr	final_test	3.754297345403641	3.9154806666439828	0.00569588240497342	1006	592.0655477046967	1.090235597849811	0.0	0.0	1.0	0.6961791911285791
full1ep_fvt_seed13_syr_to_cop	third_try_fvt	13	syr->cop	syr	cop	dev	3.542513937108657	3.7461819804540974	0.020482310825829738	678	254.060879945755	0.3147570429192664	0.0	0.0	1.0	0.4661180583649247
full1ep_fvt_seed13_syr_to_cop	third_try_fvt	13	syr->cop	syr	cop	final_test	3.6114229058462475	3.5644765461637613	0.012874257598295165	1006	254.060879945755	0.2967149152764393	0.0	0.0	1.0	0.4123547164324471
full1ep_fvt_seed17_cop_to_syr	third_try_fvt	17	cop->syr	cop	syr	dev	3.673167380164651	4.691399592744996	0.0355938947456218	678	570.3475379943848	0.9054345870073781	0.0	0.0	1.0	0.4016421411517815
full1ep_fvt_seed17_cop_to_syr	third_try_fvt	17	cop->syr	cop	syr	final_test	3.7605510193204124	4.401072778104136	0.007903027874976024	1006	570.3475379943848	0.9176467653625014	0.0	0.0	1.0	0.499859017721334
full1ep_fvt_seed17_syr_to_cop	third_try_fvt	17	syr->cop	syr	cop	dev	3.5532830126145307	3.7298175111838185	0.03262638332148594	678	232.6793565750122	0.2996470662381042	0.0	0.0	1.0	0.4770949951331617
full1ep_fvt_seed17_syr_to_cop	third_try_fvt	17	syr->cop	syr	cop	final_test	3.6264718884513494	3.592456282617386	0.034557369172060357	1006	232.6793565750122	0.30409723326814936	0.0	0.0	1.0	0.5047543148025222
full1ep_fvt_seed23_cop_to_syr	third_try_fvt	23	cop->syr	cop	syr	dev	3.6799973740297207	2.7616268797461534	0.0153670308011769	678	590.7886593341827	0.7643287745186251	0.0	0.0	1.0	0.3760191875264388
full1ep_fvt_seed23_cop_to_syr	third_try_fvt	23	cop->syr	cop	syr	final_test	3.7610726375428456	2.734318810467879	0.005334219657693423	1006	590.7886593341827	0.71041045660335	0.0	0.0	1.0	0.3915148673382312
full1ep_fvt_seed23_syr_to_cop	third_try_fvt	23	syr->cop	syr	cop	dev	3.5415180178249583	3.581631361096456	0.01990394406291764	678	273.143447637558	0.32233566521711726	0.0	0.0	1.0	0.5167700625706163
full1ep_fvt_seed23_syr_to_cop	third_try_fvt	23	syr->cop	syr	cop	final_test	3.6116861880771696	3.327708063234911	0.014184380428152149	1006	273.143447637558	0.3366767405522236	0.0	0.0	1.0	0.5145486704811828
full1ep_xlmr_base_cop_to_syr	xlmr_base	baseline	cop->syr	cop	syr	dev	1.918844741933486	1.573229206856976	0.0	678	493.4091086387634	0.9245096274968508	0.0	0.0	1.0	0.5932317273025216
full1ep_xlmr_base_cop_to_syr	xlmr_base	baseline	cop->syr	cop	syr	final_test	1.927357498615507	1.4169193709049017	0.0	1006	493.4091086387634	0.7724092343381683	0.0	0.0	1.0	0.6020953643220021
full1ep_xlmr_base_syr_to_cop	xlmr_base	baseline	syr->cop	syr	cop	dev	0.12940463879529168	0.0	0.0	678	608.3309323787689	0.670337808029243	0.0	0.0	0.0	0.0
full1ep_xlmr_base_syr_to_cop	xlmr_base	baseline	syr->cop	syr	cop	final_test	0.10082255049593865	0.0	0.0	1006	608.3309323787689	0.5922789748963762	0.0	0.0	0.0	0.0
