model_key	language_id	examples	masked_tokens	mean_nll	pseudo_perplexity	avg_gold_probability	top1_accuracy	top5_accuracy	top10_accuracy	content_masked_tokens	content_mean_nll	content_pseudo_perplexity	content_avg_gold_probability	content_top1_accuracy	content_top5_accuracy	content_top10_accuracy
align_mlm200	acu	20	869	5.292626	198.864888	0.005029	0.406214	0.448792	0.467204	479	8.787266	6550.301558	0.000153	0.033403	0.056367	0.075157
align_mlm200	ake	20	1055	4.658437	105.47105	0.009481	0.37346	0.525118	0.557346	559	7.487529	1785.633481	0.00056	0.06619	0.153846	0.205725
align_mlm200	bsn	20	1346	4.634738	103.000909	0.009709	0.476969	0.531947	0.554235	666	8.539254	5111.529655	0.000196	0.051051	0.099099	0.141141
align_mlm200	chr	20	642	4.357286	78.045041	0.012813	0.535826	0.573209	0.580997	264	9.713559	16540.370242	6e-05	0.0	0.0	0.0
align_mlm200	cop	20	698	5.277324	195.845132	0.005106	0.441261	0.441261	0.441261	390	9.256802	10475.577958	9.5e-05	0.0	0.0	0.0
align_mlm200	kbh	20	952	5.509559	247.042175	0.004048	0.370798	0.440126	0.456933	566	8.593002	5393.783904	0.000185	0.026502	0.083039	0.109541
align_mlm200	nhg	20	908	5.459275	234.927093	0.004257	0.404185	0.451542	0.459251	516	8.862681	7063.39269	0.000142	0.03876	0.067829	0.075581
align_mlm200	oji	20	929	4.649999	104.584833	0.009562	0.501615	0.526372	0.528525	437	9.4892	13216.221793	7.6e-05	0.0	0.0	0.0
align_mlm200	syr	20	555	4.793392	120.710155	0.008284	0.463063	0.473874	0.479279	312	8.434053	4601.109104	0.000217	0.044872	0.064103	0.073718
align_mlm200	usp	20	1184	5.197155	180.757178	0.005532	0.390203	0.478885	0.504223	809	7.152578	1277.394926	0.000783	0.190358	0.250927	0.284302
fvt_mlm200	acu	20	869	5.495448	243.580532	0.004105	0.390104	0.469505	0.489068	479	9.096745	8926.188547	0.000112	0.022965	0.08142	0.100209
fvt_mlm200	ake	20	1055	4.583738	97.879578	0.010217	0.347867	0.527014	0.575355	559	7.178711	1311.216441	0.000763	0.060823	0.169946	0.243292
fvt_mlm200	bsn	20	1346	4.59961	99.445526	0.010056	0.459881	0.544577	0.567608	666	8.472344	4780.709448	0.000209	0.048048	0.114114	0.15015
fvt_mlm200	chr	20	642	4.334161	76.260972	0.013113	0.537383	0.576324	0.584112	264	9.577414	14435.046455	6.9e-05	0.0	0.0	0.0
fvt_mlm200	cop	20	698	5.360244	212.77681	0.0047	0.438395	0.441261	0.441261	390	9.293045	10862.208209	9.2e-05	0.0	0.0	0.0
fvt_mlm200	kbh	20	952	5.709049	301.584058	0.003316	0.355042	0.445378	0.47479	566	8.840602	6909.149384	0.000145	0.022968	0.097173	0.136042
fvt_mlm200	nhg	20	908	5.511051	247.410998	0.004042	0.397577	0.463656	0.482379	516	8.911896	7419.71249	0.000135	0.031008	0.087209	0.114341
fvt_mlm200	oji	20	929	4.662808	105.93309	0.00944	0.50592	0.525296	0.528525	437	9.369844	11729.284871	8.5e-05	0.0	0.0	0.0
fvt_mlm200	syr	20	555	4.915238	136.351794	0.007334	0.455856	0.463063	0.477477	312	8.425644	4562.581998	0.000219	0.032051	0.044872	0.070513
fvt_mlm200	usp	20	1184	5.210447	183.176008	0.005459	0.38598	0.482264	0.513514	809	7.133828	1253.666338	0.000798	0.182942	0.250927	0.291718
focus_mlm200	acu	20	869	5.414127	224.556313	0.004453	0.407365	0.46145	0.481013	479	8.979907	7941.894197	0.000126	0.02714	0.070981	0.093946
focus_mlm200	ake	20	1055	4.775381	118.555421	0.008435	0.379147	0.527014	0.556398	559	7.493981	1797.191918	0.000556	0.076923	0.175313	0.221825
focus_mlm200	bsn	20	1346	4.72949	113.237742	0.008831	0.471768	0.534918	0.551263	666	8.726521	6164.248162	0.000162	0.06006	0.102102	0.124625
focus_mlm200	chr	20	642	4.385985	80.317329	0.012451	0.518692	0.571651	0.577882	264	9.866123	19266.489648	5.2e-05	0.0	0.0	0.0
focus_mlm200	cop	20	698	5.524331	250.718511	0.003989	0.438395	0.441261	0.441261	390	9.812358	18257.980041	5.5e-05	0.0	0.0	0.0
focus_mlm200	kbh	20	952	5.644699	282.788297	0.003536	0.382353	0.446429	0.469538	566	8.79135	6577.102157	0.000152	0.035336	0.09894	0.130742
focus_mlm200	nhg	20	908	5.526342	251.223359	0.003981	0.401982	0.451542	0.46696	516	9.081449	8790.691923	0.000114	0.017442	0.060078	0.085271
focus_mlm200	oji	20	929	4.707666	110.793286	0.009026	0.500538	0.526372	0.528525	437	9.677183	15949.505269	6.3e-05	0.0	0.0	0.0
focus_mlm200	syr	20	555	5.061647	157.850237	0.006335	0.437838	0.437838	0.443243	312	8.924661	7515.038708	0.000133	0.0	0.0	0.009615
