model_key	phase	method	language_id	examples	masked_tokens	mean_nll	pseudo_perplexity	elapsed_sec
xlmr_base	baseline	xlmr_base	acu	50	2530	6.238496	512.087646	5.663
xlmr_base	baseline	xlmr_base	ake	50	3242	3.93674	51.251262	8.618
xlmr_base	baseline	xlmr_base	bsn	50	4232	4.569105	96.457784	14.92
xlmr_base	baseline	xlmr_base	chr	50	749	0.59428	1.811726	1.018
xlmr_base	baseline	xlmr_base	cop	50	726	0.221578	1.248045	1.045
xlmr_base	baseline	xlmr_base	kbh	50	3279	5.696744	297.89587	9.282
xlmr_base	baseline	xlmr_base	nhg	50	2781	5.613521	274.107549	6.464
xlmr_base	baseline	xlmr_base	oji	50	1028	0.23664	1.266985	1.78
xlmr_base	baseline	xlmr_base	syr	50	2098	2.940953	18.933875	5.259
xlmr_base	baseline	xlmr_base	usp	50	2941	5.762921	318.276625	7.565
fvt_mlm200	mlm200	fvt	acu	50	2283	5.446468	231.937476	5.14
fvt_mlm200	mlm200	fvt	ake	50	2688	4.555342	95.139276	6.693
fvt_mlm200	mlm200	fvt	bsn	50	3394	4.649616	104.544877	11.816
fvt_mlm200	mlm200	fvt	chr	50	1648	4.3661	78.735977	3.044
fvt_mlm200	mlm200	fvt	cop	50	1795	5.211905	183.443169	3.433
fvt_mlm200	mlm200	fvt	kbh	50	2413	5.678443	292.49358	5.803
fvt_mlm200	mlm200	fvt	nhg	50	2220	5.456664	234.314433	4.647
fvt_mlm200	mlm200	fvt	oji	50	2352	4.627439	102.251832	5.808
fvt_mlm200	mlm200	fvt	syr	50	1386	4.839705	126.432082	2.14
fvt_mlm200	mlm200	fvt	usp	50	3034	5.179189	177.538693	8.883
focus_mlm200	mlm200	focus	acu	50	2283	5.386308	218.395488	5.222
focus_mlm200	mlm200	focus	ake	50	2688	4.719169	112.075051	6.816
focus_mlm200	mlm200	focus	bsn	50	3394	4.782488	119.401026	12.32
focus_mlm200	mlm200	focus	chr	50	1648	4.422425	83.298047	3.074
focus_mlm200	mlm200	focus	cop	50	1795	5.339515	208.411638	3.469
focus_mlm200	mlm200	focus	kbh	50	2413	5.587755	267.135194	5.883
focus_mlm200	mlm200	focus	nhg	50	2220	5.457934	234.612175	4.703
focus_mlm200	mlm200	focus	oji	50	2352	4.675028	107.235611	5.862
focus_mlm200	mlm200	focus	syr	50	1386	4.952118	141.474231	2.157
focus_mlm200	mlm200	focus	usp	50	3034	5.199075	181.10458	9.009
