model_key	phase	method	language_id	examples	masked_tokens	mean_nll	pseudo_perplexity	elapsed_sec
align_mlm200	mlm200	align	acu	50	2283	5.279774	196.325483	5.178
align_mlm200	mlm200	align	ake	50	2688	4.610655	100.549964	6.734
align_mlm200	mlm200	align	bsn	50	3394	4.676681	107.41298	11.946
align_mlm200	mlm200	align	chr	50	1648	4.379546	79.801781	3.058
align_mlm200	mlm200	align	cop	50	1795	5.121783	167.633947	3.449
align_mlm200	mlm200	align	kbh	50	2413	5.519025	249.391698	5.817
align_mlm200	mlm200	align	nhg	50	2220	5.373672	215.653243	4.662
align_mlm200	mlm200	align	oji	50	2352	4.615588	101.047237	5.81
align_mlm200	mlm200	align	syr	50	1386	4.706921	110.71075	2.15
align_mlm200	mlm200	align	usp	50	3034	5.129648	168.957683	8.886
focus_mlm200	mlm200	focus	acu	50	2283	5.386308	218.395488	5.222
focus_mlm200	mlm200	focus	ake	50	2688	4.719169	112.075051	6.816
focus_mlm200	mlm200	focus	bsn	50	3394	4.782488	119.401026	12.32
focus_mlm200	mlm200	focus	chr	50	1648	4.422425	83.298047	3.074
focus_mlm200	mlm200	focus	cop	50	1795	5.339515	208.411638	3.469
focus_mlm200	mlm200	focus	kbh	50	2413	5.587755	267.135194	5.883
focus_mlm200	mlm200	focus	nhg	50	2220	5.457934	234.612175	4.703
focus_mlm200	mlm200	focus	oji	50	2352	4.675028	107.235611	5.862
focus_mlm200	mlm200	focus	syr	50	1386	4.952118	141.474231	2.157
focus_mlm200	mlm200	focus	usp	50	3034	5.199075	181.10458	9.009
fvt_mlm200	mlm200	fvt	acu	50	2283	5.446468	231.937476	5.14
fvt_mlm200	mlm200	fvt	ake	50	2688	4.555342	95.139276	6.693
fvt_mlm200	mlm200	fvt	bsn	50	3394	4.649616	104.544877	11.816
fvt_mlm200	mlm200	fvt	chr	50	1648	4.3661	78.735977	3.044
fvt_mlm200	mlm200	fvt	cop	50	1795	5.211905	183.443169	3.433
fvt_mlm200	mlm200	fvt	kbh	50	2413	5.678443	292.49358	5.803
fvt_mlm200	mlm200	fvt	nhg	50	2220	5.456664	234.314433	4.647
fvt_mlm200	mlm200	fvt	oji	50	2352	4.627439	102.251832	5.808
fvt_mlm200	mlm200	fvt	syr	50	1386	4.839705	126.432082	2.14
fvt_mlm200	mlm200	fvt	usp	50	3034	5.179189	177.538693	8.883
mean_mlm200	mlm200	mean	acu	50	2283	6.689109	803.605608	5.19
mean_mlm200	mlm200	mean	ake	50	2688	6.210789	498.093853	6.751
mean_mlm200	mlm200	mean	bsn	50	3394	6.161545	474.160292	11.635
mean_mlm200	mlm200	mean	chr	50	1648	5.840849	344.071479	3.068
mean_mlm200	mlm200	mean	cop	50	1795	7.196719	1335.043088	3.473
mean_mlm200	mlm200	mean	kbh	50	2413	6.937879	1030.582101	5.854
mean_mlm200	mlm200	mean	nhg	50	2220	6.70415	815.784306	4.686
mean_mlm200	mlm200	mean	oji	50	2352	6.33489	563.907456	5.861
mean_mlm200	mlm200	mean	syr	50	1386	7.176448	1308.252827	2.164
mean_mlm200	mlm200	mean	usp	50	3034	5.715853	303.643039	8.96
random_mlm200	mlm200	random	acu	50	2283	5.784499	325.219033	5.037
random_mlm200	mlm200	random	ake	50	2688	5.494169	243.269338	6.462
random_mlm200	mlm200	random	bsn	50	3394	5.293877	199.113912	11.343
random_mlm200	mlm200	random	chr	50	1648	4.824905	124.574596	2.989
random_mlm200	mlm200	random	cop	50	1795	5.862827	351.716989	3.383
random_mlm200	mlm200	random	kbh	50	2413	6.092054	442.3292	5.733
random_mlm200	mlm200	random	nhg	50	2220	5.903939	366.47816	4.617
random_mlm200	mlm200	random	oji	50	2352	5.13822	170.412088	5.774
random_mlm200	mlm200	random	syr	50	1386	6.034316	417.512982	2.14
random_mlm200	mlm200	random	usp	50	3034	5.313996	203.160431	8.889
xlmr_base	baseline	xlmr_base	acu	50	2530	6.238496	512.087646	5.663
xlmr_base	baseline	xlmr_base	ake	50	3242	3.93674	51.251262	8.618
xlmr_base	baseline	xlmr_base	bsn	50	4232	4.569105	96.457784	14.92
xlmr_base	baseline	xlmr_base	chr	50	749	0.59428	1.811726	1.018
xlmr_base	baseline	xlmr_base	cop	50	726	0.221578	1.248045	1.045
xlmr_base	baseline	xlmr_base	kbh	50	3279	5.696744	297.89587	9.282
xlmr_base	baseline	xlmr_base	nhg	50	2781	5.613521	274.107549	6.464
xlmr_base	baseline	xlmr_base	oji	50	1028	0.23664	1.266985	1.78
xlmr_base	baseline	xlmr_base	syr	50	2098	2.940953	18.933875	5.259
xlmr_base	baseline	xlmr_base	usp	50	2941	5.762921	318.276625	7.565
