model_key	language_id	examples	tokens	unique_tokens	top1_token	top1_count	top1_rate	top5_tokens
xlmr_base	acu	50	2530	541	.	93	0.036759	.:93 ayi:68 ,:63 ▁a:50 s:43
xlmr_base	ake	50	3242	369	'	475	0.146514	':475 ɨ:327 ʉ:237 p:114 ,:93
xlmr_base	bsn	50	4232	487	̶	332	0.078450	̶:332 ▁:291 ĩ:218 ,:165 re:121
xlmr_base	chr	50	749	5	▁	581	0.775701	▁:581 ,:90 .:45 ;:29 ?:4
xlmr_base	cop	50	726	2	▁	700	0.964187	▁:700 .:26
xlmr_base	kbh	50	3279	584	̈	128	0.039036	̈:128 ,:85 be:74 ▁y:65 ën:64
xlmr_base	nhg	50	2781	469	j	125	0.044948	j:125 .:81 ▁on:77 ej:76 ,:71
xlmr_base	oji	50	1028	6	▁	922	0.896887	▁:922 ,:76 ::16 !:10 ?:3
xlmr_base	syr	50	2098	10	▁	566	0.269781	▁:566 ܐ:327 ܘ:312 ܝ:184 ܠ:153
xlmr_base	usp	50	2941	422	ˈ	384	0.130568	ˈ:384 j:106 ▁:85 .:69 ▁x:64
fvt_mlm200	acu	50	2283	599	▁	801	0.350854	▁:801 .:93 ,:57 Tura:38 miayi:27
fvt_mlm200	ake	50	2688	430	▁	581	0.216146	▁:581 ':288 ▁':183 pʉ:92 ,:84
fvt_mlm200	bsn	50	3394	645	▁	1300	0.383029	▁:1300 ,:177 .:118 ĩ:90 ▁To:48
fvt_mlm200	chr	50	1648	379	▁	789	0.478762	▁:789 ,:90 .:45 ᎠᎴ:43 ᎾᏍᎩ:24
fvt_mlm200	cop	50	1795	446	▁	794	0.442340	▁:794 ⲞⲨⲞϨ:74 ⲈⲂⲞⲖ:27 .:26 ϪⲈ:21
fvt_mlm200	kbh	50	2413	664	▁	762	0.315789	▁:762 ,:86 ▁y:60 .:49 chë:39
fvt_mlm200	nhg	50	2220	548	▁	771	0.347297	▁:771 .:81 ▁on:77 ,:71 niman:49
fvt_mlm200	oji	50	2352	527	▁	1142	0.485544	▁:1142 ,:76 ᑕᔥ:41 ᐃᐃᒫ:24 ᐃᐃ:21
fvt_mlm200	syr	50	1386	385	▁	612	0.441558	▁:612 ܐ:39 ܗܘܐ:20 ܠܗ:13 ܡܢ:11
fvt_mlm200	usp	50	3034	478	▁	796	0.262360	▁:796 ˈ:384 j:82 .:68 ,:64
align_mlm200	acu	50	2283	599	▁	801	0.350854	▁:801 .:93 ,:57 Tura:38 miayi:27
align_mlm200	ake	50	2688	430	▁	581	0.216146	▁:581 ':288 ▁':183 pʉ:92 ,:84
align_mlm200	bsn	50	3394	645	▁	1300	0.383029	▁:1300 ,:177 .:118 ĩ:90 ▁To:48
align_mlm200	chr	50	1648	379	▁	789	0.478762	▁:789 ,:90 .:45 ᎠᎴ:43 ᎾᏍᎩ:24
align_mlm200	cop	50	1795	446	▁	794	0.442340	▁:794 ⲞⲨⲞϨ:74 ⲈⲂⲞⲖ:27 .:26 ϪⲈ:21
align_mlm200	kbh	50	2413	664	▁	762	0.315789	▁:762 ,:86 ▁y:60 .:49 chë:39
align_mlm200	nhg	50	2220	548	▁	771	0.347297	▁:771 .:81 ▁on:77 ,:71 niman:49
align_mlm200	oji	50	2352	527	▁	1142	0.485544	▁:1142 ,:76 ᑕᔥ:41 ᐃᐃᒫ:24 ᐃᐃ:21
align_mlm200	syr	50	1386	385	▁	612	0.441558	▁:612 ܐ:39 ܗܘܐ:20 ܠܗ:13 ܡܢ:11
align_mlm200	usp	50	3034	478	▁	796	0.262360	▁:796 ˈ:384 j:82 .:68 ,:64
