model_key	phase	method	score_type	direction	src_lang	tgt_lang	examples	aligned_score_mean	aligned_score_std	hard_negative_score_mean	margin_mean	margin_min	recall_at_1	recall_at_5	recall_at_10	mrr	median_rank	hubness_at10_max_rate	hubness_at10_gini
align_mlm200	mlm200	align	raw_cosine	acu->ake	acu	ake	654	0.996718	0.000598	0.997952	-0.001234	-0.003333	0.001529	0.010703	0.03211	0.015818	236.0	0.810398	0.949348
align_mlm200	mlm200	align	centered_cosine	acu->ake	acu	ake	654	0.11635	0.153144	0.408518	-0.292168	-0.724837	0.003058	0.033639	0.061162	0.030089	144.0	0.107034	0.505342
align_mlm200	mlm200	align	csls_k10	acu->ake	acu	ake	654	-0.001803	0.000804	-0.000108	-0.001695	-0.005357	0.001529	0.024465	0.039755	0.020372	198.0	0.620795	0.897283
align_mlm200	mlm200	align	centered_csls_k10	acu->ake	acu	ake	654	-0.456126	0.264051	0.073769	-0.529895	-1.402307	0.006116	0.036697	0.070336	0.033309	142.0	0.053517	0.279458
align_mlm200	mlm200	align	raw_cosine	acu->bsn	acu	bsn	620	0.997513	0.000642	0.998436	-0.000923	-0.003438	0.016129	0.030645	0.053226	0.034418	177.0	0.432258	0.861133
align_mlm200	mlm200	align	centered_cosine	acu->bsn	acu	bsn	620	0.154563	0.184511	0.454819	-0.300256	-1.023647	0.017742	0.070968	0.112903	0.052242	120.0	0.085484	0.464361
align_mlm200	mlm200	align	csls_k10	acu->bsn	acu	bsn	620	-0.001493	0.000964	-7.7e-05	-0.001415	-0.005756	0.020968	0.041935	0.067742	0.041871	142.0	0.237097	0.744412
align_mlm200	mlm200	align	centered_csls_k10	acu->bsn	acu	bsn	620	-0.489499	0.338208	0.06665	-0.556149	-2.014475	0.019355	0.067742	0.108065	0.053938	115.0	0.045161	0.273005
align_mlm200	mlm200	align	raw_cosine	acu->chr	acu	chr	659	0.990164	0.001206	0.992063	-0.001899	-0.004022	0.001517	0.019727	0.030349	0.014804	309.0	0.980273	0.975657
align_mlm200	mlm200	align	centered_cosine	acu->chr	acu	chr	659	0.101066	0.149912	0.304023	-0.202957	-0.838209	0.003035	0.031866	0.059181	0.028173	173.0	0.115326	0.472574
align_mlm200	mlm200	align	csls_k10	acu->chr	acu	chr	659	-0.003182	0.001113	-0.0012	-0.001982	-0.00483	0.003035	0.018209	0.034901	0.01657	278.0	0.907436	0.954418
align_mlm200	mlm200	align	centered_csls_k10	acu->chr	acu	chr	659	-0.392294	0.242138	0.003626	-0.39592	-1.616442	0.001517	0.030349	0.053111	0.024917	164.0	0.063733	0.330327
align_mlm200	mlm200	align	raw_cosine	acu->cop	acu	cop	659	0.988993	0.001266	0.990673	-0.00168	-0.004373	0.0	0.009105	0.018209	0.01056	323.0	0.872534	0.974207
align_mlm200	mlm200	align	centered_cosine	acu->cop	acu	cop	659	0.076181	0.14247	0.267056	-0.190875	-0.757338	0.00607	0.019727	0.039454	0.022525	216.0	0.115326	0.53324
align_mlm200	mlm200	align	csls_k10	acu->cop	acu	cop	659	-0.003206	0.001106	-0.001559	-0.001647	-0.006843	0.003035	0.018209	0.028832	0.01654	300.0	0.804249	0.964413
align_mlm200	mlm200	align	centered_csls_k10	acu->cop	acu	cop	659	-0.402806	0.248415	-0.028198	-0.374608	-1.54597	0.007587	0.018209	0.033384	0.022783	204.0	0.066768	0.438501
align_mlm200	mlm200	align	raw_cosine	acu->kbh	acu	kbh	488	0.997085	0.00075	0.998256	-0.001171	-0.003789	0.004098	0.043033	0.067623	0.032956	169.0	0.877049	0.883412
align_mlm200	mlm200	align	centered_cosine	acu->kbh	acu	kbh	488	0.151201	0.183639	0.453884	-0.302683	-1.029461	0.018443	0.067623	0.114754	0.0544	94.0	0.106557	0.458024
align_mlm200	mlm200	align	csls_k10	acu->kbh	acu	kbh	488	-0.001823	0.001064	-0.000103	-0.00172	-0.005997	0.010246	0.063525	0.096311	0.043859	144.0	0.557377	0.802072
align_mlm200	mlm200	align	centered_csls_k10	acu->kbh	acu	kbh	488	-0.469099	0.327499	0.086888	-0.555987	-1.999929	0.016393	0.07582	0.112705	0.056615	91.0	0.065574	0.233574
align_mlm200	mlm200	align	raw_cosine	acu->nhg	acu	nhg	655	0.99785	0.000713	0.998771	-0.000921	-0.005013	0.01374	0.044275	0.064122	0.038646	178.0	0.39084	0.835797
align_mlm200	mlm200	align	centered_cosine	acu->nhg	acu	nhg	655	0.16131	0.196645	0.496296	-0.334986	-0.978831	0.021374	0.062595	0.091603	0.052438	136.0	0.103817	0.484703
align_mlm200	mlm200	align	csls_k10	acu->nhg	acu	nhg	655	-0.001466	0.001046	-1.7e-05	-0.001449	-0.007766	0.015267	0.053435	0.083969	0.044043	152.0	0.175573	0.683599
align_mlm200	mlm200	align	centered_csls_k10	acu->nhg	acu	nhg	655	-0.53469	0.346402	0.079326	-0.614016	-1.80342	0.025954	0.061069	0.09313	0.05446	134.0	0.042748	0.258769
align_mlm200	mlm200	align	raw_cosine	acu->oji	acu	oji	655	0.989049	0.001422	0.99206	-0.003011	-0.00587	0.001527	0.012214	0.024427	0.01367	309.0	1.0	0.981551
align_mlm200	mlm200	align	centered_cosine	acu->oji	acu	oji	655	0.111433	0.141208	0.295782	-0.184349	-0.873082	0.010687	0.029008	0.048855	0.032081	158.0	0.103817	0.467655
align_mlm200	mlm200	align	csls_k10	acu->oji	acu	oji	655	-0.00388	0.001343	-0.000889	-0.002991	-0.006947	0.00458	0.016794	0.025954	0.01805	289.0	0.970992	0.97161
align_mlm200	mlm200	align	centered_csls_k10	acu->oji	acu	oji	655	-0.366716	0.239044	-0.003616	-0.363101	-1.684945	0.010687	0.030534	0.047328	0.032855	152.0	0.053435	0.357813
align_mlm200	mlm200	align	raw_cosine	acu->syr	acu	syr	659	0.977871	0.002523	0.987053	-0.009182	-0.016985	0.001517	0.009105	0.016692	0.011259	322.0	1.0	0.984552
align_mlm200	mlm200	align	centered_cosine	acu->syr	acu	syr	659	0.027954	0.100535	0.25277	-0.224816	-0.570769	0.001517	0.021244	0.037936	0.017031	270.0	0.151745	0.544477
align_mlm200	mlm200	align	csls_k10	acu->syr	acu	syr	659	-0.009823	0.0025	-0.001106	-0.008717	-0.016816	0.003035	0.009105	0.018209	0.012644	316.0	1.0	0.983739
align_mlm200	mlm200	align	centered_csls_k10	acu->syr	acu	syr	659	-0.38893	0.191579	0.025499	-0.41443	-1.151343	0.004552	0.019727	0.027314	0.017639	272.0	0.075873	0.294627
align_mlm200	mlm200	align	raw_cosine	acu->usp	acu	usp	659	0.995863	0.000858	0.997865	-0.002002	-0.004575	0.003035	0.015175	0.028832	0.016765	263.0	0.989378	0.966031
align_mlm200	mlm200	align	centered_cosine	acu->usp	acu	usp	659	0.104375	0.159259	0.415306	-0.310931	-0.845658	0.016692	0.042489	0.074355	0.0402	174.0	0.106222	0.517435
align_mlm200	mlm200	align	csls_k10	acu->usp	acu	usp	659	-0.002515	0.001135	-5.7e-05	-0.002458	-0.007121	0.004552	0.019727	0.045524	0.021719	234.0	0.861912	0.935333
align_mlm200	mlm200	align	centered_csls_k10	acu->usp	acu	usp	659	-0.494714	0.285793	0.071505	-0.566219	-1.756928	0.019727	0.045524	0.06525	0.041292	172.0	0.054628	0.29151
align_mlm200	mlm200	align	raw_cosine	ake->acu	ake	acu	654	0.996718	0.000598	0.9977	-0.000982	-0.003093	0.006116	0.025994	0.039755	0.022859	242.0	0.513761	0.929328
align_mlm200	mlm200	align	centered_cosine	ake->acu	ake	acu	654	0.11635	0.153144	0.399487	-0.283137	-0.791728	0.013761	0.044343	0.068807	0.037852	153.0	0.116208	0.463309
align_mlm200	mlm200	align	csls_k10	ake->acu	ake	acu	654	-0.001803	0.000804	-0.000334	-0.001469	-0.005138	0.009174	0.024465	0.042813	0.025896	213.0	0.420489	0.873536
align_mlm200	mlm200	align	centered_csls_k10	ake->acu	ake	acu	654	-0.456126	0.264051	0.072138	-0.528264	-1.480113	0.015291	0.041284	0.070336	0.038693	148.0	0.053517	0.267799
align_mlm200	mlm200	align	raw_cosine	ake->bsn	ake	bsn	625	0.995948	0.000777	0.997371	-0.001424	-0.005475	0.0048	0.016	0.0272	0.017445	258.0	0.9136	0.957434
align_mlm200	mlm200	align	centered_cosine	ake->bsn	ake	bsn	625	0.088455	0.153597	0.391541	-0.303086	-0.868179	0.0032	0.0192	0.0288	0.020784	176.0	0.0944	0.462963
align_mlm200	mlm200	align	csls_k10	ake->bsn	ake	bsn	625	-0.002307	0.001044	-0.000357	-0.00195	-0.00887	0.0032	0.0144	0.0352	0.018077	228.0	0.6944	0.916896
align_mlm200	mlm200	align	centered_csls_k10	ake->bsn	ake	bsn	625	-0.50921	0.280622	0.061379	-0.570589	-1.708936	0.0112	0.0304	0.0464	0.028687	177.0	0.0464	0.249857
align_mlm200	mlm200	align	raw_cosine	ake->chr	ake	chr	673	0.988744	0.001289	0.990705	-0.001962	-0.004744	0.004458	0.010401	0.020802	0.014724	320.0	0.998514	0.979611
align_mlm200	mlm200	align	centered_cosine	ake->chr	ake	chr	673	0.084949	0.123796	0.266524	-0.181575	-0.576048	0.013373	0.041605	0.060921	0.036516	166.0	0.120357	0.460368
align_mlm200	mlm200	align	csls_k10	ake->chr	ake	chr	673	-0.003557	0.001244	-0.001479	-0.002079	-0.004804	0.004458	0.011887	0.026746	0.016198	286.0	0.936107	0.974082
align_mlm200	mlm200	align	centered_csls_k10	ake->chr	ake	chr	673	-0.345866	0.206644	0.008809	-0.354675	-1.126553	0.013373	0.043091	0.068351	0.035491	166.0	0.068351	0.369978
align_mlm200	mlm200	align	raw_cosine	ake->cop	ake	cop	673	0.987384	0.001402	0.989422	-0.002037	-0.004987	0.002972	0.011887	0.019316	0.012693	329.0	0.994056	0.978686
align_mlm200	mlm200	align	centered_cosine	ake->cop	ake	cop	673	0.059067	0.113666	0.230884	-0.171816	-0.58775	0.001486	0.008915	0.019316	0.014428	225.0	0.15899	0.510086
align_mlm200	mlm200	align	csls_k10	ake->cop	ake	cop	673	-0.003729	0.001292	-0.001623	-0.002106	-0.004918	0.001486	0.010401	0.019316	0.012536	310.0	0.961367	0.974438
align_mlm200	mlm200	align	centered_csls_k10	ake->cop	ake	cop	673	-0.359561	0.193389	-0.024283	-0.335278	-1.172075	0.0	0.008915	0.020802	0.013222	220.0	0.080238	0.432855
align_mlm200	mlm200	align	raw_cosine	ake->kbh	ake	kbh	500	0.996305	0.000637	0.997504	-0.0012	-0.003468	0.004	0.016	0.04	0.021192	188.0	0.822	0.952478
align_mlm200	mlm200	align	centered_cosine	ake->kbh	ake	kbh	500	0.104308	0.149132	0.369783	-0.265475	-0.710076	0.016	0.042	0.068	0.043598	125.0	0.14	0.480916
align_mlm200	mlm200	align	csls_k10	ake->kbh	ake	kbh	500	-0.001849	0.000839	-0.000217	-0.001631	-0.005265	0.004	0.02	0.044	0.023785	164.0	0.606	0.910478
align_mlm200	mlm200	align	centered_csls_k10	ake->kbh	ake	kbh	500	-0.416015	0.254841	0.070301	-0.486316	-1.38132	0.014	0.048	0.08	0.045063	122.0	0.06	0.26268
align_mlm200	mlm200	align	raw_cosine	ake->nhg	ake	nhg	669	0.996234	0.00069	0.997395	-0.001161	-0.004909	0.005979	0.011958	0.028401	0.017662	252.0	0.793722	0.949851
align_mlm200	mlm200	align	centered_cosine	ake->nhg	ake	nhg	669	0.102154	0.141862	0.383097	-0.280943	-0.656106	0.00299	0.023916	0.055306	0.025673	173.0	0.122571	0.496817
align_mlm200	mlm200	align	csls_k10	ake->nhg	ake	nhg	669	-0.00199	0.000907	-0.000301	-0.001689	-0.006344	0.005979	0.014948	0.03438	0.020574	226.0	0.497758	0.895377
align_mlm200	mlm200	align	centered_csls_k10	ake->nhg	ake	nhg	669	-0.457526	0.247813	0.060754	-0.51828	-1.369095	0.005979	0.025411	0.052317	0.026074	172.0	0.055306	0.28867
align_mlm200	mlm200	align	raw_cosine	ake->oji	ake	oji	673	0.987463	0.001491	0.990974	-0.003511	-0.007134	0.001486	0.011887	0.020802	0.012143	330.0	1.0	0.983092
align_mlm200	mlm200	align	centered_cosine	ake->oji	ake	oji	673	0.089709	0.127901	0.270328	-0.18062	-0.727166	0.004458	0.017831	0.041605	0.022812	167.0	0.062407	0.388763
align_mlm200	mlm200	align	csls_k10	ake->oji	ake	oji	673	-0.004293	0.001442	-0.000701	-0.003591	-0.007026	0.001486	0.013373	0.023774	0.013715	308.0	0.998514	0.976262
align_mlm200	mlm200	align	centered_csls_k10	ake->oji	ake	oji	673	-0.360204	0.21307	0.002889	-0.363093	-1.388447	0.004458	0.022288	0.040119	0.022905	174.0	0.069837	0.339131
align_mlm200	mlm200	align	raw_cosine	ake->syr	ake	syr	673	0.976308	0.002598	0.98569	-0.009383	-0.017585	0.001486	0.007429	0.014859	0.01077	335.0	1.0	0.984912
align_mlm200	mlm200	align	centered_cosine	ake->syr	ake	syr	673	0.019001	0.091512	0.23093	-0.211929	-0.585716	0.002972	0.008915	0.023774	0.01395	290.0	0.164933	0.487543
align_mlm200	mlm200	align	csls_k10	ake->syr	ake	syr	673	-0.010186	0.002649	-0.000895	-0.009291	-0.017558	0.001486	0.008915	0.017831	0.010553	338.0	1.0	0.98439
align_mlm200	mlm200	align	centered_csls_k10	ake->syr	ake	syr	673	-0.373147	0.173058	0.025879	-0.399026	-1.098346	0.001486	0.005944	0.022288	0.01236	295.0	0.065379	0.28838
align_mlm200	mlm200	align	raw_cosine	ake->usp	ake	usp	673	0.996148	0.00057	0.997355	-0.001207	-0.003325	0.001486	0.020802	0.038633	0.018936	245.0	0.922734	0.963258
align_mlm200	mlm200	align	centered_cosine	ake->usp	ake	usp	673	0.106976	0.149832	0.383754	-0.276778	-0.786107	0.010401	0.038633	0.062407	0.033402	165.0	0.089153	0.462835
align_mlm200	mlm200	align	csls_k10	ake->usp	ake	usp	673	-0.001642	0.000707	-0.000184	-0.001458	-0.004003	0.004458	0.028232	0.052006	0.024137	212.0	0.802377	0.915708
align_mlm200	mlm200	align	centered_csls_k10	ake->usp	ake	usp	673	-0.448857	0.244076	0.064173	-0.51303	-1.394102	0.011887	0.037147	0.063893	0.035047	167.0	0.044577	0.242042
align_mlm200	mlm200	align	raw_cosine	bsn->acu	bsn	acu	620	0.997513	0.000642	0.998413	-0.0009	-0.003283	0.012903	0.041935	0.06129	0.03666	178.0	0.420968	0.866441
align_mlm200	mlm200	align	centered_cosine	bsn->acu	bsn	acu	620	0.154563	0.184511	0.468919	-0.314356	-1.118119	0.019355	0.06129	0.104839	0.051174	121.0	0.140323	0.530454
align_mlm200	mlm200	align	csls_k10	bsn->acu	bsn	acu	620	-0.001493	0.000964	-0.00011	-0.001383	-0.00577	0.014516	0.051613	0.085484	0.043692	155.0	0.262903	0.742302
align_mlm200	mlm200	align	centered_csls_k10	bsn->acu	bsn	acu	620	-0.489499	0.338208	0.072064	-0.561563	-2.042115	0.029032	0.072581	0.108065	0.05956	108.0	0.077419	0.291194
align_mlm200	mlm200	align	raw_cosine	bsn->ake	bsn	ake	625	0.995948	0.000777	0.997492	-0.001544	-0.004582	0.0016	0.0144	0.024	0.015326	250.0	0.9504	0.960883
align_mlm200	mlm200	align	centered_cosine	bsn->ake	bsn	ake	625	0.088455	0.153597	0.409416	-0.320961	-0.82922	0.008	0.0304	0.0448	0.028326	173.0	0.168	0.522922
align_mlm200	mlm200	align	csls_k10	bsn->ake	bsn	ake	625	-0.002307	0.001044	-0.000241	-0.002066	-0.007912	0.0032	0.0144	0.032	0.018187	221.0	0.7808	0.923514
align_mlm200	mlm200	align	centered_csls_k10	bsn->ake	bsn	ake	625	-0.50921	0.280622	0.065634	-0.574844	-1.714537	0.0096	0.0272	0.0528	0.02895	176.0	0.0656	0.286729
align_mlm200	mlm200	align	raw_cosine	bsn->chr	bsn	chr	629	0.990624	0.001171	0.992432	-0.001808	-0.004071	0.00159	0.014308	0.020668	0.013556	283.0	0.979332	0.975024
align_mlm200	mlm200	align	centered_cosine	bsn->chr	bsn	chr	629	0.095604	0.15499	0.31363	-0.218026	-0.808771	0.00318	0.020668	0.047695	0.024161	179.0	0.135135	0.520468
align_mlm200	mlm200	align	csls_k10	bsn->chr	bsn	chr	629	-0.0029	0.001085	-0.001069	-0.001831	-0.006436	0.0	0.015898	0.030207	0.014846	242.0	0.829889	0.954478
align_mlm200	mlm200	align	centered_csls_k10	bsn->chr	bsn	chr	629	-0.422201	0.251291	-0.002762	-0.419439	-1.368878	0.004769	0.017488	0.031797	0.022624	175.0	0.062003	0.379182
align_mlm200	mlm200	align	raw_cosine	bsn->cop	bsn	cop	629	0.98941	0.001259	0.991079	-0.00167	-0.004231	0.00159	0.007949	0.020668	0.012196	291.0	0.90779	0.975536
align_mlm200	mlm200	align	centered_cosine	bsn->cop	bsn	cop	629	0.066818	0.144092	0.282805	-0.215987	-0.677957	0.0	0.004769	0.017488	0.012658	224.0	0.195548	0.575799
align_mlm200	mlm200	align	csls_k10	bsn->cop	bsn	cop	629	-0.003067	0.001144	-0.001329	-0.001739	-0.004841	0.00159	0.014308	0.027027	0.014023	260.0	0.829889	0.968205
align_mlm200	mlm200	align	centered_csls_k10	bsn->cop	bsn	cop	629	-0.438692	0.243851	-0.025595	-0.413097	-1.341873	0.00159	0.011129	0.022258	0.013693	228.0	0.074722	0.449285
