model_key	phase	method	score_type	directed_pairs	total_examples	macro_aligned_score_mean	weighted_aligned_score_mean	macro_hard_negative_score_mean	weighted_hard_negative_score_mean	macro_margin_mean	weighted_margin_mean	macro_recall_at_1	weighted_recall_at_1	macro_recall_at_5	weighted_recall_at_5	macro_recall_at_10	weighted_recall_at_10	macro_mrr	weighted_mrr	macro_median_rank	weighted_median_rank	macro_hubness_at10_max_rate	weighted_hubness_at10_max_rate	macro_hubness_at10_gini	weighted_hubness_at10_gini
align_mlm200	mlm200	align	centered_cosine	90	56452	0.113053	0.113518	0.378856	0.379382	-0.265803	-0.265864	0.008543	0.008184	0.032961	0.031992	0.057428	0.055959	0.030831	0.030083	174.088889	176.758503	0.161067	0.161465	0.576853	0.580425
align_mlm200	mlm200	align	centered_csls_k10	90	56452	-0.438976	-0.440078	0.034684	0.033473	-0.473661	-0.473551	0.009456	0.00907	0.034559	0.033373	0.058497	0.056845	0.031894	0.031055	171.811111	174.459417	0.087349	0.08749	0.396718	0.401164
align_mlm200	mlm200	align	csls_k10	90	56452	-0.0041	-0.004153	-0.001201	-0.001218	-0.002899	-0.002935	0.00578	0.005545	0.022699	0.021966	0.039892	0.038829	0.02235	0.021791	235.877778	239.542319	0.752497	0.757263	0.9107	0.912417
align_mlm200	mlm200	align	raw_cosine	90	56452	0.990067	0.989928	0.99267	0.99257	-0.002603	-0.002642	0.004292	0.00411	0.018398	0.017856	0.033327	0.032452	0.019031	0.01859	257.033333	260.726192	0.85593	0.856675	0.944781	0.945373
align_zero	zero_step_init	align	centered_cosine	90	56452	0.114077	0.114974	0.465211	0.464097	-0.351134	-0.349123	0.006089	0.005917	0.026142	0.025455	0.047354	0.046305	0.025351	0.024882	204.733333	207.232339	0.204054	0.204634	0.663677	0.666505
align_zero	zero_step_init	align	centered_csls_k10	90	56452	-0.609965	-0.606745	0.007478	0.006343	-0.617442	-0.613088	0.007041	0.00682	0.027487	0.026731	0.048038	0.046889	0.026295	0.025765	201.866667	204.262984	0.115892	0.116169	0.474114	0.477894
align_zero	zero_step_init	align	csls_k10	90	56452	-0.00855	-0.008662	-0.00187	-0.001902	-0.00668	-0.00676	0.005061	0.004854	0.019615	0.019007	0.034229	0.033303	0.020127	0.019669	255.255556	258.577623	0.688135	0.694041	0.893867	0.897461
align_zero	zero_step_init	align	raw_cosine	90	56452	0.985721	0.985466	0.991051	0.99088	-0.00533	-0.005414	0.004022	0.003879	0.016815	0.01635	0.030859	0.030096	0.018027	0.017651	264.566667	268.002657	0.786763	0.791646	0.927659	0.92987
focus_mlm200	mlm200	focus	centered_cosine	90	56452	0.110228	0.110508	0.400963	0.401956	-0.290735	-0.291448	0.007756	0.007493	0.031886	0.030716	0.055901	0.0544	0.029582	0.028858	179.966667	182.758574	0.161816	0.162333	0.597907	0.60154
focus_mlm200	mlm200	focus	centered_csls_k10	90	56452	-0.488131	-0.490573	0.028036	0.026718	-0.516167	-0.51729	0.00868	0.008255	0.03344	0.032204	0.057186	0.055392	0.030713	0.029839	178.411111	181.19103	0.085429	0.085754	0.401713	0.406207
focus_mlm200	mlm200	focus	csls_k10	90	56452	-0.006971	-0.007039	-0.001671	-0.001701	-0.0053	-0.005338	0.005413	0.005137	0.022491	0.021682	0.039427	0.038227	0.022409	0.021772	223.666667	227.091051	0.638312	0.641306	0.894094	0.896911
focus_mlm200	mlm200	focus	raw_cosine	90	56452	0.984526	0.984321	0.988873	0.988708	-0.004347	-0.004386	0.004553	0.004358	0.017845	0.017253	0.032827	0.031868	0.019333	0.018845	247.577778	251.074771	0.797883	0.799458	0.937166	0.93851
focus_zero	zero_step_init	focus	centered_cosine	90	56452	0.125073	0.125886	0.423055	0.423703	-0.297982	-0.297818	0.006952	0.006714	0.029292	0.028502	0.051876	0.050751	0.027963	0.027384	175.988889	178.614611	0.177681	0.178329	0.602926	0.606351
focus_zero	zero_step_init	focus	centered_csls_k10	90	56452	-0.500932	-0.501636	0.026619	0.025216	-0.527551	-0.526852	0.007784	0.007458	0.029814	0.02891	0.053063	0.051867	0.028775	0.028103	175.166667	177.826366	0.08636	0.086551	0.393418	0.397484
focus_zero	zero_step_init	focus	csls_k10	90	56452	-0.005841	-0.005894	-0.001645	-0.001672	-0.004196	-0.004222	0.00505	0.004836	0.020788	0.020141	0.037264	0.036296	0.021525	0.021024	229.888889	233.094647	0.65422	0.65879	0.895407	0.899219
focus_zero	zero_step_init	focus	raw_cosine	90	56452	0.988897	0.988748	0.992401	0.992282	-0.003504	-0.003534	0.004217	0.004057	0.017256	0.016758	0.030976	0.030132	0.0188	0.018373	250.011111	253.498955	0.794894	0.798501	0.936303	0.938542
fvt_mlm200	mlm200	fvt	centered_cosine	90	56452	0.109699	0.111125	0.379498	0.381528	-0.269799	-0.270403	0.008443	0.008113	0.031266	0.030362	0.056799	0.055392	0.030105	0.029414	176.611111	179.035464	0.157509	0.157904	0.569318	0.573483
fvt_mlm200	mlm200	fvt	centered_csls_k10	90	56452	-0.447535	-0.449668	0.033242	0.031772	-0.480777	-0.481441	0.008798	0.00845	0.032826	0.031779	0.0576	0.056048	0.030593	0.029864	174.711111	177.109385	0.088414	0.088837	0.402214	0.407271
fvt_mlm200	mlm200	fvt	csls_k10	90	56452	-0.004204	-0.004261	-0.001289	-0.001317	-0.002914	-0.002943	0.006282	0.006058	0.021836	0.021133	0.038432	0.037465	0.022383	0.02187	241.022222	244.423723	0.703929	0.708815	0.904562	0.90742
fvt_mlm200	mlm200	fvt	raw_cosine	90	56452	0.990976	0.990858	0.993506	0.993421	-0.00253	-0.002563	0.004551	0.004375	0.018281	0.017714	0.032153	0.031407	0.019035	0.018617	259.422222	262.826986	0.824943	0.827464	0.942242	0.943458
fvt_zero	zero_step_init	fvt	centered_cosine	90	56452	0.132753	0.133904	0.419539	0.421608	-0.286786	-0.287704	0.007742	0.007458	0.031377	0.030575	0.054939	0.053709	0.029576	0.028964	171.544444	174.084408	0.162356	0.162545	0.594527	0.598199
fvt_zero	zero_step_init	fvt	centered_csls_k10	90	56452	-0.481889	-0.484685	0.021848	0.020369	-0.503737	-0.505054	0.007776	0.007475	0.032147	0.031212	0.057314	0.056101	0.03006	0.0294	168.9	171.284419	0.079634	0.079838	0.388781	0.393683
