variant	iso	language	script	sentences	tokens_per_word	tokens_per_char	single_char_token_ratio	unk_rate	byte_piece_rate	mean_tokens_per_sentence	max_tokens_per_sentence
char_coverage_1_0	acu	Achuar-Shiwiar	Latin	659	1.69835	0.237286	0.214986	0.0	0.0	32.482549	107
byte_fallback_0_9995	acu	Achuar-Shiwiar	Latin	659	1.68986	0.236099	0.214658	0.0	0.0	32.320182	107
char_coverage_1_0	ake	Akawaio	Latin	673	2.195752	0.414446	0.359339	0.0	0.0	49.918276	128
byte_fallback_0_9995	ake	Akawaio	Latin	673	2.192941	0.413916	0.359472	0.0	0.0	49.854383	128
char_coverage_1_0	bsn	Barasana-Eduria	Latin	629	1.620647	0.253786	0.259409	0.0	0.0	45.872814	146
byte_fallback_0_9995	bsn	Barasana-Eduria	Latin	629	1.61503	0.252907	0.259686	0.0	0.0	45.713831	146
char_coverage_1_0	chr	Cherokee	Cherokee	678	2.019016	0.453883	0.404543	0.0	0.0	26.622419	70
byte_fallback_0_9995	chr	Cherokee	Cherokee	678	1.995861	0.448677	0.39926	0.0	0.000168	26.317109	69
char_coverage_1_0	cop	Coptic	Coptic	678	1.630666	0.306456	0.141649	0.0	0.0	24.40708	57
byte_fallback_0_9995	cop	Coptic	Coptic	678	1.616378	0.303771	0.137536	0.0	0.0	24.193215	57
char_coverage_1_0	kbh	Camsa	Latin	501	1.820006	0.242316	0.247633	0.0	0.0	48.700599	2047
byte_fallback_0_9995	kbh	Camsa	Latin	501	1.807623	0.240667	0.247307	0.0	0.000248	48.369261	2043
char_coverage_1_0	nhg	Nahuatl (Tetelcingo)	Latin	673	1.583383	0.228119	0.182077	0.0	0.0	31.884101	83
byte_fallback_0_9995	nhg	Nahuatl (Tetelcingo)	Latin	673	1.567665	0.225854	0.182255	0.0	0.0	31.567608	83
char_coverage_1_0	oji	Ojibwa	Aboriginal Syllabics	674	1.986749	0.446705	0.370181	0.0	0.0	36.480712	133
byte_fallback_0_9995	oji	Ojibwa	Aboriginal Syllabics	674	1.959195	0.44051	0.362808	0.0	0.000742	35.974777	142
char_coverage_1_0	syr	Syriac	Syriac	678	1.479564	0.358751	0.18186	0.0	0.0	19.221239	50
byte_fallback_0_9995	syr	Syriac	Syriac	678	1.462875	0.354705	0.175398	0.0	0.0	19.004425	49
char_coverage_1_0	usp	Uspanteco	Latin	678	1.925391	0.372512	0.36309	0.0	0.0	50.50885	130
byte_fallback_0_9995	usp	Uspanteco	Latin	678	1.922467	0.371946	0.361916	0.0	0.0	50.432153	130
