language_script	group	sentences	xlmr_tokens_per_word	v5_tokens_per_word	delta_tokens_per_word	xlmr_unk_pct	v5_unk_pct	delta_unk_pct
afr_Latn	head	200	1.535962	1.491252	-0.044710	0.000000	0.000000	0.000000
amh_Ethi	head	200	2.461891	2.222636	-0.239255	0.000000	0.000000	0.000000
ara_Arab	head	200	1.709375	1.614062	-0.095313	0.000000	0.000000	0.000000
arb_Arab	head	200	5.944934	2.156702	-3.788232	0.000000	0.000000	0.000000
asm_Beng	v5_target	200	2.877566	1.645645	-1.231921	0.000000	0.000000	0.000000
azb_Arab	head	200	2.394384	2.267393	-0.126991	0.000000	0.000000	0.000000
aze_Latn	v5_target	200	1.998594	1.661803	-0.336791	0.000000	0.000000	0.000000
bel_Cyrl	head	200	2.136797	2.025500	-0.111297	0.000000	0.000000	0.000000
bos_Latn	v5_target	200	1.701493	1.560307	-0.141186	0.000000	0.000000	0.000000
bre_Latn	head	200	1.982813	1.698386	-0.284427	0.000000	0.000000	0.000000
bul_Cyrl	head	200	1.621187	1.587406	-0.033781	0.000000	0.000000	0.000000
cat_Latn	head	200	1.583658	1.547909	-0.035749	0.000000	0.000000	0.000000
ces_Latn	head	200	1.819359	1.760705	-0.058654	0.000000	0.000000	0.000000
cmn_Hani	head	200	9.298578	9.142180	-0.156398	0.000000	0.000000	0.000000
cym_Latn	head	200	1.798946	1.618254	-0.180692	0.000000	0.000000	0.000000
dan_Latn	head	200	1.558341	1.516554	-0.041787	0.000000	0.000000	0.000000
deu_Latn	head	200	1.618188	1.587153	-0.031035	0.000000	0.000000	0.000000
dzo_Tibt	v5_target	200	4.223938	5.996139	1.772201	0.000000	0.000000	0.000000
ell_Grek	head	200	1.847105	1.786272	-0.060833	0.000000	0.000000	0.000000
eng_Latn	head	200	1.372462	1.326142	-0.046320	0.000000	0.000000	0.000000
epo_Latn	head	200	1.806159	1.743357	-0.062802	0.000000	0.000000	0.000000
est_Latn	head	200	1.974582	1.879875	-0.094707	0.000000	0.000000	0.000000
eus_Latn	head	200	2.016437	1.941131	-0.075306	0.000000	0.000000	0.000000
fas_Arab	head	200	1.361602	1.324033	-0.037569	0.000000	0.000000	0.000000
fil_Latn	v5_target	200	1.557599	1.377204	-0.180395	0.000000	0.000000	0.000000
fin_Latn	head	200	2.035869	1.954192	-0.081677	0.000000	0.000000	0.000000
fra_Latn	head	200	1.565279	1.536958	-0.028321	0.000000	0.000000	0.000000
fry_Latn	head	200	1.847047	1.693578	-0.153469	0.000000	0.000000	0.000000
gla_Latn	head	200	1.896220	1.583946	-0.312274	0.000000	0.000000	0.000000
gle_Latn	head	200	1.849263	1.674157	-0.175106	0.000000	0.000000	0.000000
glg_Latn	head	200	1.468718	1.442564	-0.026154	0.000000	0.000000	0.000000
guj_Gujr	v5_target	200	1.990570	1.497470	-0.493100	0.000000	0.000000	0.000000
hau_Arab	head	200	2.763496	1.743584	-1.019912	0.000000	0.000000	0.000000
hau_Latn	head	200	1.740948	1.514154	-0.226794	0.000000	0.000000	0.000000
heb_Hebr	head	200	1.752120	1.722195	-0.029925	0.000000	0.000000	0.000000
hin_Deva	head	200	1.492788	1.448333	-0.044455	0.000000	0.000000	0.000000
hrv_Latn	head	200	1.681835	1.560485	-0.121350	0.000000	0.000000	0.000000
hun_Latn	head	200	1.864128	1.833520	-0.030608	0.000000	0.000000	0.000000
hye_Armn	head	200	2.235412	2.041290	-0.194122	0.000000	0.000000	0.000000
ind_Latn	head	200	1.475322	1.411660	-0.063662	0.000000	0.000000	0.000000
isl_Latn	head	200	1.823964	1.744505	-0.079459	0.000000	0.000000	0.000000
ita_Latn	head	200	1.513889	1.485788	-0.028101	0.000000	0.000000	0.000000
jav_Latn	head	200	1.868757	1.623693	-0.245064	0.000000	0.000000	0.000000
kan_Knda	head	200	2.424458	2.282723	-0.141735	0.000000	0.000000	0.000000
kat_Geor	head	200	2.368440	2.173653	-0.194787	0.000000	0.000000	0.000000
kaz_Cyrl	head	200	2.085335	1.960597	-0.124738	0.000000	0.000000	0.000000
khm_Khmr	head	200	3.352782	2.813392	-0.539390	0.000000	0.000000	0.000000
kir_Cyrl	head	200	2.004260	1.897472	-0.106788	0.000000	0.000000	0.000000
kor_Hang	head	200	2.264564	2.253943	-0.010621	0.000000	0.000000	0.000000
kur_Latn	head	200	1.751092	1.550150	-0.200942	0.000000	0.000000	0.000000
lao_Laoo	head	200	4.592697	3.528671	-1.064026	0.000000	0.000000	0.000000
lat_Latn	head	200	1.964150	1.858247	-0.105903	0.000000	0.000000	0.000000
lit_Latn	head	200	2.029923	1.938159	-0.091764	0.000000	0.000000	0.000000
mal_Mlym	head	200	2.684291	2.573602	-0.110689	0.000000	0.000000	0.000000
mar_Deva	head	200	1.891645	1.813316	-0.078329	0.000000	0.000000	0.000000
mkd_Cyrl	head	200	1.637160	1.591747	-0.045413	0.000000	0.000000	0.000000
mlg_Latn	head	200	2.012480	1.771339	-0.241141	0.000000	0.000000	0.000000
mon_Cyrl	head	200	1.897176	1.756119	-0.141057	0.000000	0.000000	0.000000
msa_Latn	head	200	1.504238	1.431030	-0.073208	0.000000	0.000000	0.000000
mya_Mymr	head	200	4.564236	4.011657	-0.552579	0.000000	0.000000	0.000000
nep_Deva	head	200	1.711200	1.643646	-0.067554	0.000000	0.000000	0.000000
nld_Latn	head	200	1.516163	1.470977	-0.045186	0.000000	0.000000	0.000000
nor_Latn	head	200	1.502160	1.476543	-0.025617	0.000000	0.000000	0.000000
ori_Orya	head	200	2.168045	1.852539	-0.315506	0.000000	0.000000	0.000000
pan_Guru	head	200	1.767726	1.622627	-0.145099	0.000000	0.000000	0.000000
pes_Arab	head	200	1.407547	1.372642	-0.034905	0.000000	0.000000	0.000000
pol_Latn	head	200	1.857473	1.799178	-0.058295	0.000000	0.000000	0.000000
por_Latn	head	200	1.462543	1.442612	-0.019931	0.000000	0.000000	0.000000
prs_Arab	head	200	1.450594	1.325700	-0.124894	0.000000	0.000000	0.000000
pus_Arab	head	200	1.548591	1.448847	-0.099744	0.000000	0.000000	0.000000
ron_Latn	head	200	1.596415	1.559121	-0.037294	0.000000	0.000000	0.000000
san_Deva	head	200	2.782262	2.453413	-0.328849	0.000000	0.000000	0.000000
san_Latn	head	118	2.230181	2.113837	-0.116344	0.000000	0.000000	0.000000
sat_Olck	v5_target	200	2.117196	1.559450	-0.557746	0.000000	0.000000	0.000000
sin_Sinh	head	200	1.902622	1.846130	-0.056492	0.000000	0.000000	0.000000
slk_Latn	head	200	1.844350	1.766981	-0.077369	0.000000	0.000000	0.000000
slv_Latn	head	200	1.689485	1.632675	-0.056810	0.000000	0.000000	0.000000
snd_Arab	head	200	1.570970	1.487797	-0.083173	0.000000	0.000000	0.000000
som_Arab	head	200	3.016118	1.871978	-1.144140	0.000000	0.000000	0.000000
som_Latn	head	200	1.821279	1.697213	-0.124066	0.000000	0.000000	0.000000
spa_Latn	head	200	1.437050	1.410072	-0.026978	0.000000	0.000000	0.000000
sqi_Latn	head	200	1.581268	1.537395	-0.043873	0.000000	0.000000	0.000000
srp_Cyrl	v5_target	200	1.748746	1.635484	-0.113262	0.000000	0.000000	0.000000
srp_Latn	head	200	1.690814	1.536458	-0.154356	0.000000	0.000000	0.000000
sun_Latn	v5_target	200	1.891469	1.599448	-0.292021	0.000000	0.000000	0.000000
swa_Latn	head	200	1.600055	1.475849	-0.124206	0.000000	0.000000	0.000000
swe_Latn	head	200	1.589417	1.550234	-0.039183	0.000000	0.000000	0.000000
swh_Latn	head	200	1.672364	1.506705	-0.165659	0.000000	0.000000	0.000000
tam_Taml	head	200	2.355427	2.181236	-0.174191	0.000000	0.000000	0.000000
tgl_Latn	head	200	1.610898	1.395947	-0.214951	0.000000	0.000000	0.000000
tha_Thai	head	200	4.896040	4.782178	-0.113862	0.000000	0.000000	0.000000
tur_Latn	head	200	1.780499	1.714418	-0.066081	0.000000	0.000000	0.000000
uig_Arab	head	200	2.723684	2.206058	-0.517626	0.000000	0.000000	0.000000
uig_Latn	head	200	2.507375	2.253687	-0.253688	0.000000	0.000000	0.000000
ukr_Cyrl	head	200	1.908812	1.852625	-0.056187	0.000000	0.000000	0.000000
urd_Arab	head	200	1.369398	1.314230	-0.055168	0.000000	0.000000	0.000000
uzb_Latn	head	200	2.104512	1.930390	-0.174122	0.000000	0.000000	0.000000
vie_Latn	head	200	1.237453	1.220881	-0.016572	0.000000	0.000000	0.000000
xho_Latn	head	200	2.549765	2.134507	-0.415258	0.000000	0.000000	0.000000
yid_Hebr	head	200	2.136431	1.720341	-0.416090	0.000000	0.000000	0.000000
zho_Hani	head	200	9.286111	9.347222	0.061111	0.000000	0.000000	0.000000
zsm_Latn	v5_target	200	1.495878	1.408244	-0.087634	0.000000	0.000000	0.000000
