tokenizer	language_script	group	sentences	avg_tokens	tokens_per_word	tokens_per_char	unk_token_pct	single_char_token_pct	byte_token_pct
xlmr_base	lao_Laoo	head	200	89.305000	4.592697	0.342040	0.000000	20.133251	0.000000
v5_tokenizer	lao_Laoo	head	200	68.615000	3.528671	0.262797	0.000000	15.157036	0.000000
xlmr_base	mya_Mymr	head	200	92.015000	4.564236	0.367018	0.000000	21.317177	0.000000
v5_tokenizer	mya_Mymr	head	200	80.875000	4.011657	0.322584	0.000000	17.848532	0.000000
xlmr_base	ara_Arab	head	200	21.880000	1.709375	0.382651	0.000000	25.365631	0.000000
v5_tokenizer	ara_Arab	head	200	20.660000	1.614062	0.361315	0.000000	20.643756	0.000000
xlmr_base	mar_Deva	head	200	28.980000	1.891645	0.321553	0.000000	18.081435	0.000000
v5_tokenizer	mar_Deva	head	200	27.780000	1.813316	0.308239	0.000000	16.252700	0.000000
xlmr_base	hau_Latn	head	200	52.890000	1.740948	0.367751	0.000000	19.540556	0.000000
v5_tokenizer	hau_Latn	head	200	46.000000	1.514154	0.319844	0.000000	18.521739	0.000000
xlmr_base	uzb_Latn	head	200	54.570000	2.104512	0.304087	0.000000	22.759758	0.000000
v5_tokenizer	uzb_Latn	head	200	50.055000	1.930390	0.278928	0.000000	22.665068	0.000000
xlmr_base	slv_Latn	head	200	23.940000	1.689485	0.318499	0.000000	21.825397	0.000000
v5_tokenizer	slv_Latn	head	200	23.135000	1.632675	0.307790	0.000000	21.741949	0.000000
xlmr_base	fin_Latn	head	200	23.555000	2.035869	0.281944	0.000000	18.233921	0.000000
v5_tokenizer	fin_Latn	head	200	22.610000	1.954192	0.270633	0.000000	18.067227	0.000000
xlmr_base	hun_Latn	head	200	24.970000	1.864128	0.304958	0.000000	23.007609	0.000000
v5_tokenizer	hun_Latn	head	200	24.560000	1.833520	0.299951	0.000000	22.862378	0.000000
xlmr_base	cmn_Hani	head	200	9.810000	9.298578	0.757822	0.000000	60.907238	0.000000
v5_tokenizer	cmn_Hani	head	200	9.645000	9.142180	0.745075	0.000000	60.393987	0.000000
xlmr_base	est_Latn	head	200	28.355000	1.974582	0.306127	0.000000	17.739376	0.000000
v5_tokenizer	est_Latn	head	200	26.995000	1.879875	0.291444	0.000000	17.595851	0.000000
xlmr_base	bre_Latn	head	200	47.300000	1.982813	0.423285	0.000000	29.048626	0.000000
v5_tokenizer	bre_Latn	head	200	40.515000	1.698386	0.362567	0.000000	27.310873	0.000000
xlmr_base	hrv_Latn	head	200	22.175000	1.681835	0.327887	0.000000	22.344983	0.000000
v5_tokenizer	hrv_Latn	head	200	20.575000	1.560485	0.304229	0.000000	22.600243	0.000000
xlmr_base	jav_Latn	head	200	32.180000	1.868757	0.313142	0.000000	18.629584	0.000000
v5_tokenizer	jav_Latn	head	200	27.960000	1.623693	0.272077	0.000000	18.258226	0.000000
