rank	language_script	language	language_name	script	region	new_length	original_length	source_dataset_dir	selection_rule	selection_note	status
1	kaa_Latn	kaa	Kara-Kalpak	Latn		30031	37671	/disk3/moon/Glot500/data/raw/kaa_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
2	fur_Latn	fur	Friulian	Latn		30052	47966	/disk3/moon/Glot500/data/raw/fur_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
3	rap_Latn	rap	Rapanui	Latn		30102	32930	/disk3/moon/Glot500/data/raw/rap_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
4	pls_Latn	pls	San Marcos Tlacoyalco Popoloca	Latn		30136	31985	/disk3/moon/Glot500/data/raw/pls_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
5	tuc_Latn	tuc	Mutu	Latn		30349	30384	/disk3/moon/Glot500/data/raw/tuc_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
6	krc_Cyrl	krc	Karachay-Balkar	Cyrl		30353	40368	/disk3/moon/Glot500/data/raw/krc_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
7	mzh_Latn	mzh	Wichí Lhamtés Güisnay	Latn		30517	30815	/disk3/moon/Glot500/data/raw/mzh_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
8	ksd_Latn	ksd	Kuanua	Latn		30550	30751	/disk3/moon/Glot500/data/raw/ksd_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
9	ext_Latn	ext	Extremaduran	Latn		30605	43072	/disk3/moon/Glot500/data/raw/ext_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
10	aka_Latn	aka	Akan	Latn		30704	42934	/disk3/moon/Glot500/data/raw/aka_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
11	rug_Latn	rug	Roviana	Latn		30857	31055	/disk3/moon/Glot500/data/raw/rug_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
12	zlm_Latn	zlm	Malay (individual language)	Latn		31345	32298	/disk3/moon/Glot500/data/raw/zlm_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
13	wbm_Latn	wbm	Wa	Latn		31394	31572	/disk3/moon/Glot500/data/raw/wbm_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
14	hne_Deva	hne	Chhattisgarhi	Deva		31465	76979	/disk3/moon/Glot500/data/raw/hne_Deva	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
15	kjb_Latn	kjb	Q'anjob'al	Latn		31471	32657	/disk3/moon/Glot500/data/raw/kjb_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
16	cuk_Latn	cuk	San Blas Kuna	Latn		31612	38349	/disk3/moon/Glot500/data/raw/cuk_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
17	bih_Deva	bih		Deva		31658	49096	/disk3/moon/Glot500/data/raw/bih_Deva	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
18	xav_Latn	xav	Xavánte	Latn		31765	36283	/disk3/moon/Glot500/data/raw/xav_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
