record_index	step	total_steps	loss	learning_rate	epoch	log_path
1	100	3000	6.6875	4.8433333333333336e-05	0.06	/home/axt/mnt2/jongha/v5_1_glot50010/runs/logs/train_v5_v51_strict5pct_random_mlm_3k_20260628_182508.log
2	200	3000	4.7745	4.676666666666667e-05	0.13	/home/axt/mnt2/jongha/v5_1_glot50010/runs/logs/train_v5_v51_strict5pct_random_mlm_3k_20260628_182508.log
3	300	3000	4.607	4.5100000000000005e-05	0.19	/home/axt/mnt2/jongha/v5_1_glot50010/runs/logs/train_v5_v51_strict5pct_random_mlm_3k_20260628_182508.log
4	400	3000	4.5278	4.3433333333333336e-05	0.25	/home/axt/mnt2/jongha/v5_1_glot50010/runs/logs/train_v5_v51_strict5pct_random_mlm_3k_20260628_182508.log
5	500	3000	4.4613	4.176666666666667e-05	0.32	/home/axt/mnt2/jongha/v5_1_glot50010/runs/logs/train_v5_v51_strict5pct_random_mlm_3k_20260628_182508.log
6	600	3000	4.3998	4.0100000000000006e-05	0.38	/home/axt/mnt2/jongha/v5_1_glot50010/runs/logs/train_v5_v51_strict5pct_random_mlm_3k_20260628_182508.log
7	700	3000	4.364	3.843333333333334e-05	0.45	/home/axt/mnt2/jongha/v5_1_glot50010/runs/logs/train_v5_v51_strict5pct_random_mlm_3k_20260628_182508.log
8	800	3000	4.3285	3.676666666666667e-05	0.51	/home/axt/mnt2/jongha/v5_1_glot50010/runs/logs/train_v5_v51_strict5pct_random_mlm_3k_20260628_182508.log
9	900	3000	4.3007	3.51e-05	0.57	/home/axt/mnt2/jongha/v5_1_glot50010/runs/logs/train_v5_v51_strict5pct_random_mlm_3k_20260628_182508.log
10	1000	3000	4.2816	3.343333333333333e-05	0.64	/home/axt/mnt2/jongha/v5_1_glot50010/runs/logs/train_v5_v51_strict5pct_random_mlm_3k_20260628_182508.log
11	1100	3000	4.2519	3.176666666666667e-05	0.7	/home/axt/mnt2/jongha/v5_1_glot50010/runs/logs/train_v5_v51_strict5pct_random_mlm_3k_20260628_182508.log
12	1200	3000	4.2148	3.01e-05	0.76	/home/axt/mnt2/jongha/v5_1_glot50010/runs/logs/train_v5_v51_strict5pct_random_mlm_3k_20260628_182508.log
13	1300	3000	4.1905	2.8433333333333334e-05	0.83	/home/axt/mnt2/jongha/v5_1_glot50010/runs/logs/train_v5_v51_strict5pct_random_mlm_3k_20260628_182508.log
14	1400	3000	4.159	2.676666666666667e-05	0.89	/home/axt/mnt2/jongha/v5_1_glot50010/runs/logs/train_v5_v51_strict5pct_random_mlm_3k_20260628_182508.log
15	1500	3000	4.1401	2.51e-05	0.96	/home/axt/mnt2/jongha/v5_1_glot50010/runs/logs/train_v5_v51_strict5pct_random_mlm_3k_20260628_182508.log
16	1600	3000	4.1208	2.3433333333333335e-05	1.02	/home/axt/mnt2/jongha/v5_1_glot50010/runs/logs/train_v5_v51_strict5pct_random_mlm_3k_20260628_182508.log
17	1700	3000	4.0806	2.176666666666667e-05	1.08	/home/axt/mnt2/jongha/v5_1_glot50010/runs/logs/train_v5_v51_strict5pct_random_mlm_3k_20260628_182508.log
18	1800	3000	4.0544	2.01e-05	1.15	/home/axt/mnt2/jongha/v5_1_glot50010/runs/logs/train_v5_v51_strict5pct_random_mlm_3k_20260628_182508.log
