task	language_script	language	group	in_task_list	upstream_flag	local_data_exists	has_data	reason	data_path
pos	lao_Laoo	lao	head	no		yes	no	not_in_task_or_flag_zero	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	mya_Mymr	mya	head	no		yes	no	not_in_task_or_flag_zero	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	ara_Arab	ara	head	yes	1	yes	yes	available	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	mar_Deva	mar	head	yes	1	yes	yes	available	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	hau_Latn	hau	head	no		yes	no	not_in_task_or_flag_zero	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	uzb_Latn	uzb	head	no		yes	no	not_in_task_or_flag_zero	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	slv_Latn	slv	head	yes	1	yes	yes	available	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	fin_Latn	fin	head	yes	1	yes	yes	available	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	hun_Latn	hun	head	yes	1	yes	yes	available	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	cmn_Hani	cmn	head	no		yes	no	not_in_task_or_flag_zero	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	est_Latn	est	head	yes	1	yes	yes	available	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	bre_Latn	bre	head	yes	1	yes	yes	available	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	hrv_Latn	hrv	head	yes	1	yes	yes	available	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	jav_Latn	jav	head	yes	1	yes	yes	available	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	ron_Latn	ron	head	yes	1	yes	yes	available	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	ell_Grek	ell	head	yes	1	yes	yes	available	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	nor_Latn	nor	head	yes	1	yes	yes	available	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	slk_Latn	slk	head	yes	1	yes	yes	available	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	vie_Latn	vie	head	yes	1	yes	yes	available	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	amh_Ethi	amh	head	yes	1	yes	yes	available	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	epo_Latn	epo	head	no		yes	no	not_in_task_or_flag_zero	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	bel_Cyrl	bel	head	yes	1	yes	yes	available	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	xho_Latn	xho	head	no		yes	no	not_in_task_or_flag_zero	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	hin_Deva	hin	head	yes	1	yes	yes	available	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	tam_Taml	tam	head	yes	1	yes	yes	available	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	mon_Cyrl	mon	head	no		yes	no	not_in_task_or_flag_zero	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	ces_Latn	ces	head	yes	1	yes	yes	available	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	san_Deva	san	head	yes	1	yes	yes	available	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	hye_Armn	hye	head	yes	1	yes	yes	available	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	pus_Arab	pus	head	no		yes	no	not_in_task_or_flag_zero	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
pos	som_Arab	som	head	no		yes	no	not_in_task_or_flag_zero	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/pos
