task	language_script	language	group	in_task_list	upstream_flag	local_data_exists	has_data	reason	data_path
pseudoperplexity	lao_Laoo	lao	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/lao_Laoo
pseudoperplexity	mya_Mymr	mya	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mya_Mymr
pseudoperplexity	ara_Arab	ara	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ara_Arab
pseudoperplexity	mar_Deva	mar	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mar_Deva
pseudoperplexity	hau_Latn	hau	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hau_Latn
pseudoperplexity	uzb_Latn	uzb	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/uzb_Latn
pseudoperplexity	slv_Latn	slv	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/slv_Latn
pseudoperplexity	fin_Latn	fin	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/fin_Latn
pseudoperplexity	hun_Latn	hun	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hun_Latn
pseudoperplexity	cmn_Hani	cmn	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/cmn_Hani
pseudoperplexity	est_Latn	est	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/est_Latn
pseudoperplexity	bre_Latn	bre	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/bre_Latn
pseudoperplexity	hrv_Latn	hrv	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hrv_Latn
pseudoperplexity	jav_Latn	jav	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/jav_Latn
pseudoperplexity	ron_Latn	ron	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ron_Latn
pseudoperplexity	ell_Grek	ell	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ell_Grek
pseudoperplexity	nor_Latn	nor	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/nor_Latn
pseudoperplexity	slk_Latn	slk	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/slk_Latn
pseudoperplexity	vie_Latn	vie	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/vie_Latn
pseudoperplexity	amh_Ethi	amh	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/amh_Ethi
pseudoperplexity	epo_Latn	epo	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/epo_Latn
pseudoperplexity	bel_Cyrl	bel	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/bel_Cyrl
pseudoperplexity	xho_Latn	xho	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/xho_Latn
pseudoperplexity	hin_Deva	hin	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hin_Deva
pseudoperplexity	tam_Taml	tam	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/tam_Taml
pseudoperplexity	mon_Cyrl	mon	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mon_Cyrl
pseudoperplexity	ces_Latn	ces	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ces_Latn
pseudoperplexity	san_Deva	san	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/san_Deva
pseudoperplexity	hye_Armn	hye	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hye_Armn
pseudoperplexity	pus_Arab	pus	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/pus_Arab
pseudoperplexity	som_Arab	som	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/som_Arab
pseudoperplexity	kan_Knda	kan	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/kan_Knda
pseudoperplexity	isl_Latn	isl	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/isl_Latn
pseudoperplexity	ori_Orya	ori	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ori_Orya
pseudoperplexity	afr_Latn	afr	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/afr_Latn
pseudoperplexity	deu_Latn	deu	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/deu_Latn
pseudoperplexity	urd_Arab	urd	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/urd_Arab
pseudoperplexity	bul_Cyrl	bul	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/bul_Cyrl
pseudoperplexity	tgl_Latn	tgl	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/tgl_Latn
pseudoperplexity	eus_Latn	eus	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/eus_Latn
pseudoperplexity	pol_Latn	pol	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/pol_Latn
pseudoperplexity	lat_Latn	lat	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/lat_Latn
pseudoperplexity	tur_Latn	tur	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/tur_Latn
pseudoperplexity	fra_Latn	fra	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/fra_Latn
pseudoperplexity	cat_Latn	cat	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/cat_Latn
pseudoperplexity	uig_Arab	uig	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/uig_Arab
pseudoperplexity	arb_Arab	arb	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/arb_Arab
pseudoperplexity	sqi_Latn	sqi	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/sqi_Latn
pseudoperplexity	sin_Sinh	sin	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/sin_Sinh
pseudoperplexity	msa_Latn	msa	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/msa_Latn
pseudoperplexity	swh_Latn	swh	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/swh_Latn
pseudoperplexity	kor_Hang	kor	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/kor_Hang
pseudoperplexity	ukr_Cyrl	ukr	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ukr_Cyrl
pseudoperplexity	kir_Cyrl	kir	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/kir_Cyrl
pseudoperplexity	yid_Hebr	yid	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/yid_Hebr
pseudoperplexity	heb_Hebr	heb	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/heb_Hebr
pseudoperplexity	nld_Latn	nld	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/nld_Latn
pseudoperplexity	fry_Latn	fry	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/fry_Latn
pseudoperplexity	azb_Arab	azb	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/azb_Arab
pseudoperplexity	glg_Latn	glg	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/glg_Latn
pseudoperplexity	fas_Arab	fas	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/fas_Arab
pseudoperplexity	eng_Latn	eng	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/eng_Latn
pseudoperplexity	mkd_Cyrl	mkd	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mkd_Cyrl
pseudoperplexity	ind_Latn	ind	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ind_Latn
pseudoperplexity	por_Latn	por	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/por_Latn
pseudoperplexity	spa_Latn	spa	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/spa_Latn
pseudoperplexity	dan_Latn	dan	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/dan_Latn
pseudoperplexity	khm_Khmr	khm	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/khm_Khmr
pseudoperplexity	gla_Latn	gla	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/gla_Latn
pseudoperplexity	uig_Latn	uig	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/uig_Latn
pseudoperplexity	kat_Geor	kat	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/kat_Geor
pseudoperplexity	mlg_Latn	mlg	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mlg_Latn
pseudoperplexity	snd_Arab	snd	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/snd_Arab
pseudoperplexity	ita_Latn	ita	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ita_Latn
pseudoperplexity	hau_Arab	hau	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hau_Arab
pseudoperplexity	cym_Latn	cym	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/cym_Latn
pseudoperplexity	srp_Latn	srp	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/srp_Latn
pseudoperplexity	zho_Hani	zho	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/zho_Hani
pseudoperplexity	tha_Thai	tha	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/tha_Thai
pseudoperplexity	swe_Latn	swe	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/swe_Latn
pseudoperplexity	pan_Guru	pan	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/pan_Guru
pseudoperplexity	prs_Arab	prs	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/prs_Arab
pseudoperplexity	pes_Arab	pes	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/pes_Arab
pseudoperplexity	san_Latn	san	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/san_Latn
pseudoperplexity	kaz_Cyrl	kaz	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/kaz_Cyrl
pseudoperplexity	kur_Latn	kur	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/kur_Latn
pseudoperplexity	mal_Mlym	mal	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mal_Mlym
pseudoperplexity	nep_Deva	nep	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/nep_Deva
pseudoperplexity	gle_Latn	gle	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/gle_Latn
pseudoperplexity	swa_Latn	swa	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/swa_Latn
pseudoperplexity	som_Latn	som	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/som_Latn
pseudoperplexity	lit_Latn	lit	head	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/lit_Latn
pseudoperplexity	guj_Gujr	guj	v5_target	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/guj_Gujr
pseudoperplexity	asm_Beng	asm	v5_target	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/asm_Beng
pseudoperplexity	srp_Cyrl	srp	v5_target	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/srp_Cyrl
pseudoperplexity	sun_Latn	sun	v5_target	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/sun_Latn
pseudoperplexity	zsm_Latn	zsm	v5_target	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/zsm_Latn
pseudoperplexity	aze_Latn	aze	v5_target	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/aze_Latn
pseudoperplexity	fil_Latn	fil	v5_target	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/fil_Latn
pseudoperplexity	bos_Latn	bos	v5_target	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/bos_Latn
pseudoperplexity	dzo_Tibt	dzo	v5_target	yes		yes	yes	available_raw_text	/home/axt/mnt2/jongha/v5_1_glot50010/raw/dzo_Tibt
