task	language_script	group	coverage_file	reason
Sentence Retrieval Tatoeba	ara_Arab	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	mar_Deva	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	slv_Latn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	fin_Latn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	hun_Latn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	cmn_Hani	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	est_Latn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	bre_Latn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	hrv_Latn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	ron_Latn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	ell_Grek	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	slk_Latn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	vie_Latn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	amh_Ethi	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	epo_Latn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	bel_Cyrl	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	xho_Latn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	hin_Deva	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	tam_Taml	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	mon_Cyrl	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	ces_Latn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	hye_Armn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	isl_Latn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	afr_Latn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	deu_Latn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	urd_Arab	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	bul_Cyrl	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	tgl_Latn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	eus_Latn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	pol_Latn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	lat_Latn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	tur_Latn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	fra_Latn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	cat_Latn	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	uig_Arab	head	coverage_retrieval_tatoeba.tsv	available
Sentence Retrieval Tatoeba	sqi_Latn	head	coverage_retrieval_tatoeba.tsv	available
