language_script	language	language_name	script	new_length	resource_bucket	resource_label	in_min30k_candidate_pool	table3_known_task_list_count	task_list_tasks	actionable_task_count	actionable_tasks	has_tatoeba_list	has_tatoeba_local	has_bible_list	bible_flag_head_tail	has_bible_source_ready	bible_shared_verses	bible_source_file	has_ner_list	has_ner_local	has_pos_list	has_pos_local	has_roundtrip_local_jsonl	has_roundtrip_bible_proxy	text_classification_status
dtp_Latn	dtp	Kadazan Dusun	Latn	48468	30k_50k	strict_low_30k_100k	yes	2	Tatoeba,Bible	3	Tatoeba,Bible,RoundtripBibleProxy	yes	yes	yes	0	yes	7887	/disk3/moon/paralleltext/bibles/corpus/dtp-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
xav_Latn	xav	Xavánte	Latn	31765	30k_50k	strict_low_30k_100k	yes	2	Bible,POS	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7418	/disk3/moon/paralleltext/bibles/corpus/xav-x-bible.txt	no	no	yes	no	no	yes	not_available_locally_no_language_list
bam_Latn	bam	Bambara	Latn	32150	30k_50k	strict_low_30k_100k	yes	2	Bible,POS	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7933	/disk3/moon/paralleltext/bibles/corpus/bam-x-bible.txt	no	no	yes	no	no	yes	not_available_locally_no_language_list
csb_Latn	csb	Kashubian	Latn	33743	30k_50k	strict_low_30k_100k	yes	2	Tatoeba,NER	2	Tatoeba,NER	yes	yes	no		no	0		yes	yes	no	no	no	no	not_available_locally_no_language_list
myv_Cyrl	myv	Erzya	Cyrl	42147	30k_50k	strict_low_30k_100k	yes	2	Bible,POS	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7927	/disk3/moon/paralleltext/bibles/corpus/myv-x-bible.txt	no	no	yes	no	no	yes	not_available_locally_no_language_list
kaa_Latn	kaa	Kara-Kalpak	Latn	30031	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7880	/disk3/moon/paralleltext/bibles/corpus/kaa-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
pls_Latn	pls	San Marcos Tlacoyalco Popoloca	Latn	30136	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7930	/disk3/moon/paralleltext/bibles/corpus/pls-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
mrw_Latn	mrw		Latn	30304	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7937	/disk3/moon/paralleltext/bibles/corpus/mrw-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
tuc_Latn	tuc	Mutu	Latn	30349	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7639	/disk3/moon/paralleltext/bibles/corpus/tuc-x-bible-patabuang.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
krc_Cyrl	krc	Karachay-Balkar	Cyrl	30353	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7936	/disk3/moon/paralleltext/bibles/corpus/krc-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
mwm_Latn	mwm		Latn	30432	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7926	/disk3/moon/paralleltext/bibles/corpus/mwm-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
hra_Latn	hra		Latn	30472	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7930	/disk3/moon/paralleltext/bibles/corpus/hra-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
mzh_Latn	mzh	Wichí Lhamtés Güisnay	Latn	30517	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7817	/disk3/moon/paralleltext/bibles/corpus/mzh-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
ksd_Latn	ksd	Kuanua	Latn	30550	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7941	/disk3/moon/paralleltext/bibles/corpus/ksd-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
ifa_Latn	ifa		Latn	30621	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7926	/disk3/moon/paralleltext/bibles/corpus/ifa-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
mcn_Latn	mcn		Latn	30666	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7939	/disk3/moon/paralleltext/bibles/corpus/mcn-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
kmm_Latn	kmm		Latn	30671	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7896	/disk3/moon/paralleltext/bibles/corpus/kmm-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
rug_Latn	rug	Roviana	Latn	30857	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7913	/disk3/moon/paralleltext/bibles/corpus/rug-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
izz_Latn	izz		Latn	30894	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7941	/disk3/moon/paralleltext/bibles/corpus/izz-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
ifb_Latn	ifb		Latn	30980	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7902	/disk3/moon/paralleltext/bibles/corpus/ifb-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
tui_Latn	tui		Latn	31161	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7934	/disk3/moon/paralleltext/bibles/corpus/tui-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
zlm_Latn	zlm	Malay (individual language)	Latn	31345	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7939	/disk3/moon/paralleltext/bibles/corpus/zlm-x-bible-zlmKSZI.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
wbm_Latn	wbm	Wa	Latn	31394	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7941	/disk3/moon/paralleltext/bibles/corpus/wbm-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
hne_Deva	hne	Chhattisgarhi	Deva	31465	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7940	/disk3/moon/paralleltext/bibles/corpus/hne-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
kjb_Latn	kjb	Q'anjob'al	Latn	31471	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7907	/disk3/moon/paralleltext/bibles/corpus/kjb-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
cuk_Latn	cuk	San Blas Kuna	Latn	31612	30k_50k	strict_low_30k_100k	yes	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7941	/disk3/moon/paralleltext/bibles/corpus/cuk-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
yan_Latn	yan		Latn	31775	30k_50k	strict_low_30k_100k	no	1	Bible	2	Bible,RoundtripBibleProxy	no	no	yes	0	yes	7916	/disk3/moon/paralleltext/bibles/corpus/yan-x-bible.txt	no	no	no	no	no	yes	not_available_locally_no_language_list
