language_script	language_name	script	new_length	resource_bucket	table3_known_task_list_count	task_list_tasks	actionable_task_count	actionable_tasks	bible_shared_verses
lzh_Hani	Literary Chinese	Hani	86035	50k_100k	3	Bible,NER,POS	3	Bible,NER,RoundtripBibleProxy	7929
dtp_Latn	Kadazan Dusun	Latn	48468	30k_50k	2	Tatoeba,Bible	3	Tatoeba,Bible,RoundtripBibleProxy	7887
ace_Latn	Achinese	Latn	59333	50k_100k	2	Bible,NER	3	Bible,NER,RoundtripBibleProxy	7887
xav_Latn	Xavánte	Latn	31765	30k_50k	2	Bible,POS	2	Bible,RoundtripBibleProxy	7418
bam_Latn	Bambara	Latn	32150	30k_50k	2	Bible,POS	2	Bible,RoundtripBibleProxy	7933
csb_Latn	Kashubian	Latn	33743	30k_50k	2	Tatoeba,NER	2	Tatoeba,NER	0
myv_Cyrl	Erzya	Cyrl	42147	30k_50k	2	Bible,POS	2	Bible,RoundtripBibleProxy	7927
glv_Latn	Manx	Latn	55641	50k_100k	2	Bible,POS	2	Bible,RoundtripBibleProxy	7941
aln_Latn	Gheg Albanian	Latn	60989	50k_100k	2	Bible,POS	2	Bible,RoundtripBibleProxy	7941
kaa_Latn	Kara-Kalpak	Latn	30031	30k_50k	1	Bible	2	Bible,RoundtripBibleProxy	7880
pls_Latn	San Marcos Tlacoyalco Popoloca	Latn	30136	30k_50k	1	Bible	2	Bible,RoundtripBibleProxy	7930
tuc_Latn	Mutu	Latn	30349	30k_50k	1	Bible	2	Bible,RoundtripBibleProxy	7639
krc_Cyrl	Karachay-Balkar	Cyrl	30353	30k_50k	1	Bible	2	Bible,RoundtripBibleProxy	7936
mzh_Latn	Wichí Lhamtés Güisnay	Latn	30517	30k_50k	1	Bible	2	Bible,RoundtripBibleProxy	7817
ksd_Latn	Kuanua	Latn	30550	30k_50k	1	Bible	2	Bible,RoundtripBibleProxy	7941
rug_Latn	Roviana	Latn	30857	30k_50k	1	Bible	2	Bible,RoundtripBibleProxy	7913
zlm_Latn	Malay (individual language)	Latn	31345	30k_50k	1	Bible	2	Bible,RoundtripBibleProxy	7939
wbm_Latn	Wa	Latn	31394	30k_50k	1	Bible	2	Bible,RoundtripBibleProxy	7941
hne_Deva	Chhattisgarhi	Deva	31465	30k_50k	1	Bible	2	Bible,RoundtripBibleProxy	7940
kjb_Latn	Q'anjob'al	Latn	31471	30k_50k	1	Bible	2	Bible,RoundtripBibleProxy	7907
cuk_Latn	San Blas Kuna	Latn	31612	30k_50k	1	Bible	2	Bible,RoundtripBibleProxy	7941
tca_Latn	Ticuna	Latn	31852	30k_50k	1	Bible	2	Bible,RoundtripBibleProxy	7727
rop_Latn	Kriol	Latn	31889	30k_50k	1	Bible	2	Bible,RoundtripBibleProxy	7649
