task	language_script	language	group	in_task_list	upstream_flag	local_data_exists	has_data	reason	data_path
roundtrip_alignment	lao_Laoo	lao	head	yes	1	no	no	missing_local_materialization	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/roundtrip_alignment
roundtrip_alignment	mya_Mymr	mya	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/roundtrip_alignment
roundtrip_alignment	ara_Arab	ara	head	no		no	no	not_in_task_or_bible_proxy_flag_zero	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/roundtrip_alignment
roundtrip_alignment	mar_Deva	mar	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/roundtrip_alignment
roundtrip_alignment	hau_Latn	hau	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/roundtrip_alignment
roundtrip_alignment	uzb_Latn	uzb	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/roundtrip_alignment
roundtrip_alignment	slv_Latn	slv	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/roundtrip_alignment
roundtrip_alignment	fin_Latn	fin	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/roundtrip_alignment
roundtrip_alignment	hun_Latn	hun	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/roundtrip_alignment
roundtrip_alignment	cmn_Hani	cmn	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/roundtrip_alignment
roundtrip_alignment	est_Latn	est	head	yes	1	no	no	missing_local_materialization	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/roundtrip_alignment
roundtrip_alignment	bre_Latn	bre	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/roundtrip_alignment
roundtrip_alignment	hrv_Latn	hrv	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/roundtrip_alignment
