field	value
metric	pppl
model_key	v52_random_step500
model_path	/home/axt/mnt2/jongha/v5.2_glot5007/runs/v52_random_mlm_8h/checkpoint-500
tokenizer_path	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm
eval_data_root	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download
eval_output_root	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation
gpu	2
docs_exp_root	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2
model_matrix	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/model_matrix.tsv
pppl_split	train
pppl_eval_role	target7_train_source_diagnostic
pppl_train_source_allowed	1
