model_key	language_script	group	examples	masked_tokens	mean_nll	pseudo_perplexity	elapsed_sec
xlmr_base	lao_Laoo	head	20	1239	1.803190	6.068974	8.909
xlmr_base	mya_Mymr	head	20	1102	2.052041	7.783770	5.073
xlmr_base	ara_Arab	head	20	441	2.277054	9.747923	1.989
xlmr_base	mar_Deva	head	20	650	2.127755	8.396000	3.163
xlmr_base	hau_Latn	head	20	979	3.251087	25.818397	6.519
xlmr_base	uzb_Latn	head	20	1062	1.951126	7.036607	7.076
xlmr_base	slv_Latn	head	20	483	1.859618	6.421281	2.299
xlmr_base	fin_Latn	head	20	445	1.633752	5.123059	1.751
xlmr_base	hun_Latn	head	20	482	1.696721	5.456028	1.603
xlmr_base	cmn_Hani	head	20	194	2.904264	18.251804	0.576
xlmr_base	est_Latn	head	20	509	2.088269	8.070928	1.761
xlmr_base	bre_Latn	head	20	573	3.694159	40.211724	2.392
xlmr_base	hrv_Latn	head	20	385	1.896212	6.660618	1.261
xlmr_base	jav_Latn	head	20	665	2.996809	20.021556	3.099
xlmr_base	ron_Latn	head	20	573	1.327822	3.772818	2.518
xlmr_base	ell_Grek	head	20	479	1.185874	3.273546	2.030
xlmr_base	nor_Latn	head	20	554	1.585976	4.884054	2.776
xlmr_base	slk_Latn	head	20	556	1.696911	5.457062	1.395
xlmr_base	vie_Latn	head	20	554	1.552709	4.724249	1.420
xlmr_base	amh_Ethi	head	20	1299	2.478432	11.922560	10.311
xlmr_base	epo_Latn	head	20	463	2.732473	15.370860	1.844
xlmr_base	bel_Cyrl	head	20	757	1.373402	3.948763	3.973
xlmr_base	xho_Latn	head	20	804	3.301314	27.148297	3.304
xlmr_base	hin_Deva	head	20	503	1.912809	6.772082	1.406
xlmr_base	tam_Taml	head	20	738	2.188392	8.920860	3.116
xlmr_base	mon_Cyrl	head	20	1257	1.661636	5.267924	8.847
xlmr_base	ces_Latn	head	20	561	1.409341	4.093256	2.349
xlmr_base	san_Deva	head	20	522	3.276272	26.476878	1.745
xlmr_base	hye_Armn	head	20	1257	1.582796	4.868547	9.854
xlmr_base	pus_Arab	head	20	793	2.613606	13.648177	4.975
xlmr_base	som_Arab	head	20	985	1.448589	4.257104	7.577
xlmr_base	kan_Knda	head	20	730	1.919637	6.818485	3.723
xlmr_base	isl_Latn	head	20	577	2.005321	7.428477	2.122
xlmr_base	ori_Orya	head	20	921	1.659677	5.257613	3.199
xlmr_base	afr_Latn	head	20	621	2.206663	9.085349	2.553
xlmr_base	deu_Latn	head	20	456	1.406446	4.081425	1.524
xlmr_base	urd_Arab	head	20	619	2.154559	8.624085	3.218
xlmr_base	bul_Cyrl	head	20	553	1.390804	4.018078	2.851
xlmr_base	tgl_Latn	head	20	541	2.170329	8.761169	2.217
xlmr_base	eus_Latn	head	20	508	1.995504	7.355909	2.062
xlmr_base	pol_Latn	head	20	603	1.078095	2.939077	2.431
xlmr_base	lat_Latn	head	20	788	2.514808	12.364234	4.995
xlmr_base	tur_Latn	head	20	286	2.309176	10.066125	0.820
