model_key	language_script	group	examples	masked_tokens	mean_nll	pseudo_perplexity	elapsed_sec
xlmr_large	lao_Laoo	head	20	1239	1.422735	4.148452	7.934
xlmr_large	mya_Mymr	head	20	1102	1.637535	5.142475	6.517
xlmr_large	ara_Arab	head	20	441	1.841870	6.308324	1.536
xlmr_large	mar_Deva	head	20	650	1.726516	5.621037	2.704
xlmr_large	hau_Latn	head	20	979	2.408235	11.114325	5.418
xlmr_large	uzb_Latn	head	20	1062	1.332432	3.790251	6.074
xlmr_large	slv_Latn	head	20	483	1.504411	4.501503	1.696
xlmr_large	fin_Latn	head	20	445	1.255046	3.508000	1.400
xlmr_large	hun_Latn	head	20	482	1.265984	3.546580	1.311
xlmr_large	cmn_Hani	head	20	194	2.640991	14.027092	0.335
xlmr_large	est_Latn	head	20	509	1.642372	5.167411	1.402
xlmr_large	bre_Latn	head	20	573	2.687384	14.693194	1.808
xlmr_large	hrv_Latn	head	20	385	1.487504	4.426036	1.029
xlmr_large	jav_Latn	head	20	665	2.173688	8.790645	2.446
xlmr_large	ron_Latn	head	20	573	1.007018	2.737426	1.960
xlmr_large	ell_Grek	head	20	479	0.921579	2.513255	1.672
xlmr_large	nor_Latn	head	20	554	1.168638	3.217609	2.515
xlmr_large	slk_Latn	head	20	556	1.262425	3.533981	1.979
xlmr_large	vie_Latn	head	20	554	1.081325	2.948585	2.405
xlmr_large	amh_Ethi	head	20	1299	2.035297	7.654522	9.041
xlmr_large	epo_Latn	head	20	463	1.902260	6.701022	1.305
xlmr_large	bel_Cyrl	head	20	757	0.926867	2.526582	3.378
xlmr_large	xho_Latn	head	20	804	2.252488	9.511368	3.638
xlmr_large	hin_Deva	head	20	503	1.598214	4.944196	2.092
xlmr_large	tam_Taml	head	20	738	1.587009	4.889101	2.934
xlmr_large	mon_Cyrl	head	20	1257	1.270885	3.564005	7.809
xlmr_large	ces_Latn	head	20	561	0.998875	2.715225	2.267
xlmr_large	san_Deva	head	20	522	2.612817	13.637410	1.695
xlmr_large	hye_Armn	head	20	1257	1.215190	3.370935	10.007
xlmr_large	pus_Arab	head	20	793	2.214267	9.154700	4.808
xlmr_large	som_Arab	head	20	985	1.014203	2.757164	7.397
xlmr_large	kan_Knda	head	20	730	1.527200	4.605263	3.693
xlmr_large	isl_Latn	head	20	577	1.427902	4.169941	2.387
xlmr_large	ori_Orya	head	20	921	1.196856	3.309695	5.239
xlmr_large	afr_Latn	head	20	621	1.518801	4.566745	2.449
xlmr_large	deu_Latn	head	20	456	1.019966	2.773101	1.345
xlmr_large	urd_Arab	head	20	619	1.605261	4.979161	3.117
xlmr_large	bul_Cyrl	head	20	553	1.152589	3.166380	2.465
xlmr_large	tgl_Latn	head	20	541	1.646050	5.186452	1.966
xlmr_large	eus_Latn	head	20	508	1.465397	4.329260	1.892
xlmr_large	pol_Latn	head	20	603	0.730141	2.075374	2.257
xlmr_large	lat_Latn	head	20	788	1.802634	6.065602	4.502
xlmr_large	tur_Latn	head	20	286	1.763137	5.830698	0.575
xlmr_large	fra_Latn	head	20	494	0.999686	2.717430	2.210
xlmr_large	cat_Latn	head	20	580	1.156949	3.180215	2.839
xlmr_large	uig_Arab	head	20	757	1.279318	3.594187	3.318
xlmr_large	arb_Arab	head	20	1624	0.541784	1.719072	12.581
xlmr_large	sqi_Latn	head	20	607	1.152009	3.164543	2.343
xlmr_large	sin_Sinh	head	20	540	1.442071	4.229444	2.288
xlmr_large	msa_Latn	head	20	478	1.767212	5.854509	2.135
xlmr_large	swh_Latn	head	20	661	1.934397	6.919869	2.346
xlmr_large	kor_Hang	head	20	501	1.390451	4.016660	1.723
xlmr_large	ukr_Cyrl	head	20	673	0.848001	2.334975	3.007
xlmr_large	kir_Cyrl	head	20	720	1.408390	4.089365	3.365
xlmr_large	yid_Hebr	head	20	1375	1.305714	3.690324	11.232
xlmr_large	heb_Hebr	head	20	323	1.687610	5.406546	0.695
xlmr_large	nld_Latn	head	20	495	1.058046	2.880738	1.576
xlmr_large	fry_Latn	head	20	567	2.262634	9.608364	2.506
xlmr_large	azb_Arab	head	20	868	5.265494	193.541827	4.019
xlmr_large	glg_Latn	head	20	555	1.556741	4.743338	1.914
xlmr_large	fas_Arab	head	20	416	1.307114	3.695494	1.224
xlmr_large	eng_Latn	head	20	478	1.464091	4.323612	2.106
xlmr_large	mkd_Cyrl	head	20	916	1.115500	3.051094	5.583
xlmr_large	ind_Latn	head	20	441	1.514450	4.546919	1.308
xlmr_large	por_Latn	head	20	366	1.022778	2.780909	0.904
xlmr_large	spa_Latn	head	20	481	0.974387	2.649542	1.615
xlmr_large	dan_Latn	head	20	466	1.321185	3.747861	1.426
xlmr_large	khm_Khmr	head	20	1289	1.322040	3.751065	9.643
xlmr_large	gla_Latn	head	20	922	1.504698	4.502793	5.252
xlmr_large	uig_Latn	head	20	613	3.748252	42.446810	2.728
xlmr_large	kat_Geor	head	20	1009	1.411047	4.100245	6.398
xlmr_large	mlg_Latn	head	20	1054	1.807211	6.093429	6.528
xlmr_large	snd_Arab	head	20	560	2.160124	8.672217	1.820
xlmr_large	ita_Latn	head	20	553	1.343030	3.830634	2.015
xlmr_large	hau_Arab	head	20	1043	1.355945	3.880427	6.724
xlmr_large	cym_Latn	head	20	979	1.173304	3.232655	5.306
xlmr_large	srp_Latn	head	20	407	2.496118	12.135297	1.052
xlmr_large	zho_Hani	head	20	264	3.100649	22.212367	0.556
xlmr_large	tha_Thai	head	20	556	2.230959	9.308792	2.079
xlmr_large	swe_Latn	head	20	524	1.445538	4.244134	1.733
xlmr_large	pan_Guru	head	20	836	1.496600	4.466477	3.930
xlmr_large	prs_Arab	head	20	670	2.004575	7.422940	2.320
xlmr_large	pes_Arab	head	20	233	1.705073	5.501787	0.427
xlmr_large	san_Latn	head	20	778	1.997664	7.371818	4.362
xlmr_large	kaz_Cyrl	head	20	783	0.922236	2.514907	3.988
xlmr_large	kur_Latn	head	20	1217	1.992952	7.337162	8.582
xlmr_large	mal_Mlym	head	20	657	1.269738	3.559921	2.445
xlmr_large	nep_Deva	head	20	672	2.585451	13.269275	3.608
xlmr_large	gle_Latn	head	20	862	2.062075	7.862267	4.454
xlmr_large	swa_Latn	head	20	596	1.451856	4.271032	1.988
xlmr_large	som_Latn	head	20	925	1.899928	6.685413	4.649
xlmr_large	lit_Latn	head	20	560	1.219195	3.384462	1.815
xlmr_large	dtp_Latn	v5_target	20	334	7.301798	1482.963619	0.688
xlmr_large	xav_Latn	v5_target	20	1929	3.597289	36.499169	16.852
xlmr_large	bam_Latn	v5_target	20	899	3.953229	52.103343	4.604
xlmr_large	csb_Latn	v5_target	20	975	4.218554	67.935205	5.477
xlmr_large	ile_Latn	v5_target	20	532	3.318858	27.628783	1.695
xlmr_large	lij_Latn	v5_target	20	1014	4.168900	64.644304	5.981
xlmr_large	fur_Latn	v5_target	20	875	4.807825	122.464966	5.505
