model_key	language_script_a	language_script_b	status_a	status_b	family_a	family_b	script_a	script_b	cosine
v52_random_step4000	ara_Arab	ara_Arab	head	head	Semitic	Semitic	Arab	Arab	1.000000
v52_random_step4000	ara_Arab	bam_Latn	head	tail	Semitic	Mande	Arab	Latn	-0.241953
v52_random_step4000	ara_Arab	cat_Latn	head	head	Semitic	Romance	Arab	Latn	-0.148288
v52_random_step4000	ara_Arab	ces_Latn	head	head	Semitic	Slavic	Arab	Latn	-0.058072
v52_random_step4000	ara_Arab	cmn_Hani	head	head	Semitic	Sinitic	Arab	Hani	0.186563
v52_random_step4000	ara_Arab	csb_Latn	head	tail	Semitic	Slavic	Arab	Latn	-0.157071
v52_random_step4000	ara_Arab	deu_Latn	head	head	Semitic	Germanic	Arab	Latn	-0.022885
v52_random_step4000	ara_Arab	dtp_Latn	head	tail	Semitic	Austronesian	Arab	Latn	-0.086116
v52_random_step4000	ara_Arab	ell_Grek	head	head	Semitic	Hellenic	Arab	Grek	0.169714
v52_random_step4000	ara_Arab	eng_Latn	head	head	Semitic	Germanic	Arab	Latn	0.034353
v52_random_step4000	ara_Arab	epo_Latn	head	head	Semitic	Constructed	Arab	Latn	-0.250086
v52_random_step4000	ara_Arab	est_Latn	head	head	Semitic	Uralic	Arab	Latn	-0.060311
v52_random_step4000	ara_Arab	fin_Latn	head	head	Semitic	Uralic	Arab	Latn	0.041312
v52_random_step4000	ara_Arab	fra_Latn	head	head	Semitic	Romance	Arab	Latn	-0.029397
v52_random_step4000	ara_Arab	fur_Latn	head	tail	Semitic	Romance	Arab	Latn	-0.223436
v52_random_step4000	ara_Arab	hau_Latn	head	head	Semitic	Afro-Asiatic	Arab	Latn	-0.007167
v52_random_step4000	ara_Arab	heb_Hebr	head	head	Semitic	Semitic	Arab	Hebr	0.526933
v52_random_step4000	ara_Arab	hrv_Latn	head	head	Semitic	Slavic	Arab	Latn	0.068761
v52_random_step4000	ara_Arab	hun_Latn	head	head	Semitic	Uralic	Arab	Latn	0.035988
v52_random_step4000	ara_Arab	ile_Latn	head	tail	Semitic	Constructed	Arab	Latn	-0.271248
v52_random_step4000	ara_Arab	ind_Latn	head	head	Semitic	Austronesian	Arab	Latn	0.204047
v52_random_step4000	ara_Arab	ita_Latn	head	head	Semitic	Romance	Arab	Latn	-0.041176
v52_random_step4000	ara_Arab	jav_Latn	head	head	Semitic	Austronesian	Arab	Latn	-0.117529
v52_random_step4000	ara_Arab	kor_Hang	head	head	Semitic	Koreanic	Arab	Hang	0.140176
v52_random_step4000	ara_Arab	lao_Laoo	head	head	Semitic	Kra-Dai	Arab	Laoo	0.095707
v52_random_step4000	ara_Arab	lij_Latn	head	tail	Semitic	Romance	Arab	Latn	-0.271796
v52_random_step4000	ara_Arab	mar_Deva	head	head	Semitic	Indo-Aryan	Arab	Deva	0.183546
v52_random_step4000	ara_Arab	mlg_Latn	head	head	Semitic	Austronesian	Arab	Latn	-0.043010
v52_random_step4000	ara_Arab	msa_Latn	head	head	Semitic	Austronesian	Arab	Latn	0.171236
v52_random_step4000	ara_Arab	nld_Latn	head	head	Semitic	Germanic	Arab	Latn	-0.048877
v52_random_step4000	ara_Arab	pol_Latn	head	head	Semitic	Slavic	Arab	Latn	0.067535
v52_random_step4000	ara_Arab	por_Latn	head	head	Semitic	Romance	Arab	Latn	0.027238
v52_random_step4000	ara_Arab	ron_Latn	head	head	Semitic	Romance	Arab	Latn	0.038556
v52_random_step4000	ara_Arab	slk_Latn	head	head	Semitic	Slavic	Arab	Latn	-0.041001
v52_random_step4000	ara_Arab	slv_Latn	head	head	Semitic	Slavic	Arab	Latn	-0.015514
v52_random_step4000	ara_Arab	tgl_Latn	head	head	Semitic	Austronesian	Arab	Latn	-0.007502
v52_random_step4000	ara_Arab	xav_Latn	head	tail	Semitic	Macro-Je	Arab	Latn	-0.212293
v52_random_step4000	ara_Arab	xho_Latn	head	head	Semitic	Bantu	Arab	Latn	-0.079567
v52_random_step4000	bam_Latn	ara_Arab	tail	head	Mande	Semitic	Latn	Arab	-0.241953
v52_random_step4000	bam_Latn	bam_Latn	tail	tail	Mande	Mande	Latn	Latn	1.000000
v52_random_step4000	bam_Latn	cat_Latn	tail	head	Mande	Romance	Latn	Latn	-0.426370
v52_random_step4000	bam_Latn	ces_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.477026
v52_random_step4000	bam_Latn	cmn_Hani	tail	head	Mande	Sinitic	Latn	Hani	-0.286626
v52_random_step4000	bam_Latn	csb_Latn	tail	tail	Mande	Slavic	Latn	Latn	0.537433
v52_random_step4000	bam_Latn	deu_Latn	tail	head	Mande	Germanic	Latn	Latn	-0.564589
v52_random_step4000	bam_Latn	dtp_Latn	tail	tail	Mande	Austronesian	Latn	Latn	0.819977
v52_random_step4000	bam_Latn	ell_Grek	tail	head	Mande	Hellenic	Latn	Grek	-0.522730
v52_random_step4000	bam_Latn	eng_Latn	tail	head	Mande	Germanic	Latn	Latn	-0.528853
v52_random_step4000	bam_Latn	epo_Latn	tail	head	Mande	Constructed	Latn	Latn	-0.012772
v52_random_step4000	bam_Latn	est_Latn	tail	head	Mande	Uralic	Latn	Latn	-0.259323
v52_random_step4000	bam_Latn	fin_Latn	tail	head	Mande	Uralic	Latn	Latn	-0.438230
v52_random_step4000	bam_Latn	fra_Latn	tail	head	Mande	Romance	Latn	Latn	-0.574334
v52_random_step4000	bam_Latn	fur_Latn	tail	tail	Mande	Romance	Latn	Latn	0.582164
v52_random_step4000	bam_Latn	hau_Latn	tail	head	Mande	Afro-Asiatic	Latn	Latn	0.583120
v52_random_step4000	bam_Latn	heb_Hebr	tail	head	Mande	Semitic	Latn	Hebr	-0.472749
v52_random_step4000	bam_Latn	hrv_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.396646
v52_random_step4000	bam_Latn	hun_Latn	tail	head	Mande	Uralic	Latn	Latn	-0.513268
v52_random_step4000	bam_Latn	ile_Latn	tail	tail	Mande	Constructed	Latn	Latn	0.262698
v52_random_step4000	bam_Latn	ind_Latn	tail	head	Mande	Austronesian	Latn	Latn	-0.427313
v52_random_step4000	bam_Latn	ita_Latn	tail	head	Mande	Romance	Latn	Latn	-0.497669
v52_random_step4000	bam_Latn	jav_Latn	tail	head	Mande	Austronesian	Latn	Latn	0.427864
v52_random_step4000	bam_Latn	kor_Hang	tail	head	Mande	Koreanic	Latn	Hang	-0.362171
v52_random_step4000	bam_Latn	lao_Laoo	tail	head	Mande	Kra-Dai	Latn	Laoo	0.194723
v52_random_step4000	bam_Latn	lij_Latn	tail	tail	Mande	Romance	Latn	Latn	0.508573
v52_random_step4000	bam_Latn	mar_Deva	tail	head	Mande	Indo-Aryan	Latn	Deva	-0.139176
v52_random_step4000	bam_Latn	mlg_Latn	tail	head	Mande	Austronesian	Latn	Latn	0.481538
v52_random_step4000	bam_Latn	msa_Latn	tail	head	Mande	Austronesian	Latn	Latn	-0.365148
v52_random_step4000	bam_Latn	nld_Latn	tail	head	Mande	Germanic	Latn	Latn	-0.505923
v52_random_step4000	bam_Latn	pol_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.567329
v52_random_step4000	bam_Latn	por_Latn	tail	head	Mande	Romance	Latn	Latn	-0.601372
v52_random_step4000	bam_Latn	ron_Latn	tail	head	Mande	Romance	Latn	Latn	-0.537735
v52_random_step4000	bam_Latn	slk_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.547159
v52_random_step4000	bam_Latn	slv_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.452826
v52_random_step4000	bam_Latn	tgl_Latn	tail	head	Mande	Austronesian	Latn	Latn	-0.068188
v52_random_step4000	bam_Latn	xav_Latn	tail	tail	Mande	Macro-Je	Latn	Latn	0.526486
v52_random_step4000	bam_Latn	xho_Latn	tail	head	Mande	Bantu	Latn	Latn	0.768632
v52_random_step4000	cat_Latn	ara_Arab	head	head	Romance	Semitic	Latn	Arab	-0.148288
v52_random_step4000	cat_Latn	bam_Latn	head	tail	Romance	Mande	Latn	Latn	-0.426370
v52_random_step4000	cat_Latn	cat_Latn	head	head	Romance	Romance	Latn	Latn	1.000000
v52_random_step4000	cat_Latn	ces_Latn	head	head	Romance	Slavic	Latn	Latn	0.191685
v52_random_step4000	cat_Latn	cmn_Hani	head	head	Romance	Sinitic	Latn	Hani	-0.112132
v52_random_step4000	cat_Latn	csb_Latn	head	tail	Romance	Slavic	Latn	Latn	-0.293238
v52_random_step4000	cat_Latn	deu_Latn	head	head	Romance	Germanic	Latn	Latn	0.214006
v52_random_step4000	cat_Latn	dtp_Latn	head	tail	Romance	Austronesian	Latn	Latn	-0.440902
v52_random_step4000	cat_Latn	ell_Grek	head	head	Romance	Hellenic	Latn	Grek	0.286417
v52_random_step4000	cat_Latn	eng_Latn	head	head	Romance	Germanic	Latn	Latn	0.236128
v52_random_step4000	cat_Latn	epo_Latn	head	head	Romance	Constructed	Latn	Latn	0.255202
v52_random_step4000	cat_Latn	est_Latn	head	head	Romance	Uralic	Latn	Latn	0.030119
v52_random_step4000	cat_Latn	fin_Latn	head	head	Romance	Uralic	Latn	Latn	0.014253
v52_random_step4000	cat_Latn	fra_Latn	head	head	Romance	Romance	Latn	Latn	0.659744
v52_random_step4000	cat_Latn	fur_Latn	head	tail	Romance	Romance	Latn	Latn	0.055083
v52_random_step4000	cat_Latn	hau_Latn	head	head	Romance	Afro-Asiatic	Latn	Latn	-0.432696
v52_random_step4000	cat_Latn	heb_Hebr	head	head	Romance	Semitic	Latn	Hebr	0.040005
