model_key	relation_type	pairs	mean_cosine	mean_centered_cosine	min_cosine	max_cosine
v52_fvt_step4000	tail_head_different_family_different_script	1856	0.908656	-0.078834	0.835886	0.957858
v52_fvt_step4000	tail_head_different_family_same_script	6100	0.913029	-0.049819	0.798983	0.968509
v52_fvt_step4000	tail_head_same_family	1050	0.928114	0.036947	0.859651	0.972391
v52_fvt_step4000	tail_head_same_macro_family	1550	0.922911	-0.063871	0.844908	0.969424
v52_fvt_step4000	tail_tail_different_family	900	0.919252	0.123785	0.848011	0.977282
v52_fvt_step4000	tail_tail_same_family	50	0.950288	0.306983	0.905164	0.980667
v52_fvt_step4000	tail_tail_same_macro_family	100	0.939912	0.181989	0.906522	0.970254
v52_fvt_step4000	tail_within_language	350	0.955939	0.473229	0.882454	0.995185
v52_mean_step4000	tail_head_different_family_different_script	1856	0.909300	-0.081205	0.833351	0.958479
v52_mean_step4000	tail_head_different_family_same_script	6100	0.914299	-0.053130	0.787265	0.976781
v52_mean_step4000	tail_head_same_family	1050	0.926350	0.020440	0.854939	0.970858
v52_mean_step4000	tail_head_same_macro_family	1550	0.920660	-0.080363	0.839022	0.974792
v52_mean_step4000	tail_tail_different_family	900	0.926486	0.169048	0.865693	0.978128
v52_mean_step4000	tail_tail_same_family	50	0.953052	0.338241	0.903174	0.982496
v52_mean_step4000	tail_tail_same_macro_family	100	0.941214	0.195629	0.902476	0.969463
v52_mean_step4000	tail_within_language	350	0.958004	0.484068	0.886967	0.994373
v52_random_step4000	tail_head_different_family_different_script	1856	0.903405	-0.096438	0.822019	0.954355
v52_random_step4000	tail_head_different_family_same_script	6100	0.909296	-0.059951	0.787731	0.970923
v52_random_step4000	tail_head_same_family	1050	0.922020	-0.000824	0.850930	0.968952
v52_random_step4000	tail_head_same_macro_family	1550	0.916301	-0.097348	0.836033	0.978376
v52_random_step4000	tail_tail_different_family	900	0.924713	0.208022	0.847069	0.975508
v52_random_step4000	tail_tail_same_family	50	0.952583	0.367259	0.902469	0.981355
v52_random_step4000	tail_tail_same_macro_family	100	0.940503	0.239189	0.899789	0.968760
v52_random_step4000	tail_within_language	350	0.956587	0.497095	0.881393	0.994889
