model_key	pair_type	group	pairs	mean_cosine	mean_centered_cosine	min_cosine	max_cosine
v52_family_mean_conv5way_step15000	aligned_bible_src_eng	all	300	0.901362	-0.012697	0.841547	0.956341
v52_family_mean_conv5way_step15000	aligned_bible_src_eng	v5_target	300	0.901362	-0.012697	0.841547	0.956341
v52_family_mean_conv5way_step15000	aligned_tatoeba_src_eng	all	300	0.915605	0.196652	0.843640	0.983439
v52_family_mean_conv5way_step15000	aligned_tatoeba_src_eng	v5_target	300	0.915605	0.196652	0.843640	0.983439
v52_family_mean_conv5way_step15000	roundtrip_eng_pivot	all	300	0.903266	-0.033067	0.861412	0.938507
v52_family_mean_conv5way_step15000	roundtrip_eng_pivot	v5_target	300	0.903266	-0.033067	0.861412	0.938507
v52_family_mean_conv5way_step15000	roundtrip_src_eng	all	300	0.897562	-0.034991	0.835037	0.938507
v52_family_mean_conv5way_step15000	roundtrip_src_eng	v5_target	300	0.897562	-0.034991	0.835037	0.938507
v52_family_mean_conv5way_step15000	roundtrip_src_pivot	all	300	0.931975	0.359259	0.889790	0.972744
v52_family_mean_conv5way_step15000	roundtrip_src_pivot	v5_target	300	0.931975	0.359259	0.889790	0.972744
v52_family_mean_conv5way_step15000	same_language_bible_adjacent	all	300	0.976377	0.772605	0.920252	0.997579
v52_family_mean_conv5way_step15000	same_language_bible_adjacent	v5_target	300	0.976377	0.772605	0.920252	0.997579
v52_family_mean_conv5way_step15000	same_language_tatoeba_adjacent	all	300	0.942564	0.404803	0.883787	0.999556
v52_family_mean_conv5way_step15000	same_language_tatoeba_adjacent	v5_target	300	0.942564	0.404803	0.883787	0.999556
