model_key	language_script_a	language_script_b	status_a	status_b	family_a	family_b	script_a	script_b	cosine
v52_family_mean_conv5way_step21000	ara_Arab	ara_Arab	head	head	Semitic	Semitic	Arab	Arab	1.000000
v52_family_mean_conv5way_step21000	ara_Arab	bam_Latn	head	tail	Semitic	Mande	Arab	Latn	-0.286369
v52_family_mean_conv5way_step21000	ara_Arab	cat_Latn	head	head	Semitic	Romance	Arab	Latn	-0.141760
v52_family_mean_conv5way_step21000	ara_Arab	ces_Latn	head	head	Semitic	Slavic	Arab	Latn	-0.040495
v52_family_mean_conv5way_step21000	ara_Arab	cmn_Hani	head	head	Semitic	Sinitic	Arab	Hani	0.151508
v52_family_mean_conv5way_step21000	ara_Arab	csb_Latn	head	tail	Semitic	Slavic	Arab	Latn	-0.215358
v52_family_mean_conv5way_step21000	ara_Arab	deu_Latn	head	head	Semitic	Germanic	Arab	Latn	-0.026433
v52_family_mean_conv5way_step21000	ara_Arab	dtp_Latn	head	tail	Semitic	Austronesian	Arab	Latn	-0.077137
v52_family_mean_conv5way_step21000	ara_Arab	ell_Grek	head	head	Semitic	Hellenic	Arab	Grek	0.222181
v52_family_mean_conv5way_step21000	ara_Arab	eng_Latn	head	head	Semitic	Germanic	Arab	Latn	0.004629
v52_family_mean_conv5way_step21000	ara_Arab	epo_Latn	head	head	Semitic	Constructed	Arab	Latn	-0.237495
v52_family_mean_conv5way_step21000	ara_Arab	est_Latn	head	head	Semitic	Uralic	Arab	Latn	-0.005825
v52_family_mean_conv5way_step21000	ara_Arab	fin_Latn	head	head	Semitic	Uralic	Arab	Latn	0.062979
v52_family_mean_conv5way_step21000	ara_Arab	fra_Latn	head	head	Semitic	Romance	Arab	Latn	-0.043093
v52_family_mean_conv5way_step21000	ara_Arab	fur_Latn	head	tail	Semitic	Romance	Arab	Latn	-0.235635
v52_family_mean_conv5way_step21000	ara_Arab	hau_Latn	head	head	Semitic	Afro-Asiatic	Arab	Latn	0.027170
v52_family_mean_conv5way_step21000	ara_Arab	heb_Hebr	head	head	Semitic	Semitic	Arab	Hebr	0.568030
v52_family_mean_conv5way_step21000	ara_Arab	hrv_Latn	head	head	Semitic	Slavic	Arab	Latn	0.071110
