model_key	language_script_a	language_script_b	status_a	status_b	family_a	family_b	script_a	script_b	cosine
v52_fvt_conv5way_step6000	ara_Arab	ara_Arab	head	head	Semitic	Semitic	Arab	Arab	1.000000
v52_fvt_conv5way_step6000	ara_Arab	bam_Latn	head	tail	Semitic	Mande	Arab	Latn	-0.204818
v52_fvt_conv5way_step6000	ara_Arab	cat_Latn	head	head	Semitic	Romance	Arab	Latn	-0.176957
v52_fvt_conv5way_step6000	ara_Arab	ces_Latn	head	head	Semitic	Slavic	Arab	Latn	-0.073940
v52_fvt_conv5way_step6000	ara_Arab	cmn_Hani	head	head	Semitic	Sinitic	Arab	Hani	0.150704
v52_fvt_conv5way_step6000	ara_Arab	csb_Latn	head	tail	Semitic	Slavic	Arab	Latn	-0.153581
v52_fvt_conv5way_step6000	ara_Arab	deu_Latn	head	head	Semitic	Germanic	Arab	Latn	-0.040822
v52_fvt_conv5way_step6000	ara_Arab	dtp_Latn	head	tail	Semitic	Austronesian	Arab	Latn	-0.034810
v52_fvt_conv5way_step6000	ara_Arab	ell_Grek	head	head	Semitic	Hellenic	Arab	Grek	0.149326
v52_fvt_conv5way_step6000	ara_Arab	eng_Latn	head	head	Semitic	Germanic	Arab	Latn	0.031543
v52_fvt_conv5way_step6000	ara_Arab	epo_Latn	head	head	Semitic	Constructed	Arab	Latn	-0.259176
v52_fvt_conv5way_step6000	ara_Arab	est_Latn	head	head	Semitic	Uralic	Arab	Latn	-0.097097
v52_fvt_conv5way_step6000	ara_Arab	fin_Latn	head	head	Semitic	Uralic	Arab	Latn	0.006366
v52_fvt_conv5way_step6000	ara_Arab	fra_Latn	head	head	Semitic	Romance	Arab	Latn	-0.029872
v52_fvt_conv5way_step6000	ara_Arab	fur_Latn	head	tail	Semitic	Romance	Arab	Latn	-0.188145
v52_fvt_conv5way_step6000	ara_Arab	hau_Latn	head	head	Semitic	Afro-Asiatic	Arab	Latn	0.048601
v52_fvt_conv5way_step6000	ara_Arab	heb_Hebr	head	head	Semitic	Semitic	Arab	Hebr	0.554986
v52_fvt_conv5way_step6000	ara_Arab	hrv_Latn	head	head	Semitic	Slavic	Arab	Latn	0.082140
v52_fvt_conv5way_step6000	ara_Arab	hun_Latn	head	head	Semitic	Uralic	Arab	Latn	-0.002291
v52_fvt_conv5way_step6000	ara_Arab	ile_Latn	head	tail	Semitic	Constructed	Arab	Latn	-0.253332
v52_fvt_conv5way_step6000	ara_Arab	ind_Latn	head	head	Semitic	Austronesian	Arab	Latn	0.167712
v52_fvt_conv5way_step6000	ara_Arab	ita_Latn	head	head	Semitic	Romance	Arab	Latn	-0.048304
v52_fvt_conv5way_step6000	ara_Arab	jav_Latn	head	head	Semitic	Austronesian	Arab	Latn	-0.107274
v52_fvt_conv5way_step6000	ara_Arab	kor_Hang	head	head	Semitic	Koreanic	Arab	Hang	0.054997
v52_fvt_conv5way_step6000	ara_Arab	lao_Laoo	head	head	Semitic	Kra-Dai	Arab	Laoo	0.099033
v52_fvt_conv5way_step6000	ara_Arab	lij_Latn	head	tail	Semitic	Romance	Arab	Latn	-0.265526
v52_fvt_conv5way_step6000	ara_Arab	mar_Deva	head	head	Semitic	Indo-Aryan	Arab	Deva	0.136903
v52_fvt_conv5way_step6000	ara_Arab	mlg_Latn	head	head	Semitic	Austronesian	Arab	Latn	-0.022049
v52_fvt_conv5way_step6000	ara_Arab	msa_Latn	head	head	Semitic	Austronesian	Arab	Latn	0.150408
v52_fvt_conv5way_step6000	ara_Arab	nld_Latn	head	head	Semitic	Germanic	Arab	Latn	-0.069900
v52_fvt_conv5way_step6000	ara_Arab	pol_Latn	head	head	Semitic	Slavic	Arab	Latn	0.022839
v52_fvt_conv5way_step6000	ara_Arab	por_Latn	head	head	Semitic	Romance	Arab	Latn	0.025362
v52_fvt_conv5way_step6000	ara_Arab	ron_Latn	head	head	Semitic	Romance	Arab	Latn	0.017919
v52_fvt_conv5way_step6000	ara_Arab	slk_Latn	head	head	Semitic	Slavic	Arab	Latn	-0.096029
v52_fvt_conv5way_step6000	ara_Arab	slv_Latn	head	head	Semitic	Slavic	Arab	Latn	-0.011076
v52_fvt_conv5way_step6000	ara_Arab	tgl_Latn	head	head	Semitic	Austronesian	Arab	Latn	-0.043264
v52_fvt_conv5way_step6000	ara_Arab	xav_Latn	head	tail	Semitic	Macro-Je	Arab	Latn	-0.172862
v52_fvt_conv5way_step6000	ara_Arab	xho_Latn	head	head	Semitic	Bantu	Arab	Latn	0.004111
v52_fvt_conv5way_step6000	bam_Latn	ara_Arab	tail	head	Mande	Semitic	Latn	Arab	-0.204818
v52_fvt_conv5way_step6000	bam_Latn	bam_Latn	tail	tail	Mande	Mande	Latn	Latn	1.000000
v52_fvt_conv5way_step6000	bam_Latn	cat_Latn	tail	head	Mande	Romance	Latn	Latn	-0.351024
v52_fvt_conv5way_step6000	bam_Latn	ces_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.438853
v52_fvt_conv5way_step6000	bam_Latn	cmn_Hani	tail	head	Mande	Sinitic	Latn	Hani	-0.051319
v52_fvt_conv5way_step6000	bam_Latn	csb_Latn	tail	tail	Mande	Slavic	Latn	Latn	0.223702
v52_fvt_conv5way_step6000	bam_Latn	deu_Latn	tail	head	Mande	Germanic	Latn	Latn	-0.436838
v52_fvt_conv5way_step6000	bam_Latn	dtp_Latn	tail	tail	Mande	Austronesian	Latn	Latn	0.574926
v52_fvt_conv5way_step6000	bam_Latn	ell_Grek	tail	head	Mande	Hellenic	Latn	Grek	-0.403841
v52_fvt_conv5way_step6000	bam_Latn	eng_Latn	tail	head	Mande	Germanic	Latn	Latn	-0.397892
v52_fvt_conv5way_step6000	bam_Latn	epo_Latn	tail	head	Mande	Constructed	Latn	Latn	-0.039902
v52_fvt_conv5way_step6000	bam_Latn	est_Latn	tail	head	Mande	Uralic	Latn	Latn	-0.127483
v52_fvt_conv5way_step6000	bam_Latn	fin_Latn	tail	head	Mande	Uralic	Latn	Latn	-0.273225
v52_fvt_conv5way_step6000	bam_Latn	fra_Latn	tail	head	Mande	Romance	Latn	Latn	-0.476483
v52_fvt_conv5way_step6000	bam_Latn	fur_Latn	tail	tail	Mande	Romance	Latn	Latn	0.235448
v52_fvt_conv5way_step6000	bam_Latn	hau_Latn	tail	head	Mande	Afro-Asiatic	Latn	Latn	0.480338
v52_fvt_conv5way_step6000	bam_Latn	heb_Hebr	tail	head	Mande	Semitic	Latn	Hebr	-0.314897
v52_fvt_conv5way_step6000	bam_Latn	hrv_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.359435
v52_fvt_conv5way_step6000	bam_Latn	hun_Latn	tail	head	Mande	Uralic	Latn	Latn	-0.395566
v52_fvt_conv5way_step6000	bam_Latn	ile_Latn	tail	tail	Mande	Constructed	Latn	Latn	0.067789
v52_fvt_conv5way_step6000	bam_Latn	ind_Latn	tail	head	Mande	Austronesian	Latn	Latn	-0.247957
v52_fvt_conv5way_step6000	bam_Latn	ita_Latn	tail	head	Mande	Romance	Latn	Latn	-0.424808
v52_fvt_conv5way_step6000	bam_Latn	jav_Latn	tail	head	Mande	Austronesian	Latn	Latn	0.371280
v52_fvt_conv5way_step6000	bam_Latn	kor_Hang	tail	head	Mande	Koreanic	Latn	Hang	-0.118085
v52_fvt_conv5way_step6000	bam_Latn	lao_Laoo	tail	head	Mande	Kra-Dai	Latn	Laoo	0.047299
v52_fvt_conv5way_step6000	bam_Latn	lij_Latn	tail	tail	Mande	Romance	Latn	Latn	0.273197
v52_fvt_conv5way_step6000	bam_Latn	mar_Deva	tail	head	Mande	Indo-Aryan	Latn	Deva	-0.010171
v52_fvt_conv5way_step6000	bam_Latn	mlg_Latn	tail	head	Mande	Austronesian	Latn	Latn	0.356028
v52_fvt_conv5way_step6000	bam_Latn	msa_Latn	tail	head	Mande	Austronesian	Latn	Latn	-0.185572
