model_key	pair_type	group	pairs	mean_cosine	mean_centered_cosine	min_cosine	max_cosine
v52_mean_conv5way_step32000	aligned_bible_src_eng	all	300	0.922597	0.056776	0.880396	0.960981
v52_mean_conv5way_step32000	aligned_bible_src_eng	v5_target	300	0.922597	0.056776	0.880396	0.960981
v52_mean_conv5way_step32000	aligned_tatoeba_src_eng	all	300	0.925247	0.195477	0.857640	0.983511
v52_mean_conv5way_step32000	aligned_tatoeba_src_eng	v5_target	300	0.925247	0.195477	0.857640	0.983511
v52_mean_conv5way_step32000	roundtrip_eng_pivot	all	300	0.919594	0.030484	0.880396	0.951068
v52_mean_conv5way_step32000	roundtrip_eng_pivot	v5_target	300	0.919594	0.030484	0.880396	0.951068
v52_mean_conv5way_step32000	roundtrip_src_eng	all	300	0.920207	0.036530	0.880396	0.951068
v52_mean_conv5way_step32000	roundtrip_src_eng	v5_target	300	0.920207	0.036530	0.880396	0.951068
v52_mean_conv5way_step32000	roundtrip_src_pivot	all	300	0.937926	0.315773	0.891423	0.979841
v52_mean_conv5way_step32000	roundtrip_src_pivot	v5_target	300	0.937926	0.315773	0.891423	0.979841
v52_mean_conv5way_step32000	same_language_bible_adjacent	all	300	0.978966	0.747353	0.922690	0.997638
v52_mean_conv5way_step32000	same_language_bible_adjacent	v5_target	300	0.978966	0.747353	0.922690	0.997638
v52_mean_conv5way_step32000	same_language_tatoeba_adjacent	all	300	0.945599	0.379807	0.877902	0.998618
v52_mean_conv5way_step32000	same_language_tatoeba_adjacent	v5_target	300	0.945599	0.379807	0.877902	0.998618
