model_key	language_script_a	language_script_b	status_a	status_b	family_a	family_b	script_a	script_b	cosine
v52_mean_conv5way_step5000	ara_Arab	ara_Arab	head	head	Semitic	Semitic	Arab	Arab	1.000000
v52_mean_conv5way_step5000	ara_Arab	bam_Latn	head	tail	Semitic	Mande	Arab	Latn	-0.253497
v52_mean_conv5way_step5000	ara_Arab	cat_Latn	head	head	Semitic	Romance	Arab	Latn	-0.138538
v52_mean_conv5way_step5000	ara_Arab	ces_Latn	head	head	Semitic	Slavic	Arab	Latn	-0.038689
v52_mean_conv5way_step5000	ara_Arab	cmn_Hani	head	head	Semitic	Sinitic	Arab	Hani	0.135006
v52_mean_conv5way_step5000	ara_Arab	csb_Latn	head	tail	Semitic	Slavic	Arab	Latn	-0.157905
v52_mean_conv5way_step5000	ara_Arab	deu_Latn	head	head	Semitic	Germanic	Arab	Latn	-0.046183
v52_mean_conv5way_step5000	ara_Arab	dtp_Latn	head	tail	Semitic	Austronesian	Arab	Latn	-0.064504
v52_mean_conv5way_step5000	ara_Arab	ell_Grek	head	head	Semitic	Hellenic	Arab	Grek	0.145969
v52_mean_conv5way_step5000	ara_Arab	eng_Latn	head	head	Semitic	Germanic	Arab	Latn	0.026769
v52_mean_conv5way_step5000	ara_Arab	epo_Latn	head	head	Semitic	Constructed	Arab	Latn	-0.196003
v52_mean_conv5way_step5000	ara_Arab	est_Latn	head	head	Semitic	Uralic	Arab	Latn	-0.048765
v52_mean_conv5way_step5000	ara_Arab	fin_Latn	head	head	Semitic	Uralic	Arab	Latn	0.035679
v52_mean_conv5way_step5000	ara_Arab	fra_Latn	head	head	Semitic	Romance	Arab	Latn	-0.037401
v52_mean_conv5way_step5000	ara_Arab	fur_Latn	head	tail	Semitic	Romance	Arab	Latn	-0.210657
v52_mean_conv5way_step5000	ara_Arab	hau_Latn	head	head	Semitic	Afro-Asiatic	Arab	Latn	0.007330
v52_mean_conv5way_step5000	ara_Arab	heb_Hebr	head	head	Semitic	Semitic	Arab	Hebr	0.544404
v52_mean_conv5way_step5000	ara_Arab	hrv_Latn	head	head	Semitic	Slavic	Arab	Latn	0.087808
v52_mean_conv5way_step5000	ara_Arab	hun_Latn	head	head	Semitic	Uralic	Arab	Latn	0.024955
v52_mean_conv5way_step5000	ara_Arab	ile_Latn	head	tail	Semitic	Constructed	Arab	Latn	-0.284119
v52_mean_conv5way_step5000	ara_Arab	ind_Latn	head	head	Semitic	Austronesian	Arab	Latn	0.160270
v52_mean_conv5way_step5000	ara_Arab	ita_Latn	head	head	Semitic	Romance	Arab	Latn	-0.029009
v52_mean_conv5way_step5000	ara_Arab	jav_Latn	head	head	Semitic	Austronesian	Arab	Latn	-0.147782
v52_mean_conv5way_step5000	ara_Arab	kor_Hang	head	head	Semitic	Koreanic	Arab	Hang	0.067776
v52_mean_conv5way_step5000	ara_Arab	lao_Laoo	head	head	Semitic	Kra-Dai	Arab	Laoo	0.124155
v52_mean_conv5way_step5000	ara_Arab	lij_Latn	head	tail	Semitic	Romance	Arab	Latn	-0.269174
v52_mean_conv5way_step5000	ara_Arab	mar_Deva	head	head	Semitic	Indo-Aryan	Arab	Deva	0.182441
v52_mean_conv5way_step5000	ara_Arab	mlg_Latn	head	head	Semitic	Austronesian	Arab	Latn	-0.010930
v52_mean_conv5way_step5000	ara_Arab	msa_Latn	head	head	Semitic	Austronesian	Arab	Latn	0.141039
v52_mean_conv5way_step5000	ara_Arab	nld_Latn	head	head	Semitic	Germanic	Arab	Latn	-0.059793
v52_mean_conv5way_step5000	ara_Arab	pol_Latn	head	head	Semitic	Slavic	Arab	Latn	0.072203
v52_mean_conv5way_step5000	ara_Arab	por_Latn	head	head	Semitic	Romance	Arab	Latn	0.018962
v52_mean_conv5way_step5000	ara_Arab	ron_Latn	head	head	Semitic	Romance	Arab	Latn	0.028001
v52_mean_conv5way_step5000	ara_Arab	slk_Latn	head	head	Semitic	Slavic	Arab	Latn	-0.043609
v52_mean_conv5way_step5000	ara_Arab	slv_Latn	head	head	Semitic	Slavic	Arab	Latn	0.004166
v52_mean_conv5way_step5000	ara_Arab	tgl_Latn	head	head	Semitic	Austronesian	Arab	Latn	-0.021618
v52_mean_conv5way_step5000	ara_Arab	xav_Latn	head	tail	Semitic	Macro-Je	Arab	Latn	-0.250964
v52_mean_conv5way_step5000	ara_Arab	xho_Latn	head	head	Semitic	Bantu	Arab	Latn	-0.038677
v52_mean_conv5way_step5000	bam_Latn	ara_Arab	tail	head	Mande	Semitic	Latn	Arab	-0.253497
v52_mean_conv5way_step5000	bam_Latn	bam_Latn	tail	tail	Mande	Mande	Latn	Latn	1.000000
v52_mean_conv5way_step5000	bam_Latn	cat_Latn	tail	head	Mande	Romance	Latn	Latn	-0.364560
v52_mean_conv5way_step5000	bam_Latn	ces_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.453213
v52_mean_conv5way_step5000	bam_Latn	cmn_Hani	tail	head	Mande	Sinitic	Latn	Hani	-0.157417
v52_mean_conv5way_step5000	bam_Latn	csb_Latn	tail	tail	Mande	Slavic	Latn	Latn	0.298013
v52_mean_conv5way_step5000	bam_Latn	deu_Latn	tail	head	Mande	Germanic	Latn	Latn	-0.462076
v52_mean_conv5way_step5000	bam_Latn	dtp_Latn	tail	tail	Mande	Austronesian	Latn	Latn	0.670370
v52_mean_conv5way_step5000	bam_Latn	ell_Grek	tail	head	Mande	Hellenic	Latn	Grek	-0.456657
v52_mean_conv5way_step5000	bam_Latn	eng_Latn	tail	head	Mande	Germanic	Latn	Latn	-0.397262
v52_mean_conv5way_step5000	bam_Latn	epo_Latn	tail	head	Mande	Constructed	Latn	Latn	-0.033492
v52_mean_conv5way_step5000	bam_Latn	est_Latn	tail	head	Mande	Uralic	Latn	Latn	-0.181587
v52_mean_conv5way_step5000	bam_Latn	fin_Latn	tail	head	Mande	Uralic	Latn	Latn	-0.329154
v52_mean_conv5way_step5000	bam_Latn	fra_Latn	tail	head	Mande	Romance	Latn	Latn	-0.467514
v52_mean_conv5way_step5000	bam_Latn	fur_Latn	tail	tail	Mande	Romance	Latn	Latn	0.336908
v52_mean_conv5way_step5000	bam_Latn	hau_Latn	tail	head	Mande	Afro-Asiatic	Latn	Latn	0.521142
v52_mean_conv5way_step5000	bam_Latn	heb_Hebr	tail	head	Mande	Semitic	Latn	Hebr	-0.370928
v52_mean_conv5way_step5000	bam_Latn	hrv_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.373555
v52_mean_conv5way_step5000	bam_Latn	hun_Latn	tail	head	Mande	Uralic	Latn	Latn	-0.402368
v52_mean_conv5way_step5000	bam_Latn	ile_Latn	tail	tail	Mande	Constructed	Latn	Latn	0.148535
v52_mean_conv5way_step5000	bam_Latn	ind_Latn	tail	head	Mande	Austronesian	Latn	Latn	-0.271459
v52_mean_conv5way_step5000	bam_Latn	ita_Latn	tail	head	Mande	Romance	Latn	Latn	-0.415092
v52_mean_conv5way_step5000	bam_Latn	jav_Latn	tail	head	Mande	Austronesian	Latn	Latn	0.410036
v52_mean_conv5way_step5000	bam_Latn	kor_Hang	tail	head	Mande	Koreanic	Latn	Hang	-0.208326
v52_mean_conv5way_step5000	bam_Latn	lao_Laoo	tail	head	Mande	Kra-Dai	Latn	Laoo	0.106618
v52_mean_conv5way_step5000	bam_Latn	lij_Latn	tail	tail	Mande	Romance	Latn	Latn	0.324858
v52_mean_conv5way_step5000	bam_Latn	mar_Deva	tail	head	Mande	Indo-Aryan	Latn	Deva	-0.094625
v52_mean_conv5way_step5000	bam_Latn	mlg_Latn	tail	head	Mande	Austronesian	Latn	Latn	0.431555
v52_mean_conv5way_step5000	bam_Latn	msa_Latn	tail	head	Mande	Austronesian	Latn	Latn	-0.209553
v52_mean_conv5way_step5000	bam_Latn	nld_Latn	tail	head	Mande	Germanic	Latn	Latn	-0.372181
v52_mean_conv5way_step5000	bam_Latn	pol_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.494724
v52_mean_conv5way_step5000	bam_Latn	por_Latn	tail	head	Mande	Romance	Latn	Latn	-0.512020
v52_mean_conv5way_step5000	bam_Latn	ron_Latn	tail	head	Mande	Romance	Latn	Latn	-0.467039
v52_mean_conv5way_step5000	bam_Latn	slk_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.487119
v52_mean_conv5way_step5000	bam_Latn	slv_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.422640
v52_mean_conv5way_step5000	bam_Latn	tgl_Latn	tail	head	Mande	Austronesian	Latn	Latn	0.059904
v52_mean_conv5way_step5000	bam_Latn	xav_Latn	tail	tail	Mande	Macro-Je	Latn	Latn	0.311520
v52_mean_conv5way_step5000	bam_Latn	xho_Latn	tail	head	Mande	Bantu	Latn	Latn	0.680555
v52_mean_conv5way_step5000	cat_Latn	ara_Arab	head	head	Romance	Semitic	Latn	Arab	-0.138538
v52_mean_conv5way_step5000	cat_Latn	bam_Latn	head	tail	Romance	Mande	Latn	Latn	-0.364560
v52_mean_conv5way_step5000	cat_Latn	cat_Latn	head	head	Romance	Romance	Latn	Latn	1.000000
v52_mean_conv5way_step5000	cat_Latn	ces_Latn	head	head	Romance	Slavic	Latn	Latn	0.164915
v52_mean_conv5way_step5000	cat_Latn	cmn_Hani	head	head	Romance	Sinitic	Latn	Hani	-0.161452
v52_mean_conv5way_step5000	cat_Latn	csb_Latn	head	tail	Romance	Slavic	Latn	Latn	-0.141461
v52_mean_conv5way_step5000	cat_Latn	deu_Latn	head	head	Romance	Germanic	Latn	Latn	0.130907
v52_mean_conv5way_step5000	cat_Latn	dtp_Latn	head	tail	Romance	Austronesian	Latn	Latn	-0.404113
v52_mean_conv5way_step5000	cat_Latn	ell_Grek	head	head	Romance	Hellenic	Latn	Grek	0.227885
v52_mean_conv5way_step5000	cat_Latn	eng_Latn	head	head	Romance	Germanic	Latn	Latn	0.153130
v52_mean_conv5way_step5000	cat_Latn	epo_Latn	head	head	Romance	Constructed	Latn	Latn	0.265190
v52_mean_conv5way_step5000	cat_Latn	est_Latn	head	head	Romance	Uralic	Latn	Latn	-0.027499
v52_mean_conv5way_step5000	cat_Latn	fin_Latn	head	head	Romance	Uralic	Latn	Latn	-0.066828
v52_mean_conv5way_step5000	cat_Latn	fra_Latn	head	head	Romance	Romance	Latn	Latn	0.617312
v52_mean_conv5way_step5000	cat_Latn	fur_Latn	head	tail	Romance	Romance	Latn	Latn	0.288689
v52_mean_conv5way_step5000	cat_Latn	hau_Latn	head	head	Romance	Afro-Asiatic	Latn	Latn	-0.383749
v52_mean_conv5way_step5000	cat_Latn	heb_Hebr	head	head	Romance	Semitic	Latn	Hebr	-0.030545
v52_mean_conv5way_step5000	cat_Latn	hrv_Latn	head	head	Romance	Slavic	Latn	Latn	0.058660
v52_mean_conv5way_step5000	cat_Latn	hun_Latn	head	head	Romance	Uralic	Latn	Latn	0.144965
