model_key	language_script_a	language_script_b	status_a	status_b	family_a	family_b	script_a	script_b	cosine
v52_random_conv5way_step3000	ara_Arab	ara_Arab	head	head	Semitic	Semitic	Arab	Arab	1.000000
v52_random_conv5way_step3000	ara_Arab	bam_Latn	head	tail	Semitic	Mande	Arab	Latn	-0.244246
v52_random_conv5way_step3000	ara_Arab	cat_Latn	head	head	Semitic	Romance	Arab	Latn	-0.144638
v52_random_conv5way_step3000	ara_Arab	ces_Latn	head	head	Semitic	Slavic	Arab	Latn	-0.058350
v52_random_conv5way_step3000	ara_Arab	cmn_Hani	head	head	Semitic	Sinitic	Arab	Hani	0.139565
v52_random_conv5way_step3000	ara_Arab	csb_Latn	head	tail	Semitic	Slavic	Arab	Latn	-0.172146
v52_random_conv5way_step3000	ara_Arab	deu_Latn	head	head	Semitic	Germanic	Arab	Latn	-0.031536
v52_random_conv5way_step3000	ara_Arab	dtp_Latn	head	tail	Semitic	Austronesian	Arab	Latn	-0.044428
v52_random_conv5way_step3000	ara_Arab	ell_Grek	head	head	Semitic	Hellenic	Arab	Grek	0.166695
v52_random_conv5way_step3000	ara_Arab	eng_Latn	head	head	Semitic	Germanic	Arab	Latn	0.019856
v52_random_conv5way_step3000	ara_Arab	epo_Latn	head	head	Semitic	Constructed	Arab	Latn	-0.205325
v52_random_conv5way_step3000	ara_Arab	est_Latn	head	head	Semitic	Uralic	Arab	Latn	-0.052943
v52_random_conv5way_step3000	ara_Arab	fin_Latn	head	head	Semitic	Uralic	Arab	Latn	0.020591
v52_random_conv5way_step3000	ara_Arab	fra_Latn	head	head	Semitic	Romance	Arab	Latn	-0.035875
v52_random_conv5way_step3000	ara_Arab	fur_Latn	head	tail	Semitic	Romance	Arab	Latn	-0.162658
v52_random_conv5way_step3000	ara_Arab	hau_Latn	head	head	Semitic	Afro-Asiatic	Arab	Latn	0.013117
v52_random_conv5way_step3000	ara_Arab	heb_Hebr	head	head	Semitic	Semitic	Arab	Hebr	0.561361
v52_random_conv5way_step3000	ara_Arab	hrv_Latn	head	head	Semitic	Slavic	Arab	Latn	0.073942
v52_random_conv5way_step3000	ara_Arab	hun_Latn	head	head	Semitic	Uralic	Arab	Latn	0.017453
v52_random_conv5way_step3000	ara_Arab	ile_Latn	head	tail	Semitic	Constructed	Arab	Latn	-0.254643
v52_random_conv5way_step3000	ara_Arab	ind_Latn	head	head	Semitic	Austronesian	Arab	Latn	0.187888
v52_random_conv5way_step3000	ara_Arab	ita_Latn	head	head	Semitic	Romance	Arab	Latn	-0.015790
v52_random_conv5way_step3000	ara_Arab	jav_Latn	head	head	Semitic	Austronesian	Arab	Latn	-0.079941
v52_random_conv5way_step3000	ara_Arab	kor_Hang	head	head	Semitic	Koreanic	Arab	Hang	0.087980
v52_random_conv5way_step3000	ara_Arab	lao_Laoo	head	head	Semitic	Kra-Dai	Arab	Laoo	0.064616
