metric	method	local_step	model_key	summary_type	group	pairs	mean_cosine	mean_centered_cosine	source_file
embedding_similarity	family_mean	1000	v52_family_mean_conv5way_step1000	aligned_bible_src_eng	all	300	0.895922	-0.087897	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-1000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	1000	v52_family_mean_conv5way_step1000	aligned_bible_src_eng	v5_target	300	0.895922	-0.087897	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-1000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	1000	v52_family_mean_conv5way_step1000	aligned_tatoeba_src_eng	all	300	0.905907	0.128820	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-1000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	1000	v52_family_mean_conv5way_step1000	aligned_tatoeba_src_eng	v5_target	300	0.905907	0.128820	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-1000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	1000	v52_family_mean_conv5way_step1000	roundtrip_eng_pivot	all	300	0.904949	-0.080989	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-1000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	1000	v52_family_mean_conv5way_step1000	roundtrip_eng_pivot	v5_target	300	0.904949	-0.080989	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-1000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	1000	v52_family_mean_conv5way_step1000	roundtrip_src_eng	all	300	0.890867	-0.112535	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-1000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	1000	v52_family_mean_conv5way_step1000	roundtrip_src_eng	v5_target	300	0.890867	-0.112535	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-1000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	1000	v52_family_mean_conv5way_step1000	roundtrip_src_pivot	all	300	0.938855	0.420351	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-1000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	1000	v52_family_mean_conv5way_step1000	roundtrip_src_pivot	v5_target	300	0.938855	0.420351	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-1000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	1000	v52_family_mean_conv5way_step1000	same_language_bible_adjacent	all	300	0.975502	0.768885	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-1000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	1000	v52_family_mean_conv5way_step1000	same_language_bible_adjacent	v5_target	300	0.975502	0.768885	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-1000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	1000	v52_family_mean_conv5way_step1000	same_language_tatoeba_adjacent	all	300	0.939710	0.386158	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-1000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	1000	v52_family_mean_conv5way_step1000	same_language_tatoeba_adjacent	v5_target	300	0.939710	0.386158	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-1000/embedding_similarity/similarity_summary.tsv
family_similarity	family_mean	1000	v52_family_mean_conv5way_step1000	tail_head_different_family_different_script	tail_anchored	1856	0.891012	-0.085380	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-1000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	1000	v52_family_mean_conv5way_step1000	tail_head_different_family_same_script	tail_anchored	6100	0.895439	-0.061267	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-1000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	1000	v52_family_mean_conv5way_step1000	tail_head_same_family	tail_anchored	1050	0.922047	0.037134	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-1000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	1000	v52_family_mean_conv5way_step1000	tail_head_same_macro_family	tail_anchored	1550	0.911891	-0.085806	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-1000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	1000	v52_family_mean_conv5way_step1000	tail_tail_different_family	tail_anchored	900	0.902847	0.150958	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-1000/family_similarity/family_pair_summary.tsv
