model_key	language_script_a	language_script_b	status_a	status_b	family_a	family_b	script_a	script_b	cosine
v52_weighted_fvt_conv5way_step26000	ara_Arab	ara_Arab	head	head	Semitic	Semitic	Arab	Arab	1.000000
v52_weighted_fvt_conv5way_step26000	ara_Arab	bam_Latn	head	tail	Semitic	Mande	Arab	Latn	-0.196183
v52_weighted_fvt_conv5way_step26000	ara_Arab	cat_Latn	head	head	Semitic	Romance	Arab	Latn	-0.171916
v52_weighted_fvt_conv5way_step26000	ara_Arab	ces_Latn	head	head	Semitic	Slavic	Arab	Latn	-0.097319
v52_weighted_fvt_conv5way_step26000	ara_Arab	cmn_Hani	head	head	Semitic	Sinitic	Arab	Hani	0.194033
v52_weighted_fvt_conv5way_step26000	ara_Arab	csb_Latn	head	tail	Semitic	Slavic	Arab	Latn	-0.220328
v52_weighted_fvt_conv5way_step26000	ara_Arab	deu_Latn	head	head	Semitic	Germanic	Arab	Latn	-0.048589
v52_weighted_fvt_conv5way_step26000	ara_Arab	dtp_Latn	head	tail	Semitic	Austronesian	Arab	Latn	-0.052849
v52_weighted_fvt_conv5way_step26000	ara_Arab	ell_Grek	head	head	Semitic	Hellenic	Arab	Grek	0.180217
v52_weighted_fvt_conv5way_step26000	ara_Arab	eng_Latn	head	head	Semitic	Germanic	Arab	Latn	0.030641
v52_weighted_fvt_conv5way_step26000	ara_Arab	epo_Latn	head	head	Semitic	Constructed	Arab	Latn	-0.287077
v52_weighted_fvt_conv5way_step26000	ara_Arab	est_Latn	head	head	Semitic	Uralic	Arab	Latn	-0.129928
v52_weighted_fvt_conv5way_step26000	ara_Arab	fin_Latn	head	head	Semitic	Uralic	Arab	Latn	-0.034373
v52_weighted_fvt_conv5way_step26000	ara_Arab	fra_Latn	head	head	Semitic	Romance	Arab	Latn	-0.012913
v52_weighted_fvt_conv5way_step26000	ara_Arab	fur_Latn	head	tail	Semitic	Romance	Arab	Latn	-0.231736
v52_weighted_fvt_conv5way_step26000	ara_Arab	hau_Latn	head	head	Semitic	Afro-Asiatic	Arab	Latn	0.051134
v52_weighted_fvt_conv5way_step26000	ara_Arab	heb_Hebr	head	head	Semitic	Semitic	Arab	Hebr	0.570590
v52_weighted_fvt_conv5way_step26000	ara_Arab	hrv_Latn	head	head	Semitic	Slavic	Arab	Latn	0.074942
v52_weighted_fvt_conv5way_step26000	ara_Arab	hun_Latn	head	head	Semitic	Uralic	Arab	Latn	-0.013560
v52_weighted_fvt_conv5way_step26000	ara_Arab	ile_Latn	head	tail	Semitic	Constructed	Arab	Latn	-0.281815
v52_weighted_fvt_conv5way_step26000	ara_Arab	ind_Latn	head	head	Semitic	Austronesian	Arab	Latn	0.213208
v52_weighted_fvt_conv5way_step26000	ara_Arab	ita_Latn	head	head	Semitic	Romance	Arab	Latn	-0.043102
v52_weighted_fvt_conv5way_step26000	ara_Arab	jav_Latn	head	head	Semitic	Austronesian	Arab	Latn	-0.109885
v52_weighted_fvt_conv5way_step26000	ara_Arab	kor_Hang	head	head	Semitic	Koreanic	Arab	Hang	0.091708
v52_weighted_fvt_conv5way_step26000	ara_Arab	lao_Laoo	head	head	Semitic	Kra-Dai	Arab	Laoo	0.073482
v52_weighted_fvt_conv5way_step26000	ara_Arab	lij_Latn	head	tail	Semitic	Romance	Arab	Latn	-0.291706
v52_weighted_fvt_conv5way_step26000	ara_Arab	mar_Deva	head	head	Semitic	Indo-Aryan	Arab	Deva	0.126198
v52_weighted_fvt_conv5way_step26000	ara_Arab	mlg_Latn	head	head	Semitic	Austronesian	Arab	Latn	-0.014961
v52_weighted_fvt_conv5way_step26000	ara_Arab	msa_Latn	head	head	Semitic	Austronesian	Arab	Latn	0.191071
v52_weighted_fvt_conv5way_step26000	ara_Arab	nld_Latn	head	head	Semitic	Germanic	Arab	Latn	-0.067883
v52_weighted_fvt_conv5way_step26000	ara_Arab	pol_Latn	head	head	Semitic	Slavic	Arab	Latn	0.015095
v52_weighted_fvt_conv5way_step26000	ara_Arab	por_Latn	head	head	Semitic	Romance	Arab	Latn	0.043577
v52_weighted_fvt_conv5way_step26000	ara_Arab	ron_Latn	head	head	Semitic	Romance	Arab	Latn	0.040479
v52_weighted_fvt_conv5way_step26000	ara_Arab	slk_Latn	head	head	Semitic	Slavic	Arab	Latn	-0.100438
v52_weighted_fvt_conv5way_step26000	ara_Arab	slv_Latn	head	head	Semitic	Slavic	Arab	Latn	-0.027812
v52_weighted_fvt_conv5way_step26000	ara_Arab	tgl_Latn	head	head	Semitic	Austronesian	Arab	Latn	-0.007600
v52_weighted_fvt_conv5way_step26000	ara_Arab	xav_Latn	head	tail	Semitic	Macro-Je	Arab	Latn	-0.146867
v52_weighted_fvt_conv5way_step26000	ara_Arab	xho_Latn	head	head	Semitic	Bantu	Arab	Latn	-0.016394
v52_weighted_fvt_conv5way_step26000	bam_Latn	ara_Arab	tail	head	Mande	Semitic	Latn	Arab	-0.196183
v52_weighted_fvt_conv5way_step26000	bam_Latn	bam_Latn	tail	tail	Mande	Mande	Latn	Latn	1.000000
v52_weighted_fvt_conv5way_step26000	bam_Latn	cat_Latn	tail	head	Mande	Romance	Latn	Latn	-0.341513
v52_weighted_fvt_conv5way_step26000	bam_Latn	ces_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.422926
v52_weighted_fvt_conv5way_step26000	bam_Latn	cmn_Hani	tail	head	Mande	Sinitic	Latn	Hani	-0.021010
v52_weighted_fvt_conv5way_step26000	bam_Latn	csb_Latn	tail	tail	Mande	Slavic	Latn	Latn	0.210957
v52_weighted_fvt_conv5way_step26000	bam_Latn	deu_Latn	tail	head	Mande	Germanic	Latn	Latn	-0.400316
v52_weighted_fvt_conv5way_step26000	bam_Latn	dtp_Latn	tail	tail	Mande	Austronesian	Latn	Latn	0.511395
v52_weighted_fvt_conv5way_step26000	bam_Latn	ell_Grek	tail	head	Mande	Hellenic	Latn	Grek	-0.395918
v52_weighted_fvt_conv5way_step26000	bam_Latn	eng_Latn	tail	head	Mande	Germanic	Latn	Latn	-0.322390
v52_weighted_fvt_conv5way_step26000	bam_Latn	epo_Latn	tail	head	Mande	Constructed	Latn	Latn	-0.027210
v52_weighted_fvt_conv5way_step26000	bam_Latn	est_Latn	tail	head	Mande	Uralic	Latn	Latn	-0.136315
v52_weighted_fvt_conv5way_step26000	bam_Latn	fin_Latn	tail	head	Mande	Uralic	Latn	Latn	-0.255849
v52_weighted_fvt_conv5way_step26000	bam_Latn	fra_Latn	tail	head	Mande	Romance	Latn	Latn	-0.437436
v52_weighted_fvt_conv5way_step26000	bam_Latn	fur_Latn	tail	tail	Mande	Romance	Latn	Latn	0.212946
v52_weighted_fvt_conv5way_step26000	bam_Latn	hau_Latn	tail	head	Mande	Afro-Asiatic	Latn	Latn	0.449551
v52_weighted_fvt_conv5way_step26000	bam_Latn	heb_Hebr	tail	head	Mande	Semitic	Latn	Hebr	-0.308025
v52_weighted_fvt_conv5way_step26000	bam_Latn	hrv_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.327724
v52_weighted_fvt_conv5way_step26000	bam_Latn	hun_Latn	tail	head	Mande	Uralic	Latn	Latn	-0.368213
v52_weighted_fvt_conv5way_step26000	bam_Latn	ile_Latn	tail	tail	Mande	Constructed	Latn	Latn	0.065384
v52_weighted_fvt_conv5way_step26000	bam_Latn	ind_Latn	tail	head	Mande	Austronesian	Latn	Latn	-0.187803
v52_weighted_fvt_conv5way_step26000	bam_Latn	ita_Latn	tail	head	Mande	Romance	Latn	Latn	-0.376593
v52_weighted_fvt_conv5way_step26000	bam_Latn	jav_Latn	tail	head	Mande	Austronesian	Latn	Latn	0.356463
v52_weighted_fvt_conv5way_step26000	bam_Latn	kor_Hang	tail	head	Mande	Koreanic	Latn	Hang	-0.084849
v52_weighted_fvt_conv5way_step26000	bam_Latn	lao_Laoo	tail	head	Mande	Kra-Dai	Latn	Laoo	0.031532
v52_weighted_fvt_conv5way_step26000	bam_Latn	lij_Latn	tail	tail	Mande	Romance	Latn	Latn	0.237882
v52_weighted_fvt_conv5way_step26000	bam_Latn	mar_Deva	tail	head	Mande	Indo-Aryan	Latn	Deva	-0.019112
v52_weighted_fvt_conv5way_step26000	bam_Latn	mlg_Latn	tail	head	Mande	Austronesian	Latn	Latn	0.323511
v52_weighted_fvt_conv5way_step26000	bam_Latn	msa_Latn	tail	head	Mande	Austronesian	Latn	Latn	-0.139136
v52_weighted_fvt_conv5way_step26000	bam_Latn	nld_Latn	tail	head	Mande	Germanic	Latn	Latn	-0.306537
v52_weighted_fvt_conv5way_step26000	bam_Latn	pol_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.425305
v52_weighted_fvt_conv5way_step26000	bam_Latn	por_Latn	tail	head	Mande	Romance	Latn	Latn	-0.480074
v52_weighted_fvt_conv5way_step26000	bam_Latn	ron_Latn	tail	head	Mande	Romance	Latn	Latn	-0.404692
v52_weighted_fvt_conv5way_step26000	bam_Latn	slk_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.435239
v52_weighted_fvt_conv5way_step26000	bam_Latn	slv_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.363536
v52_weighted_fvt_conv5way_step26000	bam_Latn	tgl_Latn	tail	head	Mande	Austronesian	Latn	Latn	0.074848
v52_weighted_fvt_conv5way_step26000	bam_Latn	xav_Latn	tail	tail	Mande	Macro-Je	Latn	Latn	0.242869
v52_weighted_fvt_conv5way_step26000	bam_Latn	xho_Latn	tail	head	Mande	Bantu	Latn	Latn	0.544169
v52_weighted_fvt_conv5way_step26000	cat_Latn	ara_Arab	head	head	Romance	Semitic	Latn	Arab	-0.171916
v52_weighted_fvt_conv5way_step26000	cat_Latn	bam_Latn	head	tail	Romance	Mande	Latn	Latn	-0.341513
v52_weighted_fvt_conv5way_step26000	cat_Latn	cat_Latn	head	head	Romance	Romance	Latn	Latn	1.000000
v52_weighted_fvt_conv5way_step26000	cat_Latn	ces_Latn	head	head	Romance	Slavic	Latn	Latn	0.151452
v52_weighted_fvt_conv5way_step26000	cat_Latn	cmn_Hani	head	head	Romance	Sinitic	Latn	Hani	-0.260692
v52_weighted_fvt_conv5way_step26000	cat_Latn	csb_Latn	head	tail	Romance	Slavic	Latn	Latn	-0.070294
v52_weighted_fvt_conv5way_step26000	cat_Latn	deu_Latn	head	head	Romance	Germanic	Latn	Latn	0.090985
v52_weighted_fvt_conv5way_step26000	cat_Latn	dtp_Latn	head	tail	Romance	Austronesian	Latn	Latn	-0.350684
v52_weighted_fvt_conv5way_step26000	cat_Latn	ell_Grek	head	head	Romance	Hellenic	Latn	Grek	0.191643
v52_weighted_fvt_conv5way_step26000	cat_Latn	eng_Latn	head	head	Romance	Germanic	Latn	Latn	0.121222
v52_weighted_fvt_conv5way_step26000	cat_Latn	epo_Latn	head	head	Romance	Constructed	Latn	Latn	0.295830
v52_weighted_fvt_conv5way_step26000	cat_Latn	est_Latn	head	head	Romance	Uralic	Latn	Latn	-0.020696
v52_weighted_fvt_conv5way_step26000	cat_Latn	fin_Latn	head	head	Romance	Uralic	Latn	Latn	-0.082326
v52_weighted_fvt_conv5way_step26000	cat_Latn	fra_Latn	head	head	Romance	Romance	Latn	Latn	0.622242
v52_weighted_fvt_conv5way_step26000	cat_Latn	fur_Latn	head	tail	Romance	Romance	Latn	Latn	0.335119
v52_weighted_fvt_conv5way_step26000	cat_Latn	hau_Latn	head	head	Romance	Afro-Asiatic	Latn	Latn	-0.315581
v52_weighted_fvt_conv5way_step26000	cat_Latn	heb_Hebr	head	head	Romance	Semitic	Latn	Hebr	-0.078299
v52_weighted_fvt_conv5way_step26000	cat_Latn	hrv_Latn	head	head	Romance	Slavic	Latn	Latn	0.045434
v52_weighted_fvt_conv5way_step26000	cat_Latn	hun_Latn	head	head	Romance	Uralic	Latn	Latn	0.120573
v52_weighted_fvt_conv5way_step26000	cat_Latn	ile_Latn	head	tail	Romance	Constructed	Latn	Latn	0.230134
v52_weighted_fvt_conv5way_step26000	cat_Latn	ind_Latn	head	head	Romance	Austronesian	Latn	Latn	-0.156593
v52_weighted_fvt_conv5way_step26000	cat_Latn	ita_Latn	head	head	Romance	Romance	Latn	Latn	0.663206
v52_weighted_fvt_conv5way_step26000	cat_Latn	jav_Latn	head	head	Romance	Austronesian	Latn	Latn	-0.264191
v52_weighted_fvt_conv5way_step26000	cat_Latn	kor_Hang	head	head	Romance	Koreanic	Latn	Hang	-0.228406
v52_weighted_fvt_conv5way_step26000	cat_Latn	lao_Laoo	head	head	Romance	Kra-Dai	Latn	Laoo	-0.153499
