model_key	pair_type	group	pairs	mean_cosine	mean_centered_cosine	min_cosine	max_cosine
v52_weighted_fvt_conv5way_step29000	aligned_bible_src_eng	all	300	0.921097	0.070367	0.873895	0.968975
v52_weighted_fvt_conv5way_step29000	aligned_bible_src_eng	v5_target	300	0.921097	0.070367	0.873895	0.968975
v52_weighted_fvt_conv5way_step29000	aligned_tatoeba_src_eng	all	300	0.925124	0.206493	0.854699	0.983311
v52_weighted_fvt_conv5way_step29000	aligned_tatoeba_src_eng	v5_target	300	0.925124	0.206493	0.854699	0.983311
v52_weighted_fvt_conv5way_step29000	roundtrip_eng_pivot	all	300	0.917788	0.025766	0.873895	0.948866
v52_weighted_fvt_conv5way_step29000	roundtrip_eng_pivot	v5_target	300	0.917788	0.025766	0.873895	0.948866
v52_weighted_fvt_conv5way_step29000	roundtrip_src_eng	all	300	0.918007	0.047693	0.873895	0.949307
v52_weighted_fvt_conv5way_step29000	roundtrip_src_eng	v5_target	300	0.918007	0.047693	0.873895	0.949307
v52_weighted_fvt_conv5way_step29000	roundtrip_src_pivot	all	300	0.934179	0.304428	0.881858	0.975643
v52_weighted_fvt_conv5way_step29000	roundtrip_src_pivot	v5_target	300	0.934179	0.304428	0.881858	0.975643
v52_weighted_fvt_conv5way_step29000	same_language_bible_adjacent	all	300	0.978515	0.759965	0.918724	0.997384
v52_weighted_fvt_conv5way_step29000	same_language_bible_adjacent	v5_target	300	0.978515	0.759965	0.918724	0.997384
v52_weighted_fvt_conv5way_step29000	same_language_tatoeba_adjacent	all	300	0.945000	0.374397	0.878834	0.995700
v52_weighted_fvt_conv5way_step29000	same_language_tatoeba_adjacent	v5_target	300	0.945000	0.374397	0.878834	0.995700
