metric	method	local_step	model_key	summary_type	group	pairs	mean_cosine	mean_centered_cosine	source_file
embedding_similarity	family_mean	10000	v52_family_mean_conv5way_step10000	aligned_bible_src_eng	all	300	0.901754	-0.029308	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	10000	v52_family_mean_conv5way_step10000	aligned_bible_src_eng	v5_target	300	0.901754	-0.029308	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	10000	v52_family_mean_conv5way_step10000	aligned_tatoeba_src_eng	all	300	0.913049	0.170350	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	10000	v52_family_mean_conv5way_step10000	aligned_tatoeba_src_eng	v5_target	300	0.913049	0.170350	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	10000	v52_family_mean_conv5way_step10000	roundtrip_eng_pivot	all	300	0.904139	-0.040722	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	10000	v52_family_mean_conv5way_step10000	roundtrip_eng_pivot	v5_target	300	0.904139	-0.040722	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	10000	v52_family_mean_conv5way_step10000	roundtrip_src_eng	all	300	0.897916	-0.047831	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	10000	v52_family_mean_conv5way_step10000	roundtrip_src_eng	v5_target	300	0.897916	-0.047831	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	10000	v52_family_mean_conv5way_step10000	roundtrip_src_pivot	all	300	0.936399	0.382965	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	10000	v52_family_mean_conv5way_step10000	roundtrip_src_pivot	v5_target	300	0.936399	0.382965	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	10000	v52_family_mean_conv5way_step10000	same_language_bible_adjacent	all	300	0.976029	0.760868	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	10000	v52_family_mean_conv5way_step10000	same_language_bible_adjacent	v5_target	300	0.976029	0.760868	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	10000	v52_family_mean_conv5way_step10000	same_language_tatoeba_adjacent	all	300	0.943511	0.411146	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	10000	v52_family_mean_conv5way_step10000	same_language_tatoeba_adjacent	v5_target	300	0.943511	0.411146	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/embedding_similarity/similarity_summary.tsv
family_similarity	family_mean	10000	v52_family_mean_conv5way_step10000	tail_head_different_family_different_script	tail_anchored	1856	0.889580	-0.080638	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	10000	v52_family_mean_conv5way_step10000	tail_head_different_family_same_script	tail_anchored	6100	0.896204	-0.048691	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	10000	v52_family_mean_conv5way_step10000	tail_head_same_family	tail_anchored	1050	0.920242	0.051695	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	10000	v52_family_mean_conv5way_step10000	tail_head_same_macro_family	tail_anchored	1550	0.913031	-0.058323	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	10000	v52_family_mean_conv5way_step10000	tail_tail_different_family	tail_anchored	900	0.897993	0.099559	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	10000	v52_family_mean_conv5way_step10000	tail_tail_same_family	tail_anchored	50	0.944296	0.295033	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	10000	v52_family_mean_conv5way_step10000	tail_tail_same_macro_family	tail_anchored	100	0.932247	0.172038	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	10000	v52_family_mean_conv5way_step10000	tail_within_language	tail_anchored	350	0.951750	0.499931	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/family_similarity/family_pair_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	aligned_bible_src_eng	all	300	0.912274	0.038453	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	aligned_bible_src_eng	v5_target	300	0.912274	0.038453	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	aligned_tatoeba_src_eng	all	300	0.918509	0.194824	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	aligned_tatoeba_src_eng	v5_target	300	0.918509	0.194824	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	roundtrip_eng_pivot	all	300	0.911833	0.009058	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	roundtrip_eng_pivot	v5_target	300	0.911833	0.009058	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	roundtrip_src_eng	all	300	0.909108	0.015861	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	roundtrip_src_eng	v5_target	300	0.909108	0.015861	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	roundtrip_src_pivot	all	300	0.938808	0.360278	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	roundtrip_src_pivot	v5_target	300	0.938808	0.360278	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	same_language_bible_adjacent	all	300	0.977928	0.763407	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	same_language_bible_adjacent	v5_target	300	0.977928	0.763407	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	same_language_tatoeba_adjacent	all	300	0.945098	0.406693	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	same_language_tatoeba_adjacent	v5_target	300	0.945098	0.406693	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
family_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	tail_head_different_family_different_script	tail_anchored	1856	0.897012	-0.075741	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	tail_head_different_family_same_script	tail_anchored	6100	0.903427	-0.043049	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	tail_head_same_family	tail_anchored	1050	0.923077	0.061229	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	tail_head_same_macro_family	tail_anchored	1550	0.915267	-0.049462	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	tail_tail_different_family	tail_anchored	900	0.904679	0.083060	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	tail_tail_same_family	tail_anchored	50	0.943388	0.281109	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/family_similarity/family_pair_summary.tsv
