model_key	model_path	tokenizer_path	phase	role	required	downstream_eligible	model_status	tokenizer_status	ready_for_wrapper	notes
xlmr_base	xlm-roberta-base	xlm-roberta-base	baseline	no-adaptation baseline	no	yes	remote_reference	remote_reference	yes	remote Hugging Face reference; keep optional during overnight run
glot500_base	cis-lmu/glot500-base	cis-lmu/glot500-base	baseline	external Glot500 reference	no	yes	remote_reference	remote_reference	yes	remote reference; keep optional during overnight run
xlmr_large	xlm-roberta-large	xlm-roberta-large	baseline	no-adaptation large baseline	no	yes	remote_reference	remote_reference	yes	remote Hugging Face large reference; fast baseline row
v52_random_init	/home/axt/mnt2/jongha/v5.2_glot5007/initialized_models/v5_random	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	zero_step_initialized	v5.2 random initialized model before MLM	no	yes	ready	ready	yes	optional zero-step diagnostic row
v52_mean_init	/home/axt/mnt2/jongha/v5.2_glot5007/initialized_models/v5_mean	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	zero_step_initialized	v5.2 mean initialized model before MLM	no	yes	ready	ready	yes	optional zero-step diagnostic row
v52_fvt_init	/home/axt/mnt2/jongha/v5.2_glot5007/initialized_models/v5_fvt	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	zero_step_initialized	v5.2 fvt initialized model before MLM	no	yes	ready	ready	yes	optional zero-step diagnostic row
v52_weighted_fvt_init	/home/axt/mnt2/jongha/v5.2_glot5007/initialized_models/v5_weighted_fvt	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	zero_step_initialized	v5.2 weighted_fvt initialized model before MLM	no	yes	ready	ready	yes	optional zero-step diagnostic row
v52_family_mean_init	/home/axt/mnt2/jongha/v5.2_glot5007/initialized_models/v5_family_mean	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	zero_step_initialized	v5.2 family_mean initialized model before MLM	no	yes	ready	ready	yes	optional zero-step diagnostic row
v52_random_step500	/home/axt/mnt2/jongha/v5.2_glot5007/runs/v52_random_mlm_8h/checkpoint-500	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_checkpoint	v5.2 random checkpoint-500 total-step-500	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 8h diagnostic run
v52_random_step1000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/v52_random_mlm_8h/checkpoint-1000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_checkpoint	v5.2 random checkpoint-1000 total-step-1000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 8h diagnostic run
