index	task	method	step	model_key	status
0	text_classification	weighted_fvt	10000	v52_weighted_fvt_conv5way_step10000	done
1	text_classification	weighted_fvt	20000	v52_weighted_fvt_conv5way_step20000	done
2	text_classification	weighted_fvt	30000	v52_weighted_fvt_conv5way_step30000	done
3	text_classification	weighted_fvt	40000	v52_weighted_fvt_conv5way_step40000	pending
4	text_classification	weighted_fvt	50000	v52_weighted_fvt_conv5way_step50000	done
5	text_classification	family_mean	10000	v52_family_mean_conv5way_step10000	pending
6	text_classification	family_mean	20000	v52_family_mean_conv5way_step20000	pending
7	text_classification	family_mean	30000	v52_family_mean_conv5way_step30000	pending
8	text_classification	family_mean	40000	v52_family_mean_conv5way_step40000	pending
9	text_classification	family_mean	50000	v52_family_mean_conv5way_step50000	done
