index	task	model_key	gpu	status	started_at	finished_at
1	pppl	v52_random_conv5way_step20000	2	running	2026-07-03T15:01:28	
1	pppl	v52_random_conv5way_step20000	2	complete	2026-07-03T15:01:28	2026-07-03T15:02:20
4	pppl	v52_random_conv5way_step43000	2	running	2026-07-03T15:02:20	
4	pppl	v52_random_conv5way_step43000	2	complete	2026-07-03T15:02:20	2026-07-03T15:03:11
7	pppl	v52_mean_conv5way_step30000	2	running	2026-07-03T15:03:11	
7	pppl	v52_mean_conv5way_step30000	2	complete	2026-07-03T15:03:11	2026-07-03T15:04:01
10	pppl	v52_fvt_conv5way_step10000	2	running	2026-07-03T15:04:01	
10	pppl	v52_fvt_conv5way_step10000	2	complete	2026-07-03T15:04:01	2026-07-03T15:04:50
13	pppl	v52_fvt_conv5way_step40000	2	running	2026-07-03T15:04:50	
13	pppl	v52_fvt_conv5way_step40000	2	complete	2026-07-03T15:04:50	2026-07-03T15:05:39
16	pppl	v52_weighted_fvt_conv5way_step20000	2	running	2026-07-03T15:05:39	
16	pppl	v52_weighted_fvt_conv5way_step20000	2	complete	2026-07-03T15:05:39	2026-07-03T15:06:29
19	pppl	v52_weighted_fvt_conv5way_step50000	2	running	2026-07-03T15:06:29	
19	pppl	v52_weighted_fvt_conv5way_step50000	2	complete	2026-07-03T15:06:29	2026-07-03T15:07:19
22	pppl	v52_family_mean_conv5way_step30000	2	running	2026-07-03T15:07:19	
22	pppl	v52_family_mean_conv5way_step30000	2	complete	2026-07-03T15:07:19	2026-07-03T15:08:09
25	text_classification	v52_random_conv5way_step10000	2	running	2026-07-03T15:08:09	
25	text_classification	v52_random_conv5way_step10000	2	complete	2026-07-03T15:08:09	2026-07-03T15:16:47
28	text_classification	v52_random_conv5way_step40000	2	running	2026-07-03T15:16:47	
28	text_classification	v52_random_conv5way_step40000	2	complete	2026-07-03T15:16:47	2026-07-03T15:25:25
31	text_classification	v52_mean_conv5way_step20000	2	running	2026-07-03T15:25:25	
31	text_classification	v52_mean_conv5way_step20000	2	complete	2026-07-03T15:25:25	2026-07-03T15:33:56
34	text_classification	v52_mean_conv5way_step43000	2	running	2026-07-03T15:33:56	
34	text_classification	v52_mean_conv5way_step43000	2	complete	2026-07-03T15:33:56	2026-07-03T15:42:41
37	text_classification	v52_fvt_conv5way_step30000	2	running	2026-07-03T15:42:41	
37	text_classification	v52_fvt_conv5way_step30000	2	complete	2026-07-03T15:42:41	2026-07-03T15:51:17
40	text_classification	v52_weighted_fvt_conv5way_step10000	2	running	2026-07-03T15:51:17	
