metric	method	language	score_name	score_value	aux	source_file
retrieval_tatoeba	random	dtp_Latn	Acc10	0.069	Acc1=0.016000;Acc5=0.040000	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_random_step4000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_random_mlm_8h__checkpoint-4000/test_results.txt
retrieval_tatoeba	random	ile_Latn	Acc10	0.488	Acc1=0.284000;Acc5=0.426000	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_random_step4000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_random_mlm_8h__checkpoint-4000/test_results.txt
retrieval_tatoeba	random	csb_Latn	Acc10	0.18972332015810275	Acc1=0.051383;Acc5=0.126482	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_random_step4000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_random_mlm_8h__checkpoint-4000/test_results.txt
retrieval_tatoeba	mean	dtp_Latn	Acc10	0.077	Acc1=0.025000;Acc5=0.054000	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_mean_step4000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_mean_mlm_8h__checkpoint-4000/test_results.txt
retrieval_tatoeba	mean	ile_Latn	Acc10	0.46	Acc1=0.254000;Acc5=0.397000	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_mean_step4000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_mean_mlm_8h__checkpoint-4000/test_results.txt
retrieval_tatoeba	mean	csb_Latn	Acc10	0.2015810276679842	Acc1=0.079051;Acc5=0.158103	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_mean_step4000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_mean_mlm_8h__checkpoint-4000/test_results.txt
retrieval_tatoeba	fvt	dtp_Latn	Acc10	0.074	Acc1=0.024000;Acc5=0.046000	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_fvt_step4000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_fvt_mlm_8h__checkpoint-4000/test_results.txt
retrieval_tatoeba	fvt	ile_Latn	Acc10	0.514	Acc1=0.290000;Acc5=0.461000	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_fvt_step4000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_fvt_mlm_8h__checkpoint-4000/test_results.txt
retrieval_tatoeba	fvt	csb_Latn	Acc10	0.2608695652173913	Acc1=0.083004;Acc5=0.193676	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_fvt_step4000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_fvt_mlm_8h__checkpoint-4000/test_results.txt
retrieval_bible	random	dtp_Latn	Acc10	0.007480664384430075	Acc1=0.001141;Acc5=0.003677	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible/v52_random_step4000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_random_mlm_8h__checkpoint-4000/test_results.txt
retrieval_bible	random	xav_Latn	Acc10	0.0037746023186842814	Acc1=0.000539;Acc5=0.001752	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible/v52_random_step4000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_random_mlm_8h__checkpoint-4000/test_results.txt
retrieval_bible	random	bam_Latn	Acc10	0.007941510147485188	Acc1=0.001639;Acc5=0.004160	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible/v52_random_step4000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_random_mlm_8h__checkpoint-4000/test_results.txt
retrieval_bible	mean	dtp_Latn	Acc10	0.006085964244960061	Acc1=0.000761;Acc5=0.003677	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible/v52_mean_step4000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_mean_mlm_8h__checkpoint-4000/test_results.txt
retrieval_bible	mean	xav_Latn	Acc10	0.00350498786734969	Acc1=0.000270;Acc5=0.002157	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible/v52_mean_step4000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_mean_mlm_8h__checkpoint-4000/test_results.txt
retrieval_bible	mean	bam_Latn	Acc10	0.008697844447245683	Acc1=0.001513;Acc5=0.004916	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible/v52_mean_step4000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_mean_mlm_8h__checkpoint-4000/test_results.txt
