rank	language_script	language	language_name	script	new_length	current_v5_target	target_task_count	has_tatoeba	has_bible	has_roundtrip	has_ner	has_pos	bible_shared_verses	bible_source_file
316	guj_Gujr	guj	Gujarati	Gujr	45738685	no	3	no	yes	yes	yes	no	7883	/disk3/moon/paralleltext/bibles/corpus/guj-x-bible.txt
302	srp_Cyrl	srp	Serbian	Cyrl	3864091	no	3	no	yes	yes	yes	no	7941	/disk3/moon/paralleltext/bibles/corpus/srp-x-bible.txt
293	sun_Latn	sun	Sundanese	Latn	2586011	no	3	no	yes	yes	yes	no	7938	/disk3/moon/paralleltext/bibles/corpus/sun-x-bible-formal.txt
281	asm_Beng	asm	Assamese	Beng	1882353	no	3	no	yes	yes	yes	no	7939	/disk3/moon/paralleltext/bibles/corpus/asm-x-bible-asmfb.txt
250	zsm_Latn	zsm	Standard Malay	Latn	859947	no	3	yes	yes	yes	no	no	7888	/disk3/moon/paralleltext/bibles/corpus/zsm-x-bible-goodnews.txt
317	aze_Latn	aze	Azerbaijani	Latn	46300705	no	2	yes	no	no	yes	no	0	
314	fil_Latn	fil	Filipino	Latn	33493255	no	2	no	yes	yes	no	no	7941	/disk3/moon/paralleltext/bibles/corpus/fil-x-bible-1905.txt
309	bos_Latn	bos	Bosnian	Latn	11014744	no	2	yes	no	no	yes	no	0	
318	hbs_Latn	hbs	Serbo-Croatian	Latn	63411156	no	0	no	no	no	no	no	0	
315	mlt_Latn	mlt	Maltese	Latn	40654838	no	0	no	no	no	no	no	0	
313	nob_Latn	nob	Norwegian Bokmål	Latn	32869205	no	0	no	no	no	no	no	0	
312	tgk_Cyrl	tgk	Tajik	Cyrl	18659517	no	0	no	no	no	no	no	0	
311	ceb_Latn	ceb	Cebuano	Latn	18149215	no	0	no	no	no	no	no	0	
310	ltz_Latn	ltz	Luxembourgish	Latn	12997242	no	0	no	no	no	no	no	0	
308	ory_Orya	ory	Odia	Orya	6266475	no	0	no	no	no	no	no	0	
307	nno_Latn	nno	Norwegian Nynorsk	Latn	4899103	no	0	no	no	no	no	no	0	
306	tat_Cyrl	tat	Tatar	Cyrl	4708088	no	0	no	no	no	no	no	0	
305	ast_Latn	ast	Asturian	Latn	4683554	no	0	no	no	no	no	no	0	
304	hbs_Cyrl	hbs	Serbo-Croatian	Cyrl	4598073	no	0	no	no	no	no	no	0	
303	sna_Latn	sna	Shona	Latn	4019596	no	0	no	no	no	no	no	0	
301	zul_Latn	zul	Zulu	Latn	3580113	no	0	no	no	no	no	no	0	
300	arz_Arab	arz	Egyptian Arabic	Arab	3488224	no	0	no	no	no	no	no	0	
299	nya_Latn	nya	Nyanja	Latn	3409030	no	0	no	no	no	no	no	0	
298	hat_Latn	hat	Haitian	Latn	3226932	no	0	no	no	no	no	no	0	
