language_script	group	sentences	xlmr_tokens_per_word	v5_tokens_per_word	delta_tokens_per_word	xlmr_unk_pct	v5_unk_pct	delta_unk_pct
acm_Arab	v5_target	200	2.203777	1.885189	-0.318588	0.000000	0.000000	0.000000
amh_Ethi	head	200	2.461891	2.163037	-0.298854	0.000000	0.000000	0.000000
ara_Arab	head	200	1.709375	1.583984	-0.125391	0.000000	0.000000	0.000000
bam_Latn	v5_target	200	2.182765	1.491803	-0.690962	0.000000	0.000000	0.000000
bre_Latn	head	200	1.982813	1.673025	-0.309788	0.000000	0.000000	0.000000
cmn_Hani	head	200	9.298578	9.118483	-0.180095	0.000000	0.000000	0.000000
dzo_Tibt	v5_target	200	4.223938	5.552124	1.328186	0.000000	0.000000	0.000000
ell_Grek	head	200	1.847105	1.773585	-0.073520	0.000000	0.000000	0.000000
est_Latn	head	200	1.974582	1.852368	-0.122214	0.000000	0.000000	0.000000
fin_Latn	head	200	2.035869	1.946413	-0.089456	0.000000	0.000000	0.000000
fur_Latn	v5_target	200	1.816941	1.472049	-0.344892	0.000000	0.000000	0.000000
hau_Latn	head	200	1.740948	1.491771	-0.249177	0.000000	0.000000	0.000000
hrv_Latn	head	200	1.681835	1.626469	-0.055366	0.000000	0.000000	0.000000
hun_Latn	head	200	1.864128	1.833520	-0.030608	0.000000	0.000000	0.000000
jav_Latn	head	200	1.868757	1.641986	-0.226771	0.000000	0.000000	0.000000
kjb_Latn	v5_target	200	2.519101	1.911910	-0.607191	0.000000	0.000000	0.000000
krc_Cyrl	v5_target	200	2.789709	1.721601	-1.068108	0.000000	0.000000	0.000000
lao_Laoo	head	200	4.592697	3.401646	-1.191051	0.000000	0.000000	0.000000
mad_Latn	v5_target	200	1.490448	1.437747	-0.052701	0.000000	0.000000	0.000000
mar_Deva	head	200	1.891645	1.781984	-0.109661	0.000000	0.000000	0.000000
mya_Mymr	head	200	4.564236	3.862847	-0.701389	0.000000	0.000000	0.000000
nor_Latn	head	200	1.502160	1.469753	-0.032407	0.000000	0.000000	0.000000
quw_Latn	v5_target	200	2.418856	1.301252	-1.117604	0.000000	0.000000	0.000000
rap_Latn	v5_target	200	1.637349	1.208413	-0.428936	0.000000	0.000000	0.000000
ron_Latn	head	200	1.596415	1.552761	-0.043654	0.000000	0.000000	0.000000
sat_Olck	v5_target	200	2.117196	1.509376	-0.607820	0.000000	0.000000	0.000000
slk_Latn	head	200	1.844350	1.744136	-0.100214	0.000000	0.000000	0.000000
slv_Latn	head	200	1.689485	1.639732	-0.049753	0.000000	0.000000	0.000000
uzb_Latn	head	200	2.104512	1.877748	-0.226764	0.000000	0.000000	0.000000
vie_Latn	head	200	1.237453	1.218277	-0.019176	0.000000	0.000000	0.000000
