tokenizer	language_script	group	sentences	avg_tokens	tokens_per_word	tokens_per_char	unk_token_pct	single_char_token_pct	byte_token_pct
xlmr_base	lao_Laoo	head	200	89.305000	4.592697	0.342040	0.000000	20.133251	0.000000
v5_tokenizer	lao_Laoo	head	200	66.145000	3.401646	0.253337	0.000000	15.193892	0.000000
xlmr_base	mya_Mymr	head	200	92.015000	4.564236	0.367018	0.000000	21.317177	0.000000
v5_tokenizer	mya_Mymr	head	200	77.875000	3.862847	0.310618	0.000000	17.470305	0.000000
xlmr_base	ara_Arab	head	200	21.880000	1.709375	0.382651	0.000000	25.365631	0.000000
v5_tokenizer	ara_Arab	head	200	20.275000	1.583984	0.354582	0.000000	20.369914	0.000000
xlmr_base	mar_Deva	head	200	28.980000	1.891645	0.321553	0.000000	18.081435	0.000000
v5_tokenizer	mar_Deva	head	200	27.300000	1.781984	0.302913	0.000000	16.007326	0.000000
xlmr_base	hau_Latn	head	200	52.890000	1.740948	0.367751	0.000000	19.540556	0.000000
v5_tokenizer	hau_Latn	head	200	45.320000	1.491771	0.315116	0.000000	18.490733	0.000000
xlmr_base	uzb_Latn	head	200	54.570000	2.104512	0.304087	0.000000	22.759758	0.000000
v5_tokenizer	uzb_Latn	head	200	48.690000	1.877748	0.271322	0.000000	23.300472	0.000000
xlmr_base	slv_Latn	head	200	23.940000	1.689485	0.318499	0.000000	21.825397	0.000000
v5_tokenizer	slv_Latn	head	200	23.235000	1.639732	0.309120	0.000000	21.777491	0.000000
xlmr_base	fin_Latn	head	200	23.555000	2.035869	0.281944	0.000000	18.233921	0.000000
v5_tokenizer	fin_Latn	head	200	22.520000	1.946413	0.269555	0.000000	18.383659	0.000000
xlmr_base	hun_Latn	head	200	24.970000	1.864128	0.304958	0.000000	23.007609	0.000000
v5_tokenizer	hun_Latn	head	200	24.560000	1.833520	0.299951	0.000000	23.167752	0.000000
xlmr_base	cmn_Hani	head	200	9.810000	9.298578	0.757822	0.000000	60.907238	0.000000
v5_tokenizer	cmn_Hani	head	200	9.620000	9.118483	0.743144	0.000000	60.498960	0.000000
xlmr_base	est_Latn	head	200	28.355000	1.974582	0.306127	0.000000	17.739376	0.000000
v5_tokenizer	est_Latn	head	200	26.600000	1.852368	0.287179	0.000000	17.687970	0.000000
xlmr_base	bre_Latn	head	200	47.300000	1.982813	0.423285	0.000000	29.048626	0.000000
v5_tokenizer	bre_Latn	head	200	39.910000	1.673025	0.357152	0.000000	27.323979	0.000000
xlmr_base	hrv_Latn	head	200	22.175000	1.681835	0.327887	0.000000	22.344983	0.000000
v5_tokenizer	hrv_Latn	head	200	21.445000	1.626469	0.317093	0.000000	22.569363	0.000000
xlmr_base	jav_Latn	head	200	32.180000	1.868757	0.313142	0.000000	18.629584	0.000000
v5_tokenizer	jav_Latn	head	200	28.275000	1.641986	0.275142	0.000000	18.160920	0.000000
xlmr_base	ron_Latn	head	200	27.610000	1.596415	0.306098	0.000000	20.970663	0.000000
v5_tokenizer	ron_Latn	head	200	26.855000	1.552761	0.297727	0.000000	20.498976	0.000000
xlmr_base	ell_Grek	head	200	28.390000	1.847105	0.337976	0.000000	21.169426	0.000000
v5_tokenizer	ell_Grek	head	200	27.260000	1.773585	0.324524	0.000000	19.662509	0.000000
xlmr_base	nor_Latn	head	200	24.335000	1.502160	0.302768	0.000000	17.711116	0.000000
v5_tokenizer	nor_Latn	head	200	23.810000	1.469753	0.296236	0.000000	17.702646	0.000000
xlmr_base	slk_Latn	head	200	30.275000	1.844350	0.330874	0.000000	23.914121	0.000000
v5_tokenizer	slk_Latn	head	200	28.630000	1.744136	0.312896	0.000000	23.995809	0.000000
xlmr_base	vie_Latn	head	200	26.135000	1.237453	0.342485	0.000000	15.745169	0.000000
v5_tokenizer	vie_Latn	head	200	25.730000	1.218277	0.337177	0.000000	14.904780	0.000000
xlmr_base	amh_Ethi	head	200	85.920000	2.461891	0.590576	0.000000	50.471369	0.000000
v5_tokenizer	amh_Ethi	head	200	75.490000	2.163037	0.518885	0.000000	41.594913	0.000000
xlmr_base	fur_Latn	v5_target	200	47.940000	1.816941	0.398107	0.000000	26.335002	0.000000
v5_tokenizer	fur_Latn	v5_target	200	38.840000	1.472049	0.322538	0.000000	23.159114	0.000000
