language_script	examples	avg_base_tokens_per_word	avg_target_tokens_per_word	avg_delta_tokens_per_word	worse_examples	better_examples	same_examples	target_byte_token_total	target_new_token_total	target_unk_token_total
fur_Latn	200	1.8312999366602787	1.6853671043015186	-0.14593283235875998	0	173	27	0	845	0
krc_Cyrl	200	2.766343118317753	2.1784953253832375	-0.5878477929345157	0	195	5	0	1962	0
acm_Arab	200	2.2209594250196365	2.136669578142066	-0.08428984687757066	0	77	123	0	176	0
dzo_Tibt	200	4.450249601297395	8.958617325484973	4.508367724187577	192	2	6	0	5770	0
sat_Olck	200	2.1288428409237676	2.052807346876245	-0.07603549404752243	57	139	4	0	16248	0
mad_Latn	200	1.50980513880721	1.5087477416383142	-0.0010573971688956478	2	8	190	0	15	0
bam_Latn	200	2.231038364565023	1.7477091343486018	-0.4833292302164212	0	186	14	0	1439	0
kjb_Latn	200	2.5366308794993913	2.127810665442498	-0.40882021405689317	0	196	4	0	1670	0
quw_Latn	200	2.4367161722399815	1.8064567773478377	-0.6302593948921438	0	199	1	0	2158	0
rap_Latn	200	1.6440971877927155	1.3861761883581	-0.25792099943461544	0	158	42	0	822	0
