language_script	group	sentences	xlmr_tokens_per_word	v5_tokens_per_word	delta_tokens_per_word	xlmr_unk_pct	v5_unk_pct	delta_unk_pct
acm_Arab	v5_target	200	2.203777	2.130219	-0.073558	0.000000	0.000000	0.000000
amh_Ethi	head	200	2.461891	2.411032	-0.050859	0.000000	0.000000	0.000000
ara_Arab	head	200	1.709375	1.681641	-0.027734	0.000000	0.000000	0.000000
bam_Latn	v5_target	200	2.182765	1.724413	-0.458352	0.000000	0.000000	0.000000
bre_Latn	head	200	1.982813	1.898135	-0.084678	0.000000	0.000000	0.000000
cmn_Hani	head	200	9.298578	9.251185	-0.047393	0.000000	0.000000	0.000000
dzo_Tibt	v5_target	200	4.223938	8.859717	4.635779	0.000000	0.000000	0.000000
ell_Grek	head	200	1.847105	1.838321	-0.008784	0.000000	0.000000	0.000000
est_Latn	head	200	1.974582	1.964136	-0.010446	0.000000	0.000000	0.000000
fin_Latn	head	200	2.035869	2.030251	-0.005618	0.000000	0.000000	0.000000
fur_Latn	v5_target	200	1.816941	1.667425	-0.149516	0.000000	0.000000	0.000000
hau_Latn	head	200	1.740948	1.702600	-0.038348	0.000000	0.000000	0.000000
hrv_Latn	head	200	1.681835	1.679560	-0.002275	0.000000	0.000000	0.000000
hun_Latn	head	200	1.864128	1.861889	-0.002239	0.000000	0.000000	0.000000
jav_Latn	head	200	1.868757	1.805168	-0.063589	0.000000	0.000000	0.000000
kjb_Latn	v5_target	200	2.519101	2.112360	-0.406741	0.000000	0.000000	0.000000
krc_Cyrl	v5_target	200	2.789709	2.182451	-0.607258	0.000000	0.000000	0.000000
lao_Laoo	head	200	4.592697	4.365904	-0.226793	0.000000	0.000000	0.000000
mad_Latn	v5_target	200	1.490448	1.488142	-0.002306	0.000000	0.000000	0.000000
mar_Deva	head	200	1.891645	1.887728	-0.003917	0.000000	0.000000	0.000000
mya_Mymr	head	200	4.564236	4.518353	-0.045883	0.000000	0.000000	0.000000
nor_Latn	head	200	1.502160	1.500000	-0.002160	0.000000	0.000000	0.000000
quw_Latn	v5_target	200	2.418856	1.797201	-0.621655	0.000000	0.000000	0.000000
rap_Latn	v5_target	200	1.637349	1.378585	-0.258764	0.000000	0.000000	0.000000
ron_Latn	head	200	1.596415	1.592657	-0.003758	0.000000	0.000000	0.000000
sat_Olck	v5_target	200	2.117196	1.954720	-0.162476	0.000000	0.000000	0.000000
slk_Latn	head	200	1.844350	1.837953	-0.006397	0.000000	0.000000	0.000000
slv_Latn	head	200	1.689485	1.687015	-0.002470	0.000000	0.000000	0.000000
uzb_Latn	head	200	2.104512	2.093135	-0.011377	0.000000	0.000000	0.000000
vie_Latn	head	200	1.237453	1.234848	-0.002605	0.000000	0.000000	0.000000
