tokenizer	language_script	group	sentences	avg_tokens	tokens_per_word	tokens_per_char	unk_token_pct	single_char_token_pct	byte_token_pct
xlmr_base	lao_Laoo	head	200	89.305000	4.592697	0.342040	0.000000	20.133251	0.000000
v5_tokenizer	lao_Laoo	head	200	84.895000	4.365904	0.325150	0.000000	17.904470	0.000000
xlmr_base	mya_Mymr	head	200	92.015000	4.564236	0.367018	0.000000	21.317177	0.000000
v5_tokenizer	mya_Mymr	head	200	91.090000	4.518353	0.363328	0.000000	20.562081	0.000000
xlmr_base	ara_Arab	head	200	21.880000	1.709375	0.382651	0.000000	25.365631	0.000000
v5_tokenizer	ara_Arab	head	200	21.525000	1.681641	0.376443	0.000000	22.671312	0.000000
xlmr_base	mar_Deva	head	200	28.980000	1.891645	0.321553	0.000000	18.081435	0.000000
v5_tokenizer	mar_Deva	head	200	28.920000	1.887728	0.320888	0.000000	17.997925	0.000000
xlmr_base	hau_Latn	head	200	52.890000	1.740948	0.367751	0.000000	19.540556	0.000000
v5_tokenizer	hau_Latn	head	200	51.725000	1.702600	0.359651	0.000000	19.120348	0.000000
xlmr_base	uzb_Latn	head	200	54.570000	2.104512	0.304087	0.000000	22.759758	0.000000
v5_tokenizer	uzb_Latn	head	200	54.275000	2.093135	0.302444	0.000000	22.690005	0.000000
xlmr_base	slv_Latn	head	200	23.940000	1.689485	0.318499	0.000000	21.825397	0.000000
v5_tokenizer	slv_Latn	head	200	23.905000	1.687015	0.318034	0.000000	21.731855	0.000000
xlmr_base	fin_Latn	head	200	23.555000	2.035869	0.281944	0.000000	18.233921	0.000000
v5_tokenizer	fin_Latn	head	200	23.490000	2.030251	0.281166	0.000000	18.241805	0.000000
xlmr_base	hun_Latn	head	200	24.970000	1.864128	0.304958	0.000000	23.007609	0.000000
v5_tokenizer	hun_Latn	head	200	24.940000	1.861889	0.304592	0.000000	22.975140	0.000000
xlmr_base	cmn_Hani	head	200	9.810000	9.298578	0.757822	0.000000	60.907238	0.000000
v5_tokenizer	cmn_Hani	head	200	9.760000	9.251185	0.753959	0.000000	60.245902	0.000000
xlmr_base	est_Latn	head	200	28.355000	1.974582	0.306127	0.000000	17.739376	0.000000
v5_tokenizer	est_Latn	head	200	28.205000	1.964136	0.304507	0.000000	17.727353	0.000000
xlmr_base	bre_Latn	head	200	47.300000	1.982813	0.423285	0.000000	29.048626	0.000000
v5_tokenizer	bre_Latn	head	200	45.280000	1.898135	0.405208	0.000000	27.484541	0.000000
xlmr_base	hrv_Latn	head	200	22.175000	1.681835	0.327887	0.000000	22.344983	0.000000
v5_tokenizer	hrv_Latn	head	200	22.145000	1.679560	0.327443	0.000000	22.149469	0.000000
xlmr_base	jav_Latn	head	200	32.180000	1.868757	0.313142	0.000000	18.629584	0.000000
v5_tokenizer	jav_Latn	head	200	31.085000	1.805168	0.302486	0.000000	18.288564	0.000000
xlmr_base	ron_Latn	head	200	27.610000	1.596415	0.306098	0.000000	20.970663	0.000000
v5_tokenizer	ron_Latn	head	200	27.545000	1.592657	0.305377	0.000000	20.766019	0.000000
xlmr_base	ell_Grek	head	200	28.390000	1.847105	0.337976	0.000000	21.169426	0.000000
v5_tokenizer	ell_Grek	head	200	28.255000	1.838321	0.336369	0.000000	20.633516	0.000000
xlmr_base	nor_Latn	head	200	24.335000	1.502160	0.302768	0.000000	17.711116	0.000000
v5_tokenizer	nor_Latn	head	200	24.300000	1.500000	0.302333	0.000000	17.572016	0.000000
xlmr_base	slk_Latn	head	200	30.275000	1.844350	0.330874	0.000000	23.914121	0.000000
v5_tokenizer	slk_Latn	head	200	30.170000	1.837953	0.329727	0.000000	23.798475	0.000000
xlmr_base	vie_Latn	head	200	26.135000	1.237453	0.342485	0.000000	15.745169	0.000000
v5_tokenizer	vie_Latn	head	200	26.080000	1.234848	0.341764	0.000000	15.605828	0.000000
xlmr_base	amh_Ethi	head	200	85.920000	2.461891	0.590576	0.000000	50.471369	0.000000
v5_tokenizer	amh_Ethi	head	200	84.145000	2.411032	0.578376	0.000000	49.004694	0.000000
xlmr_base	fur_Latn	v5_target	200	47.940000	1.816941	0.398107	0.000000	26.335002	0.000000
v5_tokenizer	fur_Latn	v5_target	200	43.995000	1.667425	0.365346	0.000000	24.127742	0.000000
xlmr_base	krc_Cyrl	v5_target	200	56.115000	2.789709	0.448060	0.000000	24.770560	0.000000
v5_tokenizer	krc_Cyrl	v5_target	200	43.900000	2.182451	0.350527	0.000000	21.651481	0.000000
xlmr_base	acm_Arab	v5_target	200	22.170000	2.203777	0.477905	0.000000	30.198466	0.000000
v5_tokenizer	acm_Arab	v5_target	200	21.430000	2.130219	0.461953	0.000000	27.438171	0.000000
xlmr_base	dzo_Tibt	v5_target	200	16.410000	4.223938	0.194801	0.000000	34.460695	0.000000
v5_tokenizer	dzo_Tibt	v5_target	200	34.420000	8.859717	0.408594	0.000000	27.367809	0.000000
xlmr_base	sat_Olck	v5_target	200	99.360000	2.117196	0.455550	0.000000	8.172303	0.000000
v5_tokenizer	sat_Olck	v5_target	200	91.735000	1.954720	0.420591	0.000000	26.276775	0.000000
xlmr_base	mad_Latn	v5_target	200	22.625000	1.490448	0.252836	0.000000	17.458564	0.000000
v5_tokenizer	mad_Latn	v5_target	200	22.590000	1.488142	0.252445	0.000000	17.264276	0.000000
xlmr_base	bam_Latn	v5_target	200	49.265000	2.182765	0.522069	0.000000	47.833147	0.000000
v5_tokenizer	bam_Latn	v5_target	200	38.920000	1.724413	0.412441	0.000000	24.498972	0.000000
xlmr_base	kjb_Latn	v5_target	200	56.050000	2.519101	0.540501	0.000000	41.347012	0.000000
v5_tokenizer	kjb_Latn	v5_target	200	47.000000	2.112360	0.453230	0.000000	36.319149	0.000000
xlmr_base	quw_Latn	v5_target	200	49.260000	2.418856	0.429057	0.000000	19.102720	0.000000
v5_tokenizer	quw_Latn	v5_target	200	36.600000	1.797201	0.318788	0.000000	20.027322	0.000000
xlmr_base	rap_Latn	v5_target	200	25.690000	1.637349	0.455496	0.000000	30.167380	0.000000
v5_tokenizer	rap_Latn	v5_target	200	21.630000	1.378585	0.383511	0.000000	19.232547	0.000000
